AL, 04, 2014082318,   , BEST,   0, 215N,  722W,  30, 1005, TD,  34, NEQ,    0,    0,    0,    0, 1009,  120,  40,  40,   0,   L,   0,    ,   0,   0,       FOUR, M,  0,    ,    0,    0,    0,    0,         TRANSITIONED, alA62014 to al042014
AL, 04, 2014082400,   , BEST,   0, 220N,  725W,  30, 1004, TD,  34, NEQ,    0,    0,    0,    0, 1009,  120,  50,  40,   0,   L,   0,    ,   0,   0,       FOUR, M, 
AL, 04, 2014082406,   , BEST,   0, 226N,  729W,  35, 1002, TS,  34, NEQ,   60,   60,    0,    0, 1008,  200,  50,  40,   0,   L,   0,    ,   0,   0,       FOUR, M, 
AL, 04, 2014082412,   , BEST,   0, 233N,  730W,  40, 1001, TS,  34, NEQ,   60,   70,    0,    0, 1008,  200,  40,  50,   0,   L,   0,    ,   0,   0,  CRISTOBAL, M, 
AL, 04, 2014082418,   , BEST,   0, 240N,  730W,  45, 1001, TS,  34, NEQ,   60,   70,    0,    0, 1008,  200,  40,  50,   0,   L,   0,    ,   0,   0,  CRISTOBAL, M, 12, NEQ,   60,   60,   20,   30, 
AL, 04, 2014082500,   , BEST,   0, 242N,  730W,  45,  998, TS,  34, NEQ,   60,   80,    0,    0, 1007,  200,  40,  50,   0,   L,   0,    ,   0,   0,  CRISTOBAL, M, 12, NEQ,   60,   60,   20,   30, 
AL, 04, 2014082506,   , BEST,   0, 244N,  729W,  45,  996, TS,  34, NEQ,   60,  120,    0,    0, 1008,  240,  60,  55,   0,   L,   0,    ,   0,   0,  CRISTOBAL, M, 12, NEQ,   90,   90,   30,   30, 
AL, 04, 2014082512,   , BEST,   0, 247N,  727W,  50,  993, TS,  34, NEQ,   60,  120,    0,    0, 1008,  240,  60,  60,   0,   L,   0,    ,   0,   0,  CRISTOBAL, M, 12, NEQ,  120,  120,   30,   30, 
AL, 04, 2014082512,   , BEST,   0, 247N,  727W,  50,  993, TS,  50, NEQ,    0,   80,    0,    0, 1008,  240,  60,  60,   0,   L,   0,    ,   0,   0,  CRISTOBAL, M, 12, NEQ,  120,  120,   30,   30, 
AL, 04, 2014082518,   , BEST,   0, 249N,  724W,  50,  992, TS,  34, NEQ,   60,  180,    0,    0, 1007,  300,  80,  60,   0,   L,   0,    ,   0,   0,  CRISTOBAL, M, 12, NEQ,  150,  120,   30,   50, 
AL, 04, 2014082518,   , BEST,   0, 249N,  724W,  50,  992, TS,  50, NEQ,    0,   80,    0,    0, 1007,  300,  80,  60,   0,   L,   0,    ,   0,   0,  CRISTOBAL, M, 12, NEQ,  150,  120,   30,   50, 
AL, 04, 2014082600,   , BEST,   0, 251N,  721W,  65,  989, HU,  34, NEQ,   60,  180,   60,   30, 1007,  250,  35,  80,   0,   L,   0,    ,   0,   0,  CRISTOBAL, M, 12, NEQ,  180,  150,   30,   60, 
AL, 04, 2014082600,   , BEST,   0, 251N,  721W,  65,  989, HU,  50, NEQ,    0,   80,    0,    0, 1007,  250,  35,  80,   0,   L,   0,    ,   0,   0,  CRISTOBAL, M, 12, NEQ,  180,  150,   30,   60, 
AL, 04, 2014082600,   , BEST,   0, 251N,  721W,  65,  989, HU,  64, NEQ,    0,   40,    0,    0, 1007,  250,  35,  80,   0,   L,   0,    ,   0,   0,  CRISTOBAL, M, 12, NEQ,  180,  150,   30,   60, 
AL, 04, 2014082606,   , BEST,   0, 256N,  720W,  65,  989, HU,  34, NEQ,   80,  180,   60,   30, 1007,  250,  40,  80,   0,   L,   0,    ,   0,   0,  CRISTOBAL, M, 12, NEQ,  180,  210,   30,   60, 
