AL, 07, 2014101000,   , BEST,   0, 220N,  612W,  35, 1007, LO,  34, NEQ,  120,    0,    0,  120, 1011,  250, 100,   0,   0, 
AL, 07, 2014101006,   , BEST,   0, 227N,  624W,  35, 1006, SS,  34, NEQ,  120,    0,    0,  120, 1011,  250, 100,   0,   0,   L,   0,    ,   0,   0,     INVEST, M, 
AL, 07, 2014101012,   , BEST,   0, 235N,  633W,  35, 1005, SS,  34, NEQ,  120,    0,    0,  120, 1011,  250, 100,  40,   0,   L,   0,    ,   0,   0,     INVEST, M,  0,    ,    0,    0,    0,    0,         TRANSITIONED, alB92014 to al072014
AL, 07, 2014101018,   , BEST,   0, 243N,  640W,  40, 1003, SS,  34, NEQ,  120,    0,    0,  120, 1011,  250, 100,  45,   0,   L,   0,    ,   0,   0,      SEVEN, M, 12, NEQ,  300,    0,    0,    0,         TRANSITIONED, alC92014 to al072014
AL, 07, 2014101100,   , BEST,   0, 251N,  645W,  50,  999, SS,  34, NEQ,  120,   40,   40,  120, 1011,  250,  80,  60,   0,   L,   0,    ,   0,   0,        FAY, M, 12, NEQ,  300,    0,    0,   60, 
AL, 07, 2014101100,   , BEST,   0, 251N,  645W,  50,  999, SS,  50, NEQ,    0,    0,    0,   50, 1011,  250,  80,  60,   0,   L,   0,    ,   0,   0,        FAY, M, 12, NEQ,  300,    0,    0,   60, 
AL, 07, 2014101106,   , BEST,   0, 260N,  650W,  55,  994, TS,  34, NEQ,  120,   40,   40,  120, 1011,  250,  80,  60,   0,   L,   0,    ,   0,   0,        FAY, M, 12, NEQ,  300,    0,    0,   60, 
AL, 07, 2014101106,   , BEST,   0, 260N,  650W,  55,  994, TS,  50, NEQ,    0,    0,    0,   50, 1011,  250,  80,  60,   0,   L,   0,    ,   0,   0,        FAY, M, 12, NEQ,  300,    0,    0,   60, 
AL, 07, 2014101112,   , BEST,   0, 272N,  653W,  60,  990, TS,  34, NEQ,  120,   80,   80,  120, 1011,  250,  40,  75,   0,   L,   0,    ,   0,   0,        FAY, D, 12, NEQ,  360,  180,    0,  120, 
AL, 07, 2014101112,   , BEST,   0, 272N,  653W,  60,  990, TS,  50, NEQ,   50,   50,   20,   50, 1011,  250,  40,  75,   0,   L,   0,    ,   0,   0,        FAY, D, 12, NEQ,  360,  180,    0,  120, 
AL, 07, 2014101118,   , BEST,   0, 287N,  654W,  60,  988, TS,  34, NEQ,  150,  140,  120,  120, 1011,  250,  35,  75,   0,   L,   0,    ,   0,   0,        FAY, D, 12, NEQ,  360,  210,  120,  120, 
AL, 07, 2014101118,   , BEST,   0, 287N,  654W,  60,  988, TS,  50, NEQ,   50,   50,   20,   50, 1011,  250,  35,  75,   0,   L,   0,    ,   0,   0,        FAY, D, 12, NEQ,  360,  210,  120,  120, 
AL, 07, 2014101200,   , BEST,   0, 302N,  652W,  60,  987, TS,  34, NEQ,  150,  140,  120,  120, 1011,  240,  40,  75,   0,   L,   0,    ,   0,   0,        FAY, D, 12, NEQ,  300,  210,  120,  120, 
AL, 07, 2014101200,   , BEST,   0, 302N,  652W,  60,  987, TS,  50, NEQ,   50,   50,   60,   50, 1011,  240,  40,  75,   0,   L,   0,    ,   0,   0,        FAY, D, 12, NEQ,  300,  210,  120,  120, 
AL, 07, 2014101206,   , BEST,   0, 317N,  649W,  65,  985, HU,  34, NEQ,  150,  150,  120,  120, 1011,  240,  50,  75,   0,   L,   0,    ,   0,   0,        FAY, D, 12, NEQ,  300,  220,  150,  120, 
