AL, 12, 2015110818,   , BEST,   0, 222N,  715W,  30, 1010, TD,   0,    ,    0,    0,    0,    0, 1015,  120,  40,  40,   0,   L,   0,    ,   0,   0,     INVEST, M, 
AL, 12, 2015110900,   , BEST,   0, 228N,  726W,  30, 1010, TD,   0,    ,    0,    0,    0,    0, 1013,  100,  40,  40,   0,   L,   0,    ,   0,   0,     TWELVE, M,  0,    ,    0,    0,    0,    0, TRANSITIONED, alB42015 to al122015, 
AL, 12, 2015110906,   , BEST,   0, 234N,  737W,  35, 1010, TS,  34, NEQ,   50,    0,    0,   30, 1014,   80,  40,  40,   0,   L,   0,    ,   0,   0,     TWELVE, M, 
AL, 12, 2015110912,   , BEST,   0, 241N,  748W,  40, 1008, TS,  34, NEQ,   60,    0,    0,   30, 1014,   80,  10,  50,   0,   L,   0,    ,   0,   0,       KATE, M, 
AL, 12, 2015110918,   , BEST,   0, 250N,  757W,  45, 1008, TS,  34, NEQ,   70,    0,    0,   30, 1014,   80,  10,  50,   0,   L,   0,    ,   0,   0,       KATE, M, 12, NEQ,   60,    0,    0,    0, 
AL, 12, 2015111000,   , BEST,   0, 264N,  762W,  50, 1006, TS,  34, NEQ,   70,   50,    0,   20, 1014,   80,  25,  55,   0,   L,   0,    ,   0,   0,       KATE, M, 12, NEQ,   60,    0,    0,    0, 
AL, 12, 2015111000,   , BEST,   0, 264N,  762W,  50, 1006, TS,  50, NEQ,   20,    0,    0,    0, 1014,   80,  25,  55,   0,   L,   0,    ,   0,   0,       KATE, M, 12, NEQ,   60,    0,    0,    0, 
AL, 12, 2015111006,   , BEST,   0, 280N,  762W,  55, 1003, TS,  34, NEQ,   70,   50,   20,   20, 1016,  140,  25,  60,   0,   L,   0,    ,   0,   0,       KATE, M, 12, NEQ,   75,   45,    0,   30, 
AL, 12, 2015111006,   , BEST,   0, 280N,  762W,  55, 1003, TS,  50, NEQ,   20,    0,    0,    0, 1016,  140,  25,  60,   0,   L,   0,    ,   0,   0,       KATE, M, 12, NEQ,   75,   45,    0,   30, 
AL, 12, 2015111012,   , BEST,   0, 295N,  754W,  60,  998, TS,  34, NEQ,   70,   70,   20,   20, 1014,  160,  15,  65,   0,   L,   0,    ,   0,   0,       KATE, M, 12, NEQ,   75,   60,    0,   30, 
AL, 12, 2015111012,   , BEST,   0, 295N,  754W,  60,  998, TS,  50, NEQ,   20,   10,    0,    0, 1014,  160,  15,  65,   0,   L,   0,    ,   0,   0,       KATE, M, 12, NEQ,   75,   60,    0,   30, 
AL, 12, 2015111018,   , BEST,   0, 312N,  740W,  60,  993, TS,  34, NEQ,   70,   70,   20,   20, 1013,  170,  15,  75,   0,   L,   0,    ,   0,   0,       KATE, M, 12, NEQ,   75,   60,    0,   30, 
AL, 12, 2015111018,   , BEST,   0, 312N,  740W,  60,  993, TS,  50, NEQ,   20,   10,    0,    0, 1013,  170,  15,  75,   0,   L,   0,    ,   0,   0,       KATE, M, 12, NEQ,   75,   60,    0,   30, 
AL, 12, 2015111100,   , BEST,   0, 331N,  713W,  65,  990, HU,  34, NEQ,   80,   80,   60,   20, 1008,  100,  15,  75,   0,   L,   0,    ,   0,   0,       KATE, M, 12, NEQ,   15,  155,  165,   10, 
AL, 12, 2015111100,   , BEST,   0, 331N,  713W,  65,  990, HU,  50, NEQ,   20,   30,    0,    0, 1008,  100,  15,  75,   0,   L,   0,    ,   0,   0,       KATE, M, 12, NEQ,   15,  155,  165,   10, 
AL, 12, 2015111100,   , BEST,   0, 331N,  713W,  65,  990, HU,  64, NEQ,    0,   20,    0,    0, 1008,  100,  15,  75,   0,   L,   0,    ,   0,   0,       KATE, M, 12, NEQ,   15,  155,  165,   10, 
AL, 12, 2015111106,   , BEST,   0, 352N,  676W,  70,  985, HU,  34, NEQ,   80,  100,  100,   20, 1008,  100,  15,  75,   0,   L,   0,    ,   0,   0,       KATE, M, 12, NEQ,   15,  150,  180,   15, 
AL, 12, 2015111106,   , BEST,   0, 352N,  676W,  70,  985, HU,  50, NEQ,   30,   60,    0,    0, 1008,  100,  15,  75,   0,   L,   0,    ,   0,   0,       KATE, M, 12, NEQ,   15,  150,  180,   15, 
AL, 12, 2015111106,   , BEST,   0, 352N,  676W,  70,  985, HU,  64, NEQ,    0,   20,    0,    0, 1008,  100,  15,  75,   0,   L,   0,    ,   0,   0,       KATE, M, 12, NEQ,   15,  150,  180,   15, 
AL, 12, 2015111112,   , BEST,   0, 362N,  625W,  75,  980, HU,  34, NEQ,  120,  180,  180,   50, 1008,  120,  30,  80,   0,   L,   0,    ,   0,   0,       KATE, M, 12, NEQ,   30,  150,  180,   30, 
AL, 12, 2015111112,   , BEST,   0, 362N,  625W,  75,  980, HU,  50, NEQ,   60,   90,   60,    0, 1008,  120,  30,  80,   0,   L,   0,    ,   0,   0,       KATE, M, 12, NEQ,   30,  150,  180,   30, 
AL, 12, 2015111112,   , BEST,   0, 362N,  625W,  75,  980, HU,  64, NEQ,    0,   30,    0,    0, 1008,  120,  30,  80,   0,   L,   0,    ,   0,   0,       KATE, M, 12, NEQ,   30,  150,  180,   30, 
AL, 12, 2015111118,   , BEST,   0, 376N,  582W,  65,  980, HU,  34, NEQ,  150,  200,  180,   60, 1007,  100,  30,  80,   0,   L,   0,    ,   0,   0,       KATE, M, 12, NEQ,   60,  180,  240,   30, 
AL, 12, 2015111118,   , BEST,   0, 376N,  582W,  65,  980, HU,  50, NEQ,   60,   90,   60,    0, 1007,  100,  30,  80,   0,   L,   0,    ,   0,   0,       KATE, M, 12, NEQ,   60,  180,  240,   30, 
AL, 12, 2015111118,   , BEST,   0, 376N,  582W,  65,  980, HU,  64, NEQ,    0,   40,    0,    0, 1007,  100,  30,  80,   0,   L,   0,    ,   0,   0,       KATE, M, 12, NEQ,   60,  180,  240,   30, 
AL, 12, 2015111200,   , BEST,   0, 389N,  550W,  65,  980, EX,  34, NEQ,  180,  210,  180,   90, 1007,  100,  30,  75,   0,   L,   0,    ,   0,   0,       KATE, M, 
AL, 12, 2015111200,   , BEST,   0, 389N,  550W,  65,  980, EX,  50, NEQ,   90,  110,   60,    0, 1007,  100,  30,  75,   0,   L,   0,    ,   0,   0,       KATE, M, 
AL, 12, 2015111200,   , BEST,   0, 389N,  550W,  65,  980, EX,  64, NEQ,    0,   40,    0,    0, 1007,  100,  30,  75,   0,   L,   0,    ,   0,   0,       KATE, M, 
AL, 12, 2015111206,   , BEST,   0, 400N,  520W,  65,  980, EX,  34, NEQ,  220,  220,  180,  120, 1007,  100,  30,  75,   0,   L,   0,    ,   0,   0,       KATE, M, 12, NEQ,  100,  210,  360,  100, 
AL, 12, 2015111206,   , BEST,   0, 400N,  520W,  65,  980, EX,  50, NEQ,  120,  120,   60,    0, 1007,  100,  30,  75,   0,   L,   0,    ,   0,   0,       KATE, M, 12, NEQ,  100,  210,  360,  100, 
AL, 12, 2015111206,   , BEST,   0, 400N,  520W,  65,  980, EX,  64, NEQ,    0,   40,    0,    0, 1007,  100,  30,  75,   0,   L,   0,    ,   0,   0,       KATE, M, 12, NEQ,  100,  210,  360,  100, 
