AL, 15, 2011090618,   , BEST,   0, 203N,  939W,  30, 1006, LO,   0,    ,    0,    0,    0,    0, 1010,  120,  60,   0,   0,   L,   0,    ,   0,   0,     INVEST, S, 
AL, 15, 2011090700,   , BEST,   0, 203N,  937W,  30, 1006, LO,   0,    ,    0,    0,    0,    0, 1009,  150,  60,   0,   0,   L,   0,    ,   0,   0,     INVEST, S, 
AL, 15, 2011090706,   , BEST,   0, 203N,  933W,  30, 1005, LO,   0,    ,    0,    0,    0,    0, 1009,  150,  60,   0,   0,   L,   0,    ,   0,   0,     INVEST, S, 
AL, 15, 2011090712,   , BEST,   0, 203N,  929W,  35, 1005, LO,  34, NEQ,    0,    0,   75,    0, 1009,  150,  60,  35,   0,   L,   0,    ,   0,   0,     INVEST, S, 
AL, 15, 2011090718,   , BEST,   0, 203N,  926W,  40, 1004, TS,  34, NEQ,    0,    0,   90,   60, 1009,  150,  45,  50,   0,   L,   0,    ,   0,   0,       NATE, M, 
AL, 15, 2011090800,   , BEST,   0, 202N,  925W,  45, 1003, TS,  34, NEQ,    0,   90,   90,   60, 1011,  175,  45,  50,   0,   L,   0,    ,   0,   0,       NATE, M, 12, NEQ,    0,    0,   90,    0
AL, 15, 2011090806,   , BEST,   0, 201N,  924W,  50, 1000, TS,  34, NEQ,    0,   90,  120,   75, 1011,  150,  50,  50,   0,   L,   0,    ,   0,   0,       NATE, M, 12, NEQ,    0,    0,   90,    0
AL, 15, 2011090806,   , BEST,   0, 201N,  924W,  50, 1000, TS,  50, NEQ,    0,   40,    0,    0, 1011,  150,  50,  50,   0,   L,   0,    ,   0,   0,       NATE, M, 12, NEQ,    0,    0,   90,    0
AL, 15, 2011090812,   , BEST,   0, 199N,  923W,  55,  997, TS,  34, NEQ,   45,   90,  120,   75, 1011,  150,  25,  55,   0,   L,   0,    ,   0,   0,       NATE, M, 12, NEQ,   60,   60,   60,   90
AL, 15, 2011090812,   , BEST,   0, 199N,  923W,  55,  997, TS,  50, NEQ,    0,   40,   75,    0, 1011,  150,  25,  55,   0,   L,   0,    ,   0,   0,       NATE, M, 12, NEQ,   60,   60,   60,   90
AL, 15, 2011090818,   , BEST,   0, 197N,  923W,  65,  995, HU,  34, NEQ,   75,   90,  120,   75, 1012,  150,  25,  75,   0,   L,   0,    ,   0,   0,       NATE, M, 12, NEQ,   60,   60,   60,   90
AL, 15, 2011090818,   , BEST,   0, 197N,  923W,  65,  995, HU,  50, NEQ,    0,   50,   90,    0, 1012,  150,  25,  75,   0,   L,   0,    ,   0,   0,       NATE, M, 12, NEQ,   60,   60,   60,   90
AL, 15, 2011090818,   , BEST,   0, 197N,  923W,  65,  995, HU,  64, NEQ,    0,   40,    0,    0, 1012,  150,  25,  75,   0,   L,   0,    ,   0,   0,       NATE, M, 12, NEQ,   60,   60,   60,   90
AL, 15, 2011090900,   , BEST,   0, 197N,  921W,  65,  994, HU,  34, NEQ,   75,   90,  120,   90, 1010,  200,  30,  75,   0,   L,   0,    ,   0,   0,       NATE, M, 12, NEQ,   60,   60,   60,   90
AL, 15, 2011090900,   , BEST,   0, 197N,  921W,  65,  994, HU,  50, NEQ,    0,   50,   90,    0, 1010,  200,  30,  75,   0,   L,   0,    ,   0,   0,       NATE, M, 12, NEQ,   60,   60,   60,   90
AL, 15, 2011090900,   , BEST,   0, 197N,  921W,  65,  994, HU,  64, NEQ,    0,   40,    0,    0, 1010,  200,  30,  75,   0,   L,   0,    ,   0,   0,       NATE, M, 12, NEQ,   60,   60,   60,   90
