AL, 20, 2023101818,   , BEST,   0, 129N,  510W,  35, 1007, TS,  34, NEQ,  120,    0,    0,    0, 1010,  150,  80,  45,   0,   L,   0,    ,   0,   0,      TAMMY, M,  0,    ,    0,    0,    0,    0, genesis-num, 040, TRANSITIONED, alC42023 to al202023, 
AL, 20, 2023101900,   , BEST,   0, 130N,  525W,  35, 1006, TS,  34, NEQ,  120,    0,    0,   60, 1010,  130,  60,  45,   0,   L,   0,    ,   0,   0,      TAMMY, M, 12, NEQ,  120,    0,    0,    0, genesis-num, 040, 
AL, 20, 2023101906,   , BEST,   0, 132N,  540W,  45, 1004, TS,  34, NEQ,  120,   30,    0,   60, 1010,  130,  60,  45,   0,   L,   0,    ,   0,   0,      TAMMY, M, 12, NEQ,  210,    0,    0,  120, genesis-num, 040, 
AL, 20, 2023101912,   , BEST,   0, 134N,  553W,  50, 1004, TS,  34, NEQ,  110,   90,    0,   60, 1010,  120,  50,  60,   0,   L,   0,    ,   0,   0,      TAMMY, M, 12, NEQ,  210,   90,   30,  120, genesis-num, 040, 
AL, 20, 2023101912,   , BEST,   0, 134N,  553W,  50, 1004, TS,  50, NEQ,   50,    0,    0,    0, 1010,  120,  50,  60,   0,   L,   0,    ,   0,   0,      TAMMY, M, 12, NEQ,  210,   90,   30,  120, genesis-num, 040, 
AL, 20, 2023101918,   , BEST,   0, 135N,  564W,  50, 1002, TS,  34, NEQ,  110,  100,    0,   60, 1009,  120,  50,  60,   0,   L,   0,    ,   0,   0,      TAMMY, M, 12, NEQ,  300,  120,   30,  270, genesis-num, 040, 
AL, 20, 2023101918,   , BEST,   0, 135N,  564W,  50, 1002, TS,  50, NEQ,   50,    0,    0,    0, 1009,  120,  50,  60,   0,   L,   0,    ,   0,   0,      TAMMY, M, 12, NEQ,  300,  120,   30,  270, genesis-num, 040, 
AL, 20, 2023102000,   , BEST,   0, 136N,  572W,  50, 1001, TS,  34, NEQ,  110,  120,    0,   80, 1009,  120,  50,  60,   0,   L,   0,    ,   0,   0,      TAMMY, M, 12, NEQ,  270,  120,   60,  270, genesis-num, 040, 
AL, 20, 2023102000,   , BEST,   0, 136N,  572W,  50, 1001, TS,  50, NEQ,   50,    0,    0,    0, 1009,  120,  50,  60,   0,   L,   0,    ,   0,   0,      TAMMY, M, 12, NEQ,  270,  120,   60,  270, genesis-num, 040, 
AL, 20, 2023102006,   , BEST,   0, 137N,  579W,  50, 1000, TS,  34, NEQ,  110,  120,    0,   80, 1009,  130,  50,  60,   0,   L,   0,    ,   0,   0,      TAMMY, M, 12, NEQ,  270,  120,   60,  270, genesis-num, 040, 
AL, 20, 2023102006,   , BEST,   0, 137N,  579W,  50, 1000, TS,  50, NEQ,   50,    0,    0,    0, 1009,  130,  50,  60,   0,   L,   0,    ,   0,   0,      TAMMY, M, 12, NEQ,  270,  120,   60,  270, genesis-num, 040, 
AL, 20, 2023102012,   , BEST,   0, 139N,  584W,  60,  997, TS,  34, NEQ,  110,  120,   20,   80, 1010,  130,  40,  75,   0,   L,   0,    ,   0,   0,      TAMMY, M, 12, NEQ,  270,  150,   90,  330, genesis-num, 040, 
