EP, 12, 2015082318,   , BEST,   0, 123N, 1293W,  25, 1009, LO,   0,    ,    0,    0,    0,    0, 1011,  140,  60,   0,   0,   E,   0,    ,   0,   0,     INVEST, S, 
EP, 12, 2015082400,   , BEST,   0, 123N, 1295W,  25, 1008, LO,   0,    ,    0,    0,    0,    0, 1011,  150,  60,   0,   0,   E,   0,    ,   0,   0,     INVEST, S, 
EP, 12, 2015082406,   , BEST,   0, 125N, 1299W,  25, 1008, LO,   0,    ,    0,    0,    0,    0, 1010,  150,  70,  35,   0,   E,   0,    ,   0,   0,     INVEST, S, 
EP, 12, 2015082412,   , BEST,   0, 128N, 1303W,  25, 1007, LO,   0,    ,    0,    0,    0,    0, 1009,  150,  70,  35,   0,   E,   0,    ,   0,   0,     INVEST, S, 
EP, 12, 2015082418,   , BEST,   0, 130N, 1306W,  30, 1007, LO,   0,    ,    0,    0,    0,    0, 1011,  200,  70,  40,   0,   E,   0,    ,   0,   0,     INVEST, S, 
EP, 12, 2015082500,   , BEST,   0, 131N, 1311W,  30, 1007, TD,   0,    ,    0,    0,    0,    0, 1010,  180,  70,   0,   0,   E,   0,    ,   0,   0,     TWELVE, M,  0,    ,    0,    0,    0,    0, TRANSITIONED, epA52015 to ep122015, 
EP, 12, 2015082506,   , BEST,   0, 131N, 1316W,  30, 1006, TD,   0,    ,    0,    0,    0,    0, 1009,  200,  70,  40,   0,   E,   0,    ,   0,   0,     TWELVE, M, 
EP, 12, 2015082512,   , BEST,   0, 130N, 1322W,  30, 1005, TD,   0,    ,    0,    0,    0,    0, 1009,  220,  60,  40,   0,   E,   0,    ,   0,   0,     TWELVE, M, 
EP, 12, 2015082518,   , BEST,   0, 128N, 1328W,  35, 1004, TS,  34, NEQ,    0,    0,   30,   30, 1010,  200,  40,  45,   0,   E,   0,    ,   0,   0,    IGNACIO, M, 
EP, 12, 2015082600,   , BEST,   0, 124N, 1333W,  40, 1003, TS,  34, NEQ,   30,   30,   30,   30, 1010,  200,  40,  50,   0,   E,   0,    ,   0,   0,    IGNACIO, M, 12, NEQ,   45,    0,    0,   30, 
EP, 12, 2015082606,   , BEST,   0, 122N, 1341W,  45, 1001, TS,  34, NEQ,   30,   40,   40,   40, 1009,  200,  40,  55,   0,   E,   0,    ,   0,   0,    IGNACIO, M, 12, NEQ,   50,    0,   30,   45, 
EP, 12, 2015082612,   , BEST,   0, 120N, 1350W,  50,  999, TS,  34, NEQ,   30,   40,   40,   40, 1009,  200,  20,  60,   0,   E,   0,    ,   0,   0,    IGNACIO, D, 12, NEQ,   60,   30,   45,   60, 
EP, 12, 2015082612,   , BEST,   0, 120N, 1350W,  50,  999, TS,  50, NEQ,   10,   10,    0,   10, 1009,  200,  20,  60,   0,   E,   0,    ,   0,   0,    IGNACIO, D, 12, NEQ,   60,   30,   45,   60, 
EP, 12, 2015082618,   , BEST,   0, 118N, 1359W,  55,  998, TS,  34, NEQ,   30,   40,   40,   40, 1009,  200,  20,  65,   0,   E,   0,    ,   0,   0,    IGNACIO, D, 12, NEQ,   60,   45,   45,   60, 
EP, 12, 2015082618,   , BEST,   0, 118N, 1359W,  55,  998, TS,  50, NEQ,   10,   20,    0,   20, 1009,  200,  20,  65,   0,   E,   0,    ,   0,   0,    IGNACIO, D, 12, NEQ,   60,   45,   45,   60, 
EP, 12, 2015082700,   , BEST,   0, 120N, 1369W,  65,  992, HU,  34, NEQ,   40,   40,   40,   40, 1008,  200,  20,  80,   0,   E,   0,    ,   0,   0,    IGNACIO, D, 12, NEQ,   60,   30,   45,   75, 
EP, 12, 2015082700,   , BEST,   0, 120N, 1369W,  65,  992, HU,  50, NEQ,   20,   20,   20,   30, 1008,  200,  20,  80,   0,   E,   0,    ,   0,   0,    IGNACIO, D, 12, NEQ,   60,   30,   45,   75, 
EP, 12, 2015082700,   , BEST,   0, 120N, 1369W,  65,  992, HU,  64, NEQ,   15,   15,   15,   20, 1008,  200,  20,  80,   0,   E,   0,    ,   0,   0,    IGNACIO, D, 12, NEQ,   60,   30,   45,   75, 
EP, 12, 2015082706,   , BEST,   0, 123N, 1379W,  75,  985, HU,  34, NEQ,   50,   50,   50,   50, 1008,  200,  15,  90,   0,   E,   0,    ,   0,   0,    IGNACIO, D, 12, NEQ,  120,  120,  120,  120, 
EP, 12, 2015082706,   , BEST,   0, 123N, 1379W,  75,  985, HU,  50, NEQ,   30,   20,   20,   30, 1008,  200,  15,  90,   0,   E,   0,    ,   0,   0,    IGNACIO, D, 12, NEQ,  120,  120,  120,  120, 
EP, 12, 2015082706,   , BEST,   0, 123N, 1379W,  75,  985, HU,  64, NEQ,   20,   15,   15,   20, 1008,  200,  15,  90,   0,   E,   0,    ,   0,   0,    IGNACIO, D, 12, NEQ,  120,  120,  120,  120, 
EP, 12, 2015082712,   , BEST,   0, 126N, 1390W,  80,  982, HU,  34, NEQ,   70,   60,   50,   70, 1008,  200,  15, 100,   0,   E,   0,    ,   0,   0,    IGNACIO, D, 12, NEQ,  120,  120,  120,  120, 
EP, 12, 2015082712,   , BEST,   0, 126N, 1390W,  80,  982, HU,  50, NEQ,   40,   30,   20,   30, 1008,  200,  15, 100,   0,   E,   0,    ,   0,   0,    IGNACIO, D, 12, NEQ,  120,  120,  120,  120, 
EP, 12, 2015082712,   , BEST,   0, 126N, 1390W,  80,  982, HU,  64, NEQ,   20,   20,   15,   20, 1008,  200,  15, 100,   0,   E,   0,    ,   0,   0,    IGNACIO, D, 12, NEQ,  120,  120,  120,  120, 
EP, 12, 2015082718,   , BEST,   0, 129N, 1402W,  80,  982, HU,  34, NEQ,   70,   70,   60,   70, 1010,  200,  15, 100,   0,   E,   0,    ,   0,   0,    IGNACIO, D, 12, NEQ,  120,   90,   90,  120, 
EP, 12, 2015082718,   , BEST,   0, 129N, 1402W,  80,  982, HU,  50, NEQ,   40,   40,   20,   40, 1010,  200,  15, 100,   0,   E,   0,    ,   0,   0,    IGNACIO, D, 12, NEQ,  120,   90,   90,  120, 
