EP, 12, 2022090412,   , BEST,   0, 141N, 1009W,  30, 1005, TD,   0,    ,    0,    0,    0,    0, 1008,  180,  60,  40,   0,   E,   0,    ,   0,   0,     TWELVE, S,  0,    ,    0,    0,    0,    0, genesis-num, 020, TRANSITIONED, epB32022 to ep122022, 
EP, 12, 2022090418,   , BEST,   0, 147N, 1020W,  35, 1004, TS,  34, NEQ,  100,    0,    0,    0, 1007,  180,  60,  45,   0,   E,   0,    ,   0,   0,        KAY, S, 12, NEQ,  120,    0,    0,    0, genesis-num, 020, 
EP, 12, 2022090500,   , BEST,   0, 153N, 1033W,  35, 1002, TS,  34, NEQ,  140,   80,    0,   60, 1006,  180,  60,  45,   0,   E,   0,    ,   0,   0,        KAY, S, 12, NEQ,  180,   60,    0,    0, genesis-num, 020, 
EP, 12, 2022090506,   , BEST,   0, 155N, 1048W,  45,  998, TS,  34, NEQ,  180,  100,    0,   90, 1006,  200,  60,  55,   0,   E,   0,    ,   0,   0,        KAY, M, 12, NEQ,  180,   90,    0,    0, genesis-num, 020, 
EP, 12, 2022090512,   , BEST,   0, 155N, 1060W,  55,  990, TS,  34, NEQ,  180,  100,    0,   90, 1006,  200,  50,  60,   0,   E,   0,    ,   0,   0,        KAY, M, 12, NEQ,  180,   90,    0,   60, genesis-num, 020, 
EP, 12, 2022090512,   , BEST,   0, 155N, 1060W,  55,  990, TS,  50, NEQ,   50,    0,    0,    0, 1006,  200,  50,  60,   0,   E,   0,    ,   0,   0,        KAY, M, 12, NEQ,  180,   90,    0,   60, genesis-num, 020, 
EP, 12, 2022090518,   , BEST,   0, 155N, 1069W,  65,  983, HU,  34, NEQ,  150,  130,   80,  100, 1006,  200,  25,  65,   0,   E,   0,    ,   0,   0,        KAY, M, 12, NEQ,  180,  180,  120,  120, genesis-num, 020, 
EP, 12, 2022090518,   , BEST,   0, 155N, 1069W,  65,  983, HU,  50, NEQ,   50,   50,    0,    0, 1006,  200,  25,  65,   0,   E,   0,    ,   0,   0,        KAY, M, 12, NEQ,  180,  180,  120,  120, genesis-num, 020, 
EP, 12, 2022090518,   , BEST,   0, 155N, 1069W,  65,  983, HU,  64, NEQ,   25,    0,    0,    0, 1006,  200,  25,  65,   0,   E,   0,    ,   0,   0,        KAY, M, 12, NEQ,  180,  180,  120,  120, genesis-num, 020, 
EP, 12, 2022090600,   , BEST,   0, 159N, 1077W,  70,  980, HU,  34, NEQ,  150,  130,   80,  100, 1008,  230,  20,  85,   0,   E,   0,    ,   0,   0,        KAY, D, 12, NEQ,  180,  180,  120,  120, genesis-num, 020, 
EP, 12, 2022090600,   , BEST,   0, 159N, 1077W,  70,  980, HU,  50, NEQ,   50,   50,    0,    0, 1008,  230,  20,  85,   0,   E,   0,    ,   0,   0,        KAY, D, 12, NEQ,  180,  180,  120,  120, genesis-num, 020, 
EP, 12, 2022090600,   , BEST,   0, 159N, 1077W,  70,  980, HU,  64, NEQ,   25,   25,    0,    0, 1008,  230,  20,  85,   0,   E,   0,    ,   0,   0,        KAY, D, 12, NEQ,  180,  180,  120,  120, genesis-num, 020, 
