EP, 15, 2014090912,   , BEST,   0, 135N, 1001W,  25, 1007, LO,   0,    ,    0,    0,    0,    0, 1009,  150,  80,  35,   0,   E,   0,    ,   0,   0,     INVEST, M, 
EP, 15, 2014090918,   , BEST,   0, 137N, 1009W,  30, 1006, LO,   0,    ,    0,    0,    0,    0, 1009,  150, 100,  40,   0,   E,   0,    ,   0,   0,     INVEST, M, 
EP, 15, 2014091000,   , BEST,   0, 140N, 1017W,  30, 1005, TD,   0,    ,    0,    0,    0,    0, 1009,  150, 100,  40,   0,   E,   0,    ,   0,   0,     INVEST, M, 
EP, 15, 2014091006,   , BEST,   0, 144N, 1024W,  35, 1004, TS,  34, NEQ,   40,    0,    0,   40, 1009,  175,  45,  40,   0,   E,   0,    ,   0,   0,    FIFTEEN, M,  0,    ,    0,    0,    0,    0,         TRANSITIONED, epC42014 to ep152014
EP, 15, 2014091012,   , BEST,   0, 148N, 1028W,  40, 1002, TS,  34, NEQ,   40,    0,    0,   40, 1009,  175,  40,  45,   0,   E,   0,    ,   0,   0,    FIFTEEN, M, 
EP, 15, 2014091018,   , BEST,   0, 152N, 1031W,  40, 1002, TS,  34, NEQ,   50,    0,    0,   50, 1009,  175,  40,  45,   0,   E,   0,    ,   0,   0,      ODILE, M, 
EP, 15, 2014091100,   , BEST,   0, 154N, 1035W,  40, 1001, TS,  34, NEQ,   60,   40,   60,   60, 1006,  140,  40,  50,   0,   E,   0,    ,   0,   0,      ODILE, M, 12, NEQ,   40,    0,    0,   40, 
EP, 15, 2014091106,   , BEST,   0, 155N, 1038W,  45,  998, TS,  34, NEQ,   60,   40,   60,   60, 1006,  140,  40,  55,   0,   E,   0,    ,   0,   0,      ODILE, M, 12, NEQ,   40,   30,   30,   40, 
EP, 15, 2014091112,   , BEST,   0, 154N, 1041W,  45,  998, TS,  34, NEQ,   60,   60,   60,   60, 1006,  140,  40,  55,   0,   E,   0,    ,   0,   0,      ODILE, M, 12, NEQ,   50,   40,   40,   50, 
EP, 15, 2014091118,   , BEST,   0, 153N, 1043W,  50,  995, TS,  34, NEQ,   60,   80,   80,   60, 1008,  160,  20,  60,   0,   E,   0,    ,   0,   0,      ODILE, M, 12, NEQ,   60,   90,   90,   90, 
EP, 15, 2014091118,   , BEST,   0, 153N, 1043W,  50,  995, TS,  50, NEQ,    0,   20,   20,    0, 1008,  160,  20,  60,   0,   E,   0,    ,   0,   0,      ODILE, M, 12, NEQ,   60,   90,   90,   90, 
EP, 15, 2014091200,   , BEST,   0, 153N, 1045W,  50,  994, TS,  34, NEQ,   70,  100,  100,   60, 1006,  180,  60,  60,   0,   E,   0,    ,   0,   0,      ODILE, M, 12, NEQ,   60,  120,  120,   90, 
EP, 15, 2014091200,   , BEST,   0, 153N, 1045W,  50,  994, TS,  50, NEQ,    0,   20,   20,    0, 1006,  180,  60,  60,   0,   E,   0,    ,   0,   0,      ODILE, M, 12, NEQ,   60,  120,  120,   90, 
EP, 15, 2014091206,   , BEST,   0, 154N, 1046W,  50,  993, TS,  34, NEQ,   70,  120,  120,   70, 1006,  180,  60,  60,   0,   E,   0,    ,   0,   0,      ODILE, M, 12, NEQ,  120,  180,  180,  120, 
EP, 15, 2014091206,   , BEST,   0, 154N, 1046W,  50,  993, TS,  50, NEQ,    0,   40,   40,    0, 1006,  180,  60,  60,   0,   E,   0,    ,   0,   0,      ODILE, M, 12, NEQ,  120,  180,  180,  120, 
EP, 15, 2014091212,   , BEST,   0, 155N, 1047W,  55,  990, TS,  34, NEQ,   90,  140,  150,   70, 1007,  180,  60,  65,   0,   E,   0,    ,   0,   0,      ODILE, M, 
EP, 15, 2014091212,   , BEST,   0, 155N, 1047W,  55,  990, TS,  50, NEQ,    0,   60,   40,    0, 1007,  180,  60,  65,   0,   E,   0,    ,   0,   0,      ODILE, M, 
EP, 15, 2014091218,   , BEST,   0, 156N, 1048W,  55,  989, TS,  34, NEQ,  100,  150,  180,   70, 1007,  180,  60,  65,   0,   E,   0,    ,   0,   0,      ODILE, M, 12, NEQ,  150,  210,  210,  120, 
EP, 15, 2014091218,   , BEST,   0, 156N, 1048W,  55,  989, TS,  50, NEQ,    0,   60,   40,    0, 1007,  180,  60,  65,   0,   E,   0,    ,   0,   0,      ODILE, M, 12, NEQ,  150,  210,  210,  120, 
EP, 15, 2014091300,   , BEST,   0, 157N, 1049W,  60,  986, TS,  34, NEQ,  100,  150,  180,   70, 1007,  180,  60,  65,   0,   E,   0,    ,   0,   0,      ODILE, M, 12, NEQ,  150,  210,  210,  120, 
EP, 15, 2014091300,   , BEST,   0, 157N, 1049W,  60,  986, TS,  50, NEQ,    0,   60,   40,    0, 1007,  180,  60,  65,   0,   E,   0,    ,   0,   0,      ODILE, M, 12, NEQ,  150,  210,  210,  120, 
EP, 15, 2014091306,   , BEST,   0, 160N, 1053W,  65,  983, HU,  34, NEQ,  120,  150,  180,   80, 1007,  180,  40,  75,   0,   E,   0,    ,   0,   0,      ODILE, M, 12, NEQ,  180,  270,  270,  180, 
EP, 15, 2014091306,   , BEST,   0, 160N, 1053W,  65,  983, HU,  50, NEQ,   30,   60,   40,   30, 1007,  180,  40,  75,   0,   E,   0,    ,   0,   0,      ODILE, M, 12, NEQ,  180,  270,  270,  180, 
EP, 15, 2014091306,   , BEST,   0, 160N, 1053W,  65,  983, HU,  64, NEQ,   20,    0,    0,   20, 1007,  180,  40,  75,   0,   E,   0,    ,   0,   0,      ODILE, M, 12, NEQ,  180,  270,  270,  180, 
EP, 15, 2014091312,   , BEST,   0, 163N, 1056W,  70,  978, HU,  34, NEQ,  140,  150,  170,   90, 1007,  180,  20,  80,   0,   E,   0,    ,   0,   0,      ODILE, M, 12, NEQ,  200,  270,  270,  180, 
EP, 15, 2014091312,   , BEST,   0, 163N, 1056W,  70,  978, HU,  50, NEQ,   40,   60,   50,   40, 1007,  180,  20,  80,   0,   E,   0,    ,   0,   0,      ODILE, M, 12, NEQ,  200,  270,  270,  180, 
EP, 15, 2014091312,   , BEST,   0, 163N, 1056W,  70,  978, HU,  64, NEQ,   20,   20,   20,   20, 1007,  180,  20,  80,   0,   E,   0,    ,   0,   0,      ODILE, M, 12, NEQ,  200,  270,  270,  180, 
EP, 15, 2014091318,   , BEST,   0, 167N, 1059W,  80,  966, HU,  34, NEQ,  160,  150,  160,   90, 1007,  180,  15,  90,   0,   E,   0,    ,   0,   0,      ODILE, D, 12, NEQ,  180,  270,  270,  180, 
