EP, 17, 2013101918,   , BEST,   0, 132N,  998W,  25, 1006, LO,   0,    ,    0,    0,    0,    0, 1010,  200,  60,  35,   0,   E,   0,    ,   0,   0,     INVEST, M, 
EP, 17, 2013102000,   , BEST,   0, 137N, 1005W,  30, 1004, TD,   0,    ,    0,    0,    0,    0, 1008,  150,  40,  40,   0,   E,   0,    ,   0,   0,  SEVENTEEN, M, 
EP, 17, 2013102006,   , BEST,   0, 142N, 1010W,  35, 1003, TS,  34, NEQ,   30,   30,    0,   30, 1008,  150,  30,  45,   0,   E,   0,    ,   0,   0,    RAYMOND, M, 
EP, 17, 2013102012,   , BEST,   0, 147N, 1014W,  45, 1000, TS,  34, NEQ,   40,   40,    0,   40, 1008,  150,  25,  55,   0,   E,   0,    ,   0,   0,    RAYMOND, M, 12, NEQ,   60,   60,    0,   60
EP, 17, 2013102018,   , BEST,   0, 152N, 1017W,  60,  993, TS,  34, NEQ,   40,   40,   20,   40, 1008,  150,  20,  65,   0,   E,   0,    ,   0,   0,    RAYMOND, M, 12, NEQ,   60,   60,    0,   60
EP, 17, 2013102018,   , BEST,   0, 152N, 1017W,  60,  993, TS,  50, NEQ,   20,   20,    0,    0, 1008,  150,  20,  65,   0,   E,   0,    ,   0,   0,    RAYMOND, M, 12, NEQ,   60,   60,    0,   60
EP, 17, 2013102100,   , BEST,   0, 157N, 1020W,  80,  978, HU,  34, NEQ,   50,   50,   20,   50, 1007,  150,  20,  80,   0,   E,   0,    ,   0,   0,    RAYMOND, D, 12, NEQ,   90,   60,    0,   90
EP, 17, 2013102100,   , BEST,   0, 157N, 1020W,  80,  978, HU,  50, NEQ,   30,   30,   10,   20, 1007,  150,  20,  80,   0,   E,   0,    ,   0,   0,    RAYMOND, D, 12, NEQ,   90,   60,    0,   90
EP, 17, 2013102100,   , BEST,   0, 157N, 1020W,  80,  978, HU,  64, NEQ,   10,   10,    0,   10, 1007,  150,  20,  80,   0,   E,   0,    ,   0,   0,    RAYMOND, D, 12, NEQ,   90,   60,    0,   90
EP, 17, 2013102106,   , BEST,   0, 160N, 1022W,  95,  965, HU,  34, NEQ,   60,   50,   30,   50, 1007,  150,  15, 115,   0,   E,   0,    ,   0,   0,    RAYMOND, D, 12, NEQ,   90,   60,   30,   90
EP, 17, 2013102106,   , BEST,   0, 160N, 1022W,  95,  965, HU,  50, NEQ,   30,   30,   20,   30, 1007,  150,  15, 115,   0,   E,   0,    ,   0,   0,    RAYMOND, D, 12, NEQ,   90,   60,   30,   90
EP, 17, 2013102106,   , BEST,   0, 160N, 1022W,  95,  965, HU,  64, NEQ,   20,   20,   10,   20, 1007,  150,  15, 115,   0,   E,   0,    ,   0,   0,    RAYMOND, D, 12, NEQ,   90,   60,   30,   90
EP, 17, 2013102112,   , BEST,   0, 162N, 1022W, 105,  956, HU,  34, NEQ,   60,   50,   30,   60, 1007,  150,  15, 130,   0,   E,   0,    ,   0,   0,    RAYMOND, D, 12, NEQ,   90,   90,   50,   90
EP, 17, 2013102112,   , BEST,   0, 162N, 1022W, 105,  956, HU,  50, NEQ,   30,   30,   20,   30, 1007,  150,  15, 130,   0,   E,   0,    ,   0,   0,    RAYMOND, D, 12, NEQ,   90,   90,   50,   90
EP, 17, 2013102112,   , BEST,   0, 162N, 1022W, 105,  956, HU,  64, NEQ,   20,   20,   10,   20, 1007,  150,  15, 130,   0,   E,   0,    ,   0,   0,    RAYMOND, D, 12, NEQ,   90,   90,   50,   90
EP, 17, 2013102118,   , BEST,   0, 164N, 1021W, 110,  951, HU,  34, NEQ,   70,   50,   40,   60, 1007,  150,  15, 135,   0,   E,   0,    ,   0,   0,    RAYMOND, D, 12, NEQ,   90,   90,   90,   75
EP, 17, 2013102118,   , BEST,   0, 164N, 1021W, 110,  951, HU,  50, NEQ,   40,   30,   20,   30, 1007,  150,  15, 135,   0,   E,   0,    ,   0,   0,    RAYMOND, D, 12, NEQ,   90,   90,   90,   75
