IO, 01, 2020051506,   , BEST,   0,  95N,  875E,  20, 1007, DB,   0,    ,    0,    0,    0,    0, 1006,  150,  50,   0,   0,    ,   0,    ,   0,   0,     INVEST,  ,  0,    ,    0,    0,    0,    0, TCFA1, TCFA 1 OF 1 1 151000ZMAY2020, 
IO, 01, 2020051512,   , BEST,   0,  95N,  870E,  30, 1002, TD,   0,    ,    0,    0,    0,    0, 1006,  150,  50,   0,   0,   B,   0,    ,   0,   0,     INVEST, S, 
IO, 01, 2020051518,   , BEST,   0,  95N,  866E,  30, 1001, TD,   0,    ,    0,    0,    0,    0, 1006,  150,  50,   0,   0,   B,   0,    ,   0,   0,     INVEST, S, 
IO, 01, 2020051600,   , BEST,   0,  97N,  863E,  35,  999, TS,  34, NEQ,  120,   90,    0,    0, 1006,  150,  60,   0,   0,   B,   0,    ,   0,   0,     INVEST, S, 
IO, 01, 2020051606,   , BEST,   0,  99N,  859E,  40,  997, TS,  34, NEQ,   50,   70,   55,   40, 1004,  215,  55,   0,   0,   B,   0,    ,   0,   0,        ONE, M,  0,    ,    0,    0,    0,    0, TRANSITIONED, ioA12020 to io012020, 
IO, 01, 2020051612,   , BEST,   0, 103N,  860E,  50,  992, TS,  34, NEQ,   50,   30,   30,   65, 1004,  220,  50,   0,   0,   B,   0,    ,   0,   0,        ONE, M, 
IO, 01, 2020051618,   , BEST,   0, 107N,  861E,  55,  987, TS,  34, NEQ,   50,   90,  105,   60, 1003,  195,  35,   0,   0,   B,   0,    ,   0,   0,     AMPHAN, M, 
IO, 01, 2020051618,   , BEST,   0, 107N,  861E,  55,  987, TS,  50, NEQ,   30,   30,   30,   35, 1003,  195,  35,   0,   0,   B,   0,    ,   0,   0,     AMPHAN, M, 
IO, 01, 2020051700,   , BEST,   0, 110N,  862E,  60,  982, TS,  34, NEQ,   55,   95,  120,   70, 1001,  210,  30,   0,   0,   B,   0,    ,   0,   0,     AMPHAN, M, 
IO, 01, 2020051700,   , BEST,   0, 110N,  862E,  60,  982, TS,  50, NEQ,   30,   30,   40,   35, 1001,  210,  30,   0,   0,   B,   0,    ,   0,   0,     AMPHAN, M, 
IO, 01, 2020051706,   , BEST,   0, 114N,  863E,  70,  978, HU,  34, NEQ,   70,   85,  110,   45, 1003,  230,  15,   0,   0,   B,   0,    ,   0,   0,     AMPHAN, D, 
IO, 01, 2020051706,   , BEST,   0, 114N,  863E,  70,  978, HU,  50, NEQ,   40,   45,   65,   35, 1003,  230,  15,   0,   0,   B,   0,    ,   0,   0,     AMPHAN, D, 
