IO, 90, 2013010312,   , BEST,   0, 051N, 0857E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   B,   0,   X, 270,  10,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO902012, JTWC, MT2C_TCVITALS, 
IO, 90, 2013010312,   , BEST,   0, 051N, 0857E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   B,   0,   X, 247,  10,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO902012, JTWC, MT2C_TCVITALS, 
IO, 90, 2013010318,   , BEST,   0, 059N, 0847E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   B,   0,   X, 270,  10,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO902012, JTWC, MT2C_TCVITALS, 
IO, 90, 2013010400,   , BEST,   0, 048N, 0846E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   B,   0,   X, 255,   6,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO902012, JTWC, MT2C_TCVITALS, 
IO, 90, 2013010406,   , BEST,   0, 044N, 0843E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   B,   0,   X, 195,   8,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO902012, JTWC, MT2C_TCVITALS, 
IO, 90, 2013010406,   , BEST,   0, 037N, 0842E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   B,   0,   X, 193,  11,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO902012, JTWC, MT2C_TCVITALS, 
IO, 90, 2013010412,   , BEST,   0, 027N, 0853E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   B,   0,   X, 162,  11,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO902012, JTWC, MT2C_TCVITALS, 
IO, 90, 2013010418,   , BEST,   0, 026N, 0854E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   B,   0,   X, 133,   8,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO902012, JTWC, MT2C_TCVITALS, 
IO, 90, 2013010500,   , BEST,   0, 033N, 0859E,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   B,   0,   X,  45,   4,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO902012, JTWC, MT2C_TCVITALS, 
IO, 90, 2013010500,   , BEST,   0, 030N, 0860E,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   B,   0,   X,  67,   4,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO902012, JTWC, MT2C_TCVITALS, 
IO, 90, 2013010506,   , BEST,   0, 036N, 0864E,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   B,   0,   X,  45,   7,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO902012, JTWC, MT2C_TCVITALS, 
