IO, 96, 2015110606,   , BEST,   0, 084N, 0885E,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, 1008,  155,    ,   0,   0,   B,   0,   X, 260,   7,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO962015, JTWC, NCEP_TCVITALS, 
IO, 96, 2015110718,   , BEST,   0, 098N, 0842E,  25, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1008,  210,  75,   0,   0,   B,   0,   X, 300,   8,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO962015, JTWC, NCEP_TCVITALS, 
IO, 96, 2015110800,   , BEST,   0, 102N, 0835E,  25, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1008,  210,  75,   0,   0,   B,   0,   X, 300,   8,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO962015, JTWC, NCEP_TCVITALS, 
IO, 96, 2015110806,   , BEST,   0, 108N, 0833E,  30, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1010,  200,  75,   0,   0,   B,   0,   X, 305,   7,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO962015, JTWC, NCEP_TCVITALS, 
IO, 96, 2015110818,   , BEST,   0, 115N, 0813E,  30, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1010,  225,  60,   0,   0,   B,   0,   X, 295,   9,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO962015, JTWC, NCEP_TCVITALS, 
IO, 96, 2015110900,   , BEST,   0, 116N, 0807E,  30, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1010,  240,  50,   0,   0,   B,   0,   X, 290,   9,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO962015, JTWC, NCEP_TCVITALS, 
IO, 96, 2015110906,   , BEST,   0, 118N, 0796E,  30, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1011,  230,  50,   0,   0,   B,   0,   X, 280,   9,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO962015, JTWC, NCEP_TCVITALS, 
IO, 96, 2015110912,   , BEST,   0, 121N, 0798E,  25, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1011,  220,  50,   0,   0,   B,   0,   X, 290,   6,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO962015, JTWC, NCEP_TCVITALS, 
IO, 96, 2015110918,   , BEST,   0, 124N, 0789E,  25, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1011,  220,  50,   0,   0,   B,   0,   X, 295,   6,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO962015, JTWC, NCEP_TCVITALS, 
IO, 96, 2015111000,   , BEST,   0, 125N, 0778E,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, 1011,  210,  50,   0,   0,   B,   0,   X, 285,   8,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO962015, JTWC, NCEP_TCVITALS, 
IO, 96, 2015111006,   , BEST,   0, 127N, 0782E,  20, 1005, XX,  34, NEQ,    0,    0,    0,    0, 1008,  180,  50,   0,   0,   B,   0,   X, 290,   6,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO962015, JTWC, NCEP_TCVITALS, 
IO, 96, 2015111012,   , BEST,   0, 128N, 0779E,  20, 1005, XX,  34, NEQ,    0,    0,    0,    0, 1008,  180,  50,   0,   0,   B,   0,   X, 285,   5,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO962015, JTWC, NCEP_TCVITALS, 
IO, 96, 2015111018,   , BEST,   0, 129N, 0775E,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, 1008,  180,  50,   0,   0,   B,   0,   X, 285,   4,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO962015, JTWC, NCEP_TCVITALS, 
IO, 96, 2015111100,   , BEST,   0, 129N, 0771E,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, 1008,  180,  50,   0,   0,   B,   0,   X, 280,   4,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO962015, JTWC, NCEP_TCVITALS, 
IO, 96, 2015111106,   , BEST,   0, 130N, 0770E,  20, 1005, XX,  34, NEQ,    0,    0,    0,    0, 1008,  180,  50,   0,   0,   B,   0,   X, 285,   3,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO962015, JTWC, NCEP_TCVITALS, 
IO, 96, 2015111112,   , BEST,   0, 129N, 0740E,  20, 1006, XX,  34, NEQ,    0,    0,    0,    0, 1008,  180,  50,   0,   0,   B,   0,   X, 270,   9,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO962015, JTWC, NCEP_TCVITALS, 
IO, 96, 2015111400,   , BEST,   0, 124N, 0637E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, 1011,  150,  40,   0,   0,   B,   0,   X, 255,  10,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO962015, JTWC, NCEP_TCVITALS, 
