SH, 08, 2012011806,   , BEST,   0, 167S,  414E,  20, 1007, DB,   0,    ,    0,    0,    0,    0, 
SH, 08, 2012011812,   , BEST,   0, 169S,  414E,  25, 1004, TD,   0,    ,    0,    0,    0,    0, 
SH, 08, 2012011818,   , BEST,   0, 172S,  414E,  25, 1004, TD,   0,    ,    0,    0,    0,    0, 
SH, 08, 2012011900,   , BEST,   0, 175S,  412E,  30, 1000, TD,   0,    ,    0,    0,    0,    0, 
SH, 08, 2012011906,   , BEST,   0, 175S,  408E,  35,  996, TS,   0,    ,    0,    0,    0,    0, 1005,  160,  25,   0,   0,   S,   0,    ,   0,   0,      EIGHT, M, 
SH, 08, 2012011912,   , BEST,   0, 179S,  405E,  45,  989, TS,   0,    ,    0,    0,    0,    0, 1005,  160,  25,   0,   0,   S,   0,    ,   0,   0,      EIGHT, M, 
SH, 08, 2012011918,   , BEST,   0, 182S,  399E,  55,  982, TS,  34, NEQ,   30,   40,   35,   30, 1005,  160,  25,   0,   0,   S,   0,    ,   0,   0,      FUNSO, M, 
SH, 08, 2012012000,   , BEST,   0, 182S,  393E,  75,  967, HU,  34, NEQ,   70,   85,   80,   60, 1006,  210,  15,   0,   0,   S,   0,    ,   0,   0,      FUNSO, D, 
SH, 08, 2012012000,   , BEST,   0, 182S,  393E,  75,  967, HU,  50, NEQ,   30,   30,   30,   30, 1006,  210,  15,   0,   0,   S,   0,    ,   0,   0,      FUNSO, D, 
SH, 08, 2012012000,   , BEST,   0, 182S,  393E,  75,  967, HU,  64, NEQ,   15,   15,   15,   15, 1006,  210,  15,   0,   0,   S,   0,    ,   0,   0,      FUNSO, D, 
SH, 08, 2012012006,   , BEST,   0, 183S,  387E,  75,  967, HU,  34, NEQ,  110,  110,  110,  110, 1003,  190,  20,   0,   0,   S,   0,    ,   0,   0,      FUNSO, D, 
SH, 08, 2012012006,   , BEST,   0, 183S,  387E,  75,  967, HU,  50, NEQ,   50,   50,   50,   50, 1003,  190,  20,   0,   0,   S,   0,    ,   0,   0,      FUNSO, D, 
SH, 08, 2012012006,   , BEST,   0, 183S,  387E,  75,  967, HU,  64, NEQ,   25,   25,   25,   25, 1003,  190,  20,   0,   0,   S,   0,    ,   0,   0,      FUNSO, D, 
SH, 08, 2012012012,   , BEST,   0, 183S,  383E,  75,  967, HU,  34, NEQ,  110,  110,  110,  110, 1003,  190,  20,   0,   0,   S,   0,    ,   0,   0,      FUNSO, D, 
SH, 08, 2012012012,   , BEST,   0, 183S,  383E,  75,  967, HU,  50, NEQ,   50,   50,   50,   50, 1003,  190,  20,   0,   0,   S,   0,    ,   0,   0,      FUNSO, D, 
SH, 08, 2012012012,   , BEST,   0, 183S,  383E,  75,  967, HU,  64, NEQ,   25,   25,   25,   25, 1003,  190,  20,   0,   0,   S,   0,    ,   0,   0,      FUNSO, D, 
SH, 08, 2012012018,   , BEST,   0, 183S,  380E,  80,  963, HU,  34, NEQ,  110,  110,  110,  110, 1003,  190,  20,   0,   0,   S,   0,    ,   0,   0,      FUNSO, D, 
SH, 08, 2012012018,   , BEST,   0, 183S,  380E,  80,  963, HU,  50, NEQ,   50,   50,   50,   50, 1003,  190,  20,   0,   0,   S,   0,    ,   0,   0,      FUNSO, D, 
SH, 08, 2012012018,   , BEST,   0, 183S,  380E,  80,  963, HU,  64, NEQ,   25,   25,   25,   25, 1003,  190,  20,   0,   0,   S,   0,    ,   0,   0,      FUNSO, D, 
SH, 08, 2012012100,   , BEST,   0, 181S,  377E,  85,  959, HU,  34, NEQ,  110,  110,  110,  110, 1003,  190,  25,   0,   0,   S,   0,    ,   0,   0,      FUNSO, D, 
SH, 08, 2012012100,   , BEST,   0, 181S,  377E,  85,  959, HU,  50, NEQ,   60,   60,   60,   60, 1003,  190,  25,   0,   0,   S,   0,    ,   0,   0,      FUNSO, D, 
SH, 08, 2012012100,   , BEST,   0, 181S,  377E,  85,  959, HU,  64, NEQ,   40,   40,   40,   40, 1003,  190,  25,   0,   0,   S,   0,    ,   0,   0,      FUNSO, D, 
SH, 08, 2012012106,   , BEST,   0, 180S,  377E, 100,  948, HU,  34, NEQ,  110,  110,  110,  110, 1001,  210,  20,   0,  10,   S,   0,    ,   0,   0,      FUNSO, D, 
SH, 08, 2012012106,   , BEST,   0, 180S,  377E, 100,  948, HU,  50, NEQ,   70,   70,   70,   70, 1001,  210,  20,   0,  10,   S,   0,    ,   0,   0,      FUNSO, D, 
SH, 08, 2012012106,   , BEST,   0, 180S,  377E, 100,  948, HU,  64, NEQ,   50,   50,   50,   50, 1001,  210,  20,   0,  10,   S,   0,    ,   0,   0,      FUNSO, D, 
SH, 08, 2012012112,   , BEST,   0, 179S,  378E, 100,  948, HU,  34, NEQ,  115,  130,  130,  115, 1002,  200,  15,   0,   0,   S,   0,    ,   0,   0,      FUNSO, D, 
SH, 08, 2012012112,   , BEST,   0, 179S,  378E, 100,  948, HU,  50, NEQ,   70,   70,   70,   70, 1002,  200,  15,   0,   0,   S,   0,    ,   0,   0,      FUNSO, D, 
SH, 08, 2012012112,   , BEST,   0, 179S,  378E, 100,  948, HU,  64, NEQ,   50,   50,   50,   50, 1002,  200,  15,   0,   0,   S,   0,    ,   0,   0,      FUNSO, D, 
SH, 08, 2012012118,   , BEST,   0, 178S,  380E,  90,  956, HU,  34, NEQ,  115,  115,  115,  115, 1000,  190,  20,   0,   0,   S,   0,    ,   0,   0,      FUNSO, D, 
SH, 08, 2012012118,   , BEST,   0, 178S,  380E,  90,  956, HU,  50, NEQ,   70,   70,   70,   70, 1000,  190,  20,   0,   0,   S,   0,    ,   0,   0,      FUNSO, D, 
SH, 08, 2012012118,   , BEST,   0, 178S,  380E,  90,  956, HU,  64, NEQ,   50,   50,   50,   50, 1000,  190,  20,   0,   0,   S,   0,    ,   0,   0,      FUNSO, D, 
SH, 08, 2012012200,   , BEST,   0, 177S,  382E,  90,  956, HU,  34, NEQ,  115,  105,  105,  115, 1000,  190,  20,   0,   0,   S,   0,    ,   0,   0,      FUNSO, D, 
SH, 08, 2012012200,   , BEST,   0, 177S,  382E,  90,  956, HU,  50, NEQ,   70,   70,   70,   70, 1000,  190,  20,   0,   0,   S,   0,    ,   0,   0,      FUNSO, D, 
SH, 08, 2012012200,   , BEST,   0, 177S,  382E,  90,  956, HU,  64, NEQ,   50,   50,   50,   50, 1000,  190,  20,   0,   0,   S,   0,    ,   0,   0,      FUNSO, D, 
SH, 08, 2012012206,   , BEST,   0, 177S,  384E,  90,  956, HU,  34, NEQ,  115,  130,  130,  115, 1001,  195,  20,   0,   0,   S,   0,    ,   0,   0,      FUNSO, D, 
SH, 08, 2012012206,   , BEST,   0, 177S,  384E,  90,  956, HU,  50, NEQ,   70,   70,   70,   70, 1001,  195,  20,   0,   0,   S,   0,    ,   0,   0,      FUNSO, D, 
SH, 08, 2012012206,   , BEST,   0, 177S,  384E,  90,  956, HU,  64, NEQ,   50,   50,   50,   50, 1001,  195,  20,   0,   0,   S,   0,    ,   0,   0,      FUNSO, D, 
SH, 08, 2012012212,   , BEST,   0, 177S,  386E,  90,  956, HU,  34, NEQ,  130,  130,  115,  105, 1000,  200,  20,   0,   0, 
SH, 08, 2012012212,   , BEST,   0, 177S,  386E,  90,  956, HU,  50, NEQ,   70,   70,   70,   70, 1000,  200,  20,   0,   0, 
SH, 08, 2012012212,   , BEST,   0, 177S,  386E,  90,  956, HU,  64, NEQ,   45,   45,   45,   45, 1000,  200,  20,   0,   0, 
SH, 08, 2012012218,   , BEST,   0, 178S,  389E,  90,  956, HU,  34, NEQ,  130,  115,  115,  130, 1000,  200,  20,   0,   0,   S,   0,    ,   0,   0,      FUNSO, D, 
SH, 08, 2012012218,   , BEST,   0, 178S,  389E,  90,  956, HU,  50, NEQ,   70,   70,   70,   70, 1000,  200,  20,   0,   0,   S,   0,    ,   0,   0,      FUNSO, D, 
SH, 08, 2012012218,   , BEST,   0, 178S,  389E,  90,  956, HU,  64, NEQ,   45,   45,   45,   45, 1000,  200,  20,   0,   0,   S,   0,    ,   0,   0,      FUNSO, D, 
SH, 08, 2012012300,   , BEST,   0, 180S,  391E,  90,  956, HU,  34, NEQ,  130,  130,  130,  130, 1000,  190,  20,   0,   0,   S,   0,    ,   0,   0,      FUNSO, D, 
SH, 08, 2012012300,   , BEST,   0, 180S,  391E,  90,  956, HU,  50, NEQ,   70,   70,   70,   70, 1000,  190,  20,   0,   0,   S,   0,    ,   0,   0,      FUNSO, D, 
SH, 08, 2012012300,   , BEST,   0, 180S,  391E,  90,  956, HU,  64, NEQ,   45,   45,   45,   45, 1000,  190,  20,   0,   0,   S,   0,    ,   0,   0,      FUNSO, D, 
SH, 08, 2012012306,   , BEST,   0, 183S,  393E, 100,  948, HU,  34, NEQ,  145,  145,  110,  110, 1000,  190,  15,   0,  10,   S,   0,    ,   0,   0,      FUNSO, D, 
SH, 08, 2012012306,   , BEST,   0, 183S,  393E, 100,  948, HU,  50, NEQ,   65,   65,   65,   65, 1000,  190,  15,   0,  10,   S,   0,    ,   0,   0,      FUNSO, D, 
SH, 08, 2012012306,   , BEST,   0, 183S,  393E, 100,  948, HU,  64, NEQ,   40,   40,   40,   40, 1000,  190,  15,   0,  10,   S,   0,    ,   0,   0,      FUNSO, D, 
SH, 08, 2012012312,   , BEST,   0, 187S,  394E, 100,  948, HU,  34, NEQ,  170,  170,  110,  125, 1001,  190,  20,   0,  10,   S,   0,    ,   0,   0,      FUNSO, D, 
SH, 08, 2012012312,   , BEST,   0, 187S,  394E, 100,  948, HU,  50, NEQ,   70,   70,   70,   70, 1001,  190,  20,   0,  10,   S,   0,    ,   0,   0,      FUNSO, D, 
SH, 08, 2012012312,   , BEST,   0, 187S,  394E, 100,  948, HU,  64, NEQ,   40,   40,   40,   40, 1001,  190,  20,   0,  10,   S,   0,    ,   0,   0,      FUNSO, D, 
SH, 08, 2012012318,   , BEST,   0, 192S,  394E, 110,  941, HU,  34, NEQ,  165,  165,  110,  120, 1001,  180,  15,   0,  15,   S,   0,    ,   0,   0,      FUNSO, D, 
SH, 08, 2012012318,   , BEST,   0, 192S,  394E, 110,  941, HU,  50, NEQ,   70,   70,   70,   70, 1001,  180,  15,   0,  15,   S,   0,    ,   0,   0,      FUNSO, D, 
SH, 08, 2012012318,   , BEST,   0, 192S,  394E, 110,  941, HU,  64, NEQ,   40,   40,   40,   40, 1001,  180,  15,   0,  15,   S,   0,    ,   0,   0,      FUNSO, D, 
SH, 08, 2012012400,   , BEST,   0, 197S,  393E, 115,  937, HU,  34, NEQ,  165,  165,  110,  120, 1001,  190,  15,   0,  15,   S,   0,    ,   0,   0,      FUNSO, D, 
SH, 08, 2012012400,   , BEST,   0, 197S,  393E, 115,  937, HU,  50, NEQ,   70,   70,   70,   70, 1001,  190,  15,   0,  15,   S,   0,    ,   0,   0,      FUNSO, D, 
SH, 08, 2012012400,   , BEST,   0, 197S,  393E, 115,  937, HU,  64, NEQ,   40,   40,   40,   40, 1001,  190,  15,   0,  15,   S,   0,    ,   0,   0,      FUNSO, D, 
SH, 08, 2012012406,   , BEST,   0, 205S,  395E, 115,  937, HU,  34, NEQ,  200,  200,  150,  150, 1004,  300,  25,   0,  15,   S,   0,    ,   0,   0,      FUNSO, D, 
SH, 08, 2012012406,   , BEST,   0, 205S,  395E, 115,  937, HU,  50, NEQ,   70,   70,   70,   70, 1004,  300,  25,   0,  15,   S,   0,    ,   0,   0,      FUNSO, D, 
SH, 08, 2012012406,   , BEST,   0, 205S,  395E, 115,  937, HU,  64, NEQ,   40,   40,   40,   40, 1004,  300,  25,   0,  15,   S,   0,    ,   0,   0,      FUNSO, D, 
SH, 08, 2012012412,   , BEST,   0, 213S,  391E, 115,  937, HU,  34, NEQ,  200,  200,  150,  150, 1004,  300,  25,   0,  15,   S,   0,    ,   0,   0,      FUNSO, D, 
SH, 08, 2012012412,   , BEST,   0, 213S,  391E, 115,  937, HU,  50, NEQ,   70,   70,   70,   70, 1004,  300,  25,   0,  15,   S,   0,    ,   0,   0,      FUNSO, D, 
SH, 08, 2012012412,   , BEST,   0, 213S,  391E, 115,  937, HU,  64, NEQ,   40,   40,   40,   40, 1004,  300,  25,   0,  15,   S,   0,    ,   0,   0,      FUNSO, D, 
SH, 08, 2012012418,   , BEST,   0, 218S,  389E, 115,  937, HU,  34, NEQ,  200,  200,  150,  150, 1002,  200,  10,   0,  10,   S,   0,    ,   0,   0,      FUNSO, D, 
SH, 08, 2012012418,   , BEST,   0, 218S,  389E, 115,  937, HU,  50, NEQ,   70,   70,   70,   70, 1002,  200,  10,   0,  10,   S,   0,    ,   0,   0,      FUNSO, D, 
SH, 08, 2012012418,   , BEST,   0, 218S,  389E, 115,  937, HU,  64, NEQ,   40,   40,   40,   40, 1002,  200,  10,   0,  10,   S,   0,    ,   0,   0,      FUNSO, D, 
SH, 08, 2012012500,   , BEST,   0, 223S,  387E, 110,  941, HU,  34, NEQ,  200,  200,  150,  150, 1001,  195,  20,   0,  20,   S,   0,    ,   0,   0,      FUNSO, D, 
