SH, 12, 2012020812,   , BEST,   0, 133S,  697E,  20, 1007, DB,   0,    ,    0,    0,    0,    0, 
SH, 12, 2012020818,   , BEST,   0, 136S,  685E,  25, 1004, TD,   0,    ,    0,    0,    0,    0, 
SH, 12, 2012020900,   , BEST,   0, 138S,  671E,  30, 1000, TD,   0,    ,    0,    0,    0,    0, 1008,  120,  45,   0,   0,   S,   0,    ,   0,   0,     INVEST, S, 
SH, 12, 2012020906,   , BEST,   0, 140S,  661E,  30, 1000, TD,   0,    ,    0,    0,    0,    0, 1006,  150,  45,   0,   0,   S,   0,    ,   0,   0,     INVEST, S, 
SH, 12, 2012020912,   , BEST,   0, 140S,  653E,  35,  996, TS,   0,    ,    0,    0,    0,    0, 1006,  150,  45,   0,   0,   S,   0,    ,   0,   0,     TWELVE, S, 
SH, 12, 2012020918,   , BEST,   0, 143S,  645E,  40,  993, TS,  34, NEQ,   40,   40,   40,   40, 1006,  150,  40,   0,   0,   S,   0,    ,   0,   0,     TWELVE, S, 
SH, 12, 2012021000,   , BEST,   0, 149S,  635E,  45,  989, TS,  34, NEQ,   60,   60,   60,   60, 1006,  150,  35,   0,   0,   S,   0,    ,   0,   0,   GIOVANNA, M, 
SH, 12, 2012021006,   , BEST,   0, 153S,  625E,  55,  982, TS,  34, NEQ,   60,   70,   70,   60, 1004,  150,  35,   0,   0,   S,   0,    ,   0,   0,   GIOVANNA, M, 
SH, 12, 2012021006,   , BEST,   0, 153S,  625E,  55,  982, TS,  50, NEQ,   20,    0,    0,    0, 1004,  150,  35,   0,   0,   S,   0,    ,   0,   0,   GIOVANNA, M, 
SH, 12, 2012021012,   , BEST,   0, 156S,  617E,  70,  970, HU,  34, NEQ,   75,   85,   85,   75, 1002,  180,  35,   0,   0,   S,   0,    ,   0,   0,   GIOVANNA, D, 
SH, 12, 2012021012,   , BEST,   0, 156S,  617E,  70,  970, HU,  50, NEQ,   40,   40,   40,   40, 1002,  180,  35,   0,   0,   S,   0,    ,   0,   0,   GIOVANNA, D, 
SH, 12, 2012021012,   , BEST,   0, 156S,  617E,  70,  970, HU,  64, NEQ,   25,   25,   25,   25, 1002,  180,  35,   0,   0,   S,   0,    ,   0,   0,   GIOVANNA, D, 
SH, 12, 2012021018,   , BEST,   0, 161S,  610E, 100,  948, HU,  34, NEQ,   90,   95,  105,   90, 1002,  180,  30,   0,   5,   S,   0,    ,   0,   0,   GIOVANNA, D, 
SH, 12, 2012021018,   , BEST,   0, 161S,  610E, 100,  948, HU,  50, NEQ,   55,   60,   65,   55, 1002,  180,  30,   0,   5,   S,   0,    ,   0,   0,   GIOVANNA, D, 
SH, 12, 2012021018,   , BEST,   0, 161S,  610E, 100,  948, HU,  64, NEQ,   30,   30,   30,   30, 1002,  180,  30,   0,   5,   S,   0,    ,   0,   0,   GIOVANNA, D, 
