SH, 12, 2015021606,   , BEST,   0, 116S, 1400E,  25, 1004, TD,   0,    ,    0,    0,    0,    0, 1004,  180,  50,   0,   0,   P,   0,    ,   0,   0,     INVEST, S, 
SH, 12, 2015021612,   , BEST,   0, 115S, 1397E,  30, 1000, TD,   0,    ,    0,    0,    0,    0, 1005,  175,  40,   0,   0,   P,   0,    ,   0,   0,     INVEST, M, 
SH, 12, 2015021618,   , BEST,   0, 115S, 1395E,  35,  996, TS,   0,    ,    0,    0,    0,    0, 1005,  180,  40,   0,   0,   P,   0,    ,   0,   0,     TWELVE, M,  0,    ,    0,    0,    0,    0, TRANSITIONED, shD52015 to sh122015, 
SH, 12, 2015021700,   , BEST,   0, 114S, 1392E,  45,  989, TS,  34, NEQ,   25,   30,   30,   25, 1005,  190,  30,   0,   0,   P,   0,    ,   0,   0,        LAM, M, 
SH, 12, 2015021706,   , BEST,   0, 114S, 1388E,  55,  982, TS,  34, NEQ,   45,   50,   50,   45, 1002,  190,  25,   0,   0,   P,   0,    ,   0,   0,        LAM, D, 
SH, 12, 2015021706,   , BEST,   0, 114S, 1388E,  55,  982, TS,  50, NEQ,   25,   25,   25,   25, 1002,  190,  25,   0,   0,   P,   0,    ,   0,   0,        LAM, D, 
SH, 12, 2015021712,   , BEST,   0, 114S, 1385E,  60,  978, TS,  34, NEQ,   45,   50,   50,   45, 1002,  190,  25,   0,   0,   P,   0,    ,   0,   0,        LAM, D, 
SH, 12, 2015021712,   , BEST,   0, 114S, 1385E,  60,  978, TS,  50, NEQ,   25,   25,   25,   25, 1002,  190,  25,   0,   0,   P,   0,    ,   0,   0,        LAM, D, 
SH, 12, 2015021718,   , BEST,   0, 113S, 1378E,  60,  978, TS,  34, NEQ,   45,   50,   50,   45, 1002,  190,  25,   0,   0,   P,   0,    ,   0,   0,        LAM, D, 
SH, 12, 2015021718,   , BEST,   0, 113S, 1378E,  60,  978, TS,  50, NEQ,   25,   25,   25,   25, 1002,  190,  25,   0,   0,   P,   0,    ,   0,   0,        LAM, D, 
SH, 12, 2015021800,   , BEST,   0, 112S, 1372E,  65,  974, HU,  34, NEQ,   45,   50,   50,   45, 1002,  190,  25,   0,   0,   P,   0,    ,   0,   0,        LAM, D, 
SH, 12, 2015021800,   , BEST,   0, 112S, 1372E,  65,  974, HU,  50, NEQ,   25,   25,   25,   25, 1002,  190,  25,   0,   0,   P,   0,    ,   0,   0,        LAM, D, 
SH, 12, 2015021806,   , BEST,   0, 110S, 1367E,  70,  970, HU,  34, NEQ,   45,   50,   50,   45, 1002,  190,  25,   0,   0,   P,   0,    ,   0,   0,        LAM, D, 
SH, 12, 2015021806,   , BEST,   0, 110S, 1367E,  70,  970, HU,  50, NEQ,   25,   25,   25,   25, 1002,  190,  25,   0,   0,   P,   0,    ,   0,   0,        LAM, D, 
SH, 12, 2015021812,   , BEST,   0, 110S, 1364E,  70,  970, HU,  34, NEQ,   55,   65,   65,   55, 1002,  190,  15,   0,   0,   P,   0,    ,   0,   0,        LAM, D, 
SH, 12, 2015021812,   , BEST,   0, 110S, 1364E,  70,  970, HU,  50, NEQ,   40,   40,   40,   40, 1002,  190,  15,   0,   0,   P,   0,    ,   0,   0,        LAM, D, 
SH, 12, 2015021812,   , BEST,   0, 110S, 1364E,  70,  970, HU,  64, NEQ,   25,   25,   25,   25, 1002,  190,  15,   0,   0,   P,   0,    ,   0,   0,        LAM, D, 
SH, 12, 2015021818,   , BEST,   0, 112S, 1361E,  75,  967, HU,  34, NEQ,   55,   60,   65,   60, 1004,  200,  25,   0,   0,   P,   0,    ,   0,   0,        LAM, D, 
SH, 12, 2015021818,   , BEST,   0, 112S, 1361E,  75,  967, HU,  50, NEQ,   40,   40,   40,   40, 1004,  200,  25,   0,   0,   P,   0,    ,   0,   0,        LAM, D, 
SH, 12, 2015021818,   , BEST,   0, 112S, 1361E,  75,  967, HU,  64, NEQ,   25,   25,   25,   25, 1004,  200,  25,   0,   0,   P,   0,    ,   0,   0,        LAM, D, 
SH, 12, 2015021900,   , BEST,   0, 114S, 1359E,  80,  963, HU,  34, NEQ,   60,   60,   65,   65, 1005,  185,  25,   0,   0,   P,   0,    ,   0,   0,        LAM, D, 
SH, 12, 2015021900,   , BEST,   0, 114S, 1359E,  80,  963, HU,  50, NEQ,   40,   30,   40,   40, 1005,  185,  25,   0,   0,   P,   0,    ,   0,   0,        LAM, D, 
SH, 12, 2015021900,   , BEST,   0, 114S, 1359E,  80,  963, HU,  64, NEQ,   25,   25,   25,   25, 1005,  185,  25,   0,   0,   P,   0,    ,   0,   0,        LAM, D, 
SH, 12, 2015021906,   , BEST,   0, 117S, 1357E,  90,  956, HU,  34, NEQ,   60,   60,   50,   65, 1004,  175,  10,   0,   0,   P,   0,    ,   0,   0,        LAM, D, 
SH, 12, 2015021906,   , BEST,   0, 117S, 1357E,  90,  956, HU,  50, NEQ,   40,   40,   30,   45, 1004,  175,  10,   0,   0,   P,   0,    ,   0,   0,        LAM, D, 
SH, 12, 2015021906,   , BEST,   0, 117S, 1357E,  90,  956, HU,  64, NEQ,   20,   20,   20,   20, 1004,  175,  10,   0,   0,   P,   0,    ,   0,   0,        LAM, D, 
SH, 12, 2015021912,   , BEST,   0, 120S, 1353E, 100,  948, HU,  34, NEQ,   60,   60,   50,   65, 1004,  180,   7,   0,   5,   P,   0,    ,   0,   0,        LAM, D, 
SH, 12, 2015021912,   , BEST,   0, 120S, 1353E, 100,  948, HU,  50, NEQ,   40,   40,   30,   45, 1004,  180,   7,   0,   5,   P,   0,    ,   0,   0,        LAM, D, 
SH, 12, 2015021912,   , BEST,   0, 120S, 1353E, 100,  948, HU,  64, NEQ,   20,   20,   20,   20, 1004,  180,   7,   0,   5,   P,   0,    ,   0,   0,        LAM, D, 
SH, 12, 2015021918,   , BEST,   0, 124S, 1350E,  65,  974, HU,  34, NEQ,   60,   60,   50,   65, 1003,  170,  10,   0,  10,   P,   0,    ,   0,   0,        LAM, D, 
SH, 12, 2015021918,   , BEST,   0, 124S, 1350E,  65,  974, HU,  50, NEQ,   40,   40,   30,   45, 1003,  170,  10,   0,  10,   P,   0,    ,   0,   0,        LAM, D, 
SH, 12, 2015021918,   , BEST,   0, 124S, 1350E,  65,  974, HU,  64, NEQ,   20,   20,   20,   20, 1003,  170,  10,   0,  10,   P,   0,    ,   0,   0,        LAM, D, 
SH, 12, 2015022000,   , BEST,   0, 130S, 1346E,  50,  985, TS,  34, NEQ,   45,   60,   55,   45, 1003,  170,  10,   0,  10,   P,   0,    ,   0,   0,        LAM, D, 
SH, 12, 2015022006,   , BEST,   0, 140S, 1339E,  40,  993, TS,  34, NEQ,   55,   60,   60,   55, 1001,  160,  30,   0,   0,   P,   0,    ,   0,   0,        LAM, S, 
SH, 12, 2015022012,   , BEST,   0, 147S, 1329E,  30, 1000, TD,   0,    ,    0,    0,    0,    0, 1003,  150,  40,   0,   0,   P,   0,    ,   0,   0,        LAM, S, 
