SH, 16, 2010021500,   , BEST,   0, 106S,  585E,  25, 1004, TD,   0,    ,    0,    0,    0,    0, 
SH, 16, 2010021506,   , BEST,   0, 103S,  586E,  25, 1004, DB,   0,    ,    0,    0,    0,    0, 1008,  150,  45,   0,   0,   S,   0,    ,   0,   0,     INVEST, S, 
SH, 16, 2010021512,   , BEST,   0, 103S,  589E,  30, 1000, TD,   0,    ,    0,    0,    0,    0, 1008,  150,  45,   0,   0,   S,   0,    ,   0,   0,     INVEST, S, 
SH, 16, 2010021518,   , BEST,   0, 106S,  593E,  30, 1000, TD,   0,    ,    0,    0,    0,    0, 1007,  150,  35,   0,   0,   S,   0,    ,   0,   0,     INVEST, S, 
SH, 16, 2010021600,   , BEST,   0, 111S,  598E,  35,  996, TS,   0,    ,    0,    0,    0,    0, 1009,  175,  35,   0,   0,   S,   0,    ,   0,   0,     INVEST, S, 
SH, 16, 2010021606,   , BEST,   0, 119S,  603E,  40,  993, TS,  34, NEQ,   30,   30,   30,   30, 1008,   45,  25,   0,   0,   S,   0,    ,   0,   0,    SIXTEEN, M, 
SH, 16, 2010021612,   , BEST,   0, 125S,  604E,  45,  989, TS,  34, NEQ,   45,   45,   40,   40, 1008,  200,  25,   0,   0,   S,   0,    ,   0,   0,    SIXTEEN, M, 
SH, 16, 2010021618,   , BEST,   0, 129S,  606E,  55,  982, TS,  34, NEQ,   45,   45,   40,   40, 
SH, 16, 2010021618,   , BEST,   0, 129S,  606E,  55,  982, TS,  50, NEQ,   15,   15,   15,   15, 
SH, 16, 2010021700,   , BEST,   0, 133S,  607E,  65,  974, HU,  34, NEQ,   60,   55,   70,   80, 1010,  220,  20,   0,   0,   S,   0,    ,   0,   0,     GELANE, D, 
SH, 16, 2010021700,   , BEST,   0, 133S,  607E,  65,  974, HU,  50, NEQ,   20,   20,   20,   20, 1010,  220,  20,   0,   0,   S,   0,    ,   0,   0,     GELANE, D, 
SH, 16, 2010021706,   , BEST,   0, 135S,  612E,  85,  959, HU,  34, NEQ,   75,   80,   80,   75, 1007,  175,  20,   0,  15,   S,   0,    ,   0,   0,     GELANE, D, 
SH, 16, 2010021706,   , BEST,   0, 135S,  612E,  85,  959, HU,  50, NEQ,   35,   40,   40,   35, 1007,  175,  20,   0,  15,   S,   0,    ,   0,   0,     GELANE, D, 
SH, 16, 2010021706,   , BEST,   0, 135S,  612E,  85,  959, HU,  64, NEQ,   25,   25,   25,   25, 1007,  175,  20,   0,  15,   S,   0,    ,   0,   0,     GELANE, D, 
SH, 16, 2010021712,   , BEST,   0, 141S,  616E,  80,  963, HU,  34, NEQ,   60,   65,   75,   75, 1008,  125,  15,   0,   0,   S,   0,    ,   0,   0,     GELANE, S, 
