SH, 22, 2019032118,   , BEST,   0, 141S,  620E,  25, 1001, TD,   0,    ,    0,    0,    0,    0, 1007,  200,  35,   0,   0,   S,   0,    ,   0,   0,     INVEST, S, 
SH, 22, 2019032200,   , BEST,   0, 143S,  624E,  30, 1000, TD,   0,    ,    0,    0,    0,    0, 1008,  215,  35,   0,   0,   S,   0,    ,   0,   0,  TWENTYTWO, M,  0,    ,    0,    0,    0,    0, TRANSITIONED, shE32019 to sh222019, 
SH, 22, 2019032206,   , BEST,   0, 146S,  626E,  35,  996, TS,  34, NEQ,  110,   90,   55,   50, 1008,  165,  35,   0,   0,   S,   0,    ,   0,   0,  TWENTYTWO, M, 
SH, 22, 2019032212,   , BEST,   0, 150S,  625E,  40,  993, TS,  34, NEQ,  100,  135,   50,   95, 1006,  165,  35,   0,   0,   S,   0,    ,   0,   0,  TWENTYTWO, M, 
SH, 22, 2019032218,   , BEST,   0, 156S,  624E,  45,  991, TS,  34, NEQ,  125,  155,   80,   95, 1008,  175,  35,   0,   0,   S,   0,    ,   0,   0,   JOANINHA, M, 
SH, 22, 2019032300,   , BEST,   0, 161S,  623E,  55,  989, TS,  34, NEQ,  125,  160,   85,   95, 1006,  170,  25,   0,   0,   S,   0,    ,   0,   0,   JOANINHA, M, 
SH, 22, 2019032300,   , BEST,   0, 161S,  623E,  55,  989, TS,  50, NEQ,   45,   45,   30,    0, 1006,  170,  25,   0,   0,   S,   0,    ,   0,   0,   JOANINHA, M, 
SH, 22, 2019032306,   , BEST,   0, 163S,  621E,  55,  989, TS,  34, NEQ,  115,  125,   90,   85, 1008,  180,  40,   0,   0,   S,   0,    ,   0,   0,   JOANINHA, M, 
SH, 22, 2019032306,   , BEST,   0, 163S,  621E,  55,  989, TS,  50, NEQ,   60,   65,   40,   40, 1008,  180,  40,   0,   0,   S,   0,    ,   0,   0,   JOANINHA, M, 
SH, 22, 2019032312,   , BEST,   0, 165S,  619E,  65,  982, HU,  34, NEQ,  125,  155,  115,   90, 1006,  175,  40,   0,   0,   S,   0,    ,   0,   0,   JOANINHA, M, 
SH, 22, 2019032312,   , BEST,   0, 165S,  619E,  65,  982, HU,  50, NEQ,   65,   85,   60,   40, 1006,  175,  40,   0,   0,   S,   0,    ,   0,   0,   JOANINHA, M, 
SH, 22, 2019032318,   , BEST,   0, 168S,  617E,  70,  980, HU,  34, NEQ,  120,  135,  135,  100, 1007,  175,  35,   0,   0,   S,   0,    ,   0,   0,   JOANINHA, D, 
SH, 22, 2019032318,   , BEST,   0, 168S,  617E,  70,  980, HU,  50, NEQ,   55,   70,   60,   45, 1007,  175,  35,   0,   0,   S,   0,    ,   0,   0,   JOANINHA, D, 
SH, 22, 2019032318,   , BEST,   0, 168S,  617E,  70,  980, HU,  64, NEQ,   35,   35,   35,   35, 1007,  175,  35,   0,   0,   S,   0,    ,   0,   0,   JOANINHA, D, 
SH, 22, 2019032400,   , BEST,   0, 170S,  616E,  80,  973, HU,  34, NEQ,  125,  140,  120,   90, 1007,  175,  25,   0,   0,   S,   0,    ,   0,   0,   JOANINHA, D, 
SH, 22, 2019032400,   , BEST,   0, 170S,  616E,  80,  973, HU,  50, NEQ,   65,   75,   60,   50, 1007,  175,  25,   0,   0,   S,   0,    ,   0,   0,   JOANINHA, D, 
SH, 22, 2019032400,   , BEST,   0, 170S,  616E,  80,  973, HU,  64, NEQ,   35,   40,   30,   35, 1007,  175,  25,   0,   0,   S,   0,    ,   0,   0,   JOANINHA, D, 
SH, 22, 2019032406,   , BEST,   0, 171S,  617E,  80,  973, HU,  34, NEQ,  130,  145,  125,  110, 1005,  200,  25,   0,   0,   S,   0,    ,   0,   0,   JOANINHA, D, 
SH, 22, 2019032406,   , BEST,   0, 171S,  617E,  80,  973, HU,  50, NEQ,   70,   80,   65,   55, 1005,  200,  25,   0,   0,   S,   0,    ,   0,   0,   JOANINHA, D, 
SH, 22, 2019032406,   , BEST,   0, 171S,  617E,  80,  973, HU,  64, NEQ,   35,   40,   35,   30, 1005,  200,  25,   0,   0,   S,   0,    ,   0,   0,   JOANINHA, D, 
SH, 22, 2019032412,   , BEST,   0, 172S,  618E,  85,  966, HU,  34, NEQ,  130,  140,  125,  110, 1005,  185,  10,   0,   0,   S,   0,    ,   0,   0,   JOANINHA, D, 
SH, 22, 2019032412,   , BEST,   0, 172S,  618E,  85,  966, HU,  50, NEQ,   70,   75,   65,   55, 1005,  185,  10,   0,   0,   S,   0,    ,   0,   0,   JOANINHA, D, 
SH, 22, 2019032412,   , BEST,   0, 172S,  618E,  85,  966, HU,  64, NEQ,   35,   40,   35,   30, 1005,  185,  10,   0,   0,   S,   0,    ,   0,   0,   JOANINHA, D, 
SH, 22, 2019032418,   , BEST,   0, 174S,  619E,  95,  958, HU,  34, NEQ,  110,  110,  105,  105, 1005,  185,   5,   0,  10,   S,   0,    ,   0,   0,   JOANINHA, D, 
SH, 22, 2019032418,   , BEST,   0, 174S,  619E,  95,  958, HU,  50, NEQ,   55,   55,   55,   55, 1005,  185,   5,   0,  10,   S,   0,    ,   0,   0,   JOANINHA, D, 
SH, 22, 2019032418,   , BEST,   0, 174S,  619E,  95,  958, HU,  64, NEQ,   30,   30,   25,   25, 1005,  185,   5,   0,  10,   S,   0,    ,   0,   0,   JOANINHA, D, 
SH, 22, 2019032500,   , BEST,   0, 176S,  621E,  95,  958, HU,  34, NEQ,  140,  150,  130,  120, 1005,  185,  15,   0,   0,   S,   0,    ,   0,   0,   JOANINHA, D, 
SH, 22, 2019032500,   , BEST,   0, 176S,  621E,  95,  958, HU,  50, NEQ,   75,   80,   70,   60, 1005,  185,  15,   0,   0,   S,   0,    ,   0,   0,   JOANINHA, D, 
SH, 22, 2019032500,   , BEST,   0, 176S,  621E,  95,  958, HU,  64, NEQ,   40,   45,   35,   35, 1005,  185,  15,   0,   0,   S,   0,    ,   0,   0,   JOANINHA, D, 
SH, 22, 2019032506,   , BEST,   0, 179S,  626E, 100,  957, HU,  34, NEQ,  140,  150,  135,  105, 1007,  200,  15,   0,   0,   S,   0,    ,   0,   0,   JOANINHA, D, 
SH, 22, 2019032506,   , BEST,   0, 179S,  626E, 100,  957, HU,  50, NEQ,   75,   80,   75,   60, 1007,  200,  15,   0,   0,   S,   0,    ,   0,   0,   JOANINHA, D, 
SH, 22, 2019032506,   , BEST,   0, 179S,  626E, 100,  957, HU,  64, NEQ,   40,   45,   40,   35, 1007,  200,  15,   0,   0,   S,   0,    ,   0,   0,   JOANINHA, D, 
SH, 22, 2019032512,   , BEST,   0, 183S,  628E, 105,  951, HU,  34, NEQ,  145,  145,  130,  115, 1005,  190,  15,   0,  20,   S,   0,    ,   0,   0,   JOANINHA, D, 
SH, 22, 2019032512,   , BEST,   0, 183S,  628E, 105,  951, HU,  50, NEQ,   80,   80,   70,   60, 1005,  190,  15,   0,  20,   S,   0,    ,   0,   0,   JOANINHA, D, 
SH, 22, 2019032512,   , BEST,   0, 183S,  628E, 105,  951, HU,  64, NEQ,   40,   40,   35,   30, 1005,  190,  15,   0,  20,   S,   0,    ,   0,   0,   JOANINHA, D, 
SH, 22, 2019032518,   , BEST,   0, 185S,  632E, 105,  952, HU,  34, NEQ,  120,  130,  100,  115, 1005,  200,  15,   0,  20,   S,   0,    ,   0,   0,   JOANINHA, D, 
