SH, 90, 2013011412,   , BEST,   0, 128S, 1247E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   S,   0,   X, 273,  11,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH902013, JTWC, MT2C_TCVITALS, 
SH, 90, 2013011418,   , BEST,   0, 144S, 1214E,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   S,   0,   X, 242,  20,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH902013, JTWC, MT2C_TCVITALS, 
SH, 90, 2013011418,   , BEST,   0, 144S, 1214E,  20, 1004, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   S,   0,   X, 242,  20,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH902013, JTWC, MT2C_TCVITALS, 
SH, 90, 2013011500,   , BEST,   0, 152S, 1198E,  25, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1008,  160,  15,   0,   0,   S,   0,   X, 245,  10,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH902013, JTWC, MT2C_TCVITALS, 
SH, 90, 2013011506,   , BEST,   0, 148S, 1213E,  25, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1008,  160,  35,   0,   0,   S,   0,   X, 235,   4,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH902013, JTWC, MT2C_TCVITALS, 
SH, 90, 2013011512,   , BEST,   0, 152S, 1209E,  25, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1008,  160,  35,   0,   0,   S,   0,   X, 225,   4,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH902013, JTWC, MT2C_TCVITALS, 
SH, 90, 2013011518,   , BEST,   0, 159S, 1199E,  25, 1004, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   S,   0,   X, 231,   9,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH902013, JTWC, MT2C_TCVITALS, 
SH, 90, 2013011600,   , BEST,   0, 172S, 1158E,  25, 1004, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   S,   0,   X, 248,  26,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH902013, JTWC, MT2C_TCVITALS, 
SH, 90, 2013011606,   , BEST,   0, 196S, 1149E,  25, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1008,  160,  35,   0,   0,   S,   0,   X, 225,  18,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH902013, JTWC, MT2C_TCVITALS, 
SH, 90, 2013011612,   , BEST,   0, 212S, 1135E,  25, 1004, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   S,   0,   X, 208,  23,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH902013, JTWC, MT2C_TCVITALS, 
SH, 90, 2013013112,   , BEST,   0, 146S, 1599E,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   P,   0,   X, 112,   5,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH902013, JTWC, MT2C_TCVITALS, 
