SH, 95, 2013012106,   , BEST,   0, 176S, 1481E,  15, -999, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   P,   0,   X,    , -19,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH952013, JTWC, MT2C_TCVITALS, 
SH, 95, 2013012106,   , BEST,   0, 176S, 1481E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   P,   0,   X,  97,   4,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH952013, JTWC, MT2C_TCVITALS, 
SH, 95, 2013012106,   , BEST,   0, 176S, 1481E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   P,   0,   X,  90,    ,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH952013, JTWC, MT2C_TCVITALS, 
SH, 95, 2013012112,   , BEST,   0, 176S, 1500E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   P,   0,   X, 110,  16,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH952013, JTWC, MT2C_TCVITALS, 
SH, 95, 2013012112,   , BEST,   0, 176S, 1500E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   P,   0,   X,  90,   7,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH952013, JTWC, MT2C_TCVITALS, 
SH, 95, 2013012118,   , BEST,   0, 165S, 1487E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   P,   0,   X,  28,   6,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH952013, JTWC, MT2C_TCVITALS, 
SH, 95, 2013012200,   , BEST,   0, 165S, 1490E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   P,   0,   X, 319,   7,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH952013, JTWC, MT2C_TCVITALS, 
SH, 95, 2013012206,   , BEST,   0, 167S, 1489E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   P,   0,   X, 136,   1,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH952013, JTWC, MT2C_TCVITALS, 
SH, 95, 2013012212,   , BEST,   0, 174S, 1506E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   P,   0,   X, 120,   9,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH952013, JTWC, MT2C_TCVITALS, 
SH, 95, 2013012218,   , BEST,   0, 187S, 1543E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   P,   0,   X, 111,  28,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH952013, JTWC, MT2C_TCVITALS, 
SH, 95, 2013012300,   , BEST,   0, 190S, 1525E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   P,   0,   X, 132,  12,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH952013, JTWC, MT2C_TCVITALS, 
