SH, 98, 2013010512,   , BEST,   0, 099S, 1261E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   S,   0,   X, 270,   3,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH982013, JTWC, MT2C_TCVITALS, 
SH, 98, 2013010512,   , BEST,   0, 099S, 1261E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   S,   0,   X, 243,   2,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH982013, JTWC, MT2C_TCVITALS, 
SH, 98, 2013010518,   , BEST,   0, 111S, 1256E,  15, 1008, XX,  34, NEQ,    0,    0,    0,    0, 1011,  150,  40,   0,   0,   S,   0,   X, 220,   5,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH982013, JTWC, MT2C_TCVITALS, 
SH, 98, 2013010600,   , BEST,   0, 111S, 1255E,  25, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1008,  150,  40,   0,   0,   S,   0,   X, 225,   4,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH982013, JTWC, MT2C_TCVITALS, 
SH, 98, 2013010606,   , BEST,   0, 108S, 1258E,  25, 1002, XX,  34, NEQ,    0,    0,    0,    0, 1004,  190,  40,   0,   0,   S,   0,   X, 225,   3,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH982013, JTWC, MT2C_TCVITALS, 
SH, 98, 2013010612,   , BEST,   0, 110S, 1253E,  25, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1005,  130,  40,   0,   0,   S,   0,   X, 235,   4,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH982013, JTWC, MT2C_TCVITALS, 
SH, 98, 2013010618,   , BEST,   0, 112S, 1238E,  25, 1002, XX,  34, NEQ,    0,    0,    0,    0, 1005,  130,  35,   0,   0,   S,   0,   X, 255,   7,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH982013, JTWC, MT2C_TCVITALS, 
SH, 98, 2013010700,   , BEST,   0, 115S, 1219E,  25, 1002, XX,  34, NEQ,    0,    0,    0,    0, 1007,  135,  35,   0,   0,   S,   0,   X, 260,  13,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH982013, JTWC, MT2C_TCVITALS, 
SH, 98, 2013010706,   , BEST,   0, 116S, 1208E,  25, 1003, XX,  34, NEQ,    0,    0,    0,    0, 1004,  140,  35,   0,   0,   S,   0,   X, 260,   8,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH982013, JTWC, MT2C_TCVITALS, 
SH, 98, 2013010712,   , BEST,   0, 116S, 1206E,  30, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1005,  150,  35,   0,   0,   S,   0,   X, 260,   7,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH982013, JTWC, MT2C_TCVITALS, 
SH, 98, 2013010718,   , BEST,   0, 118S, 1199E,  35,  996, XX,  34, NEQ,    0,    0,    0,    0, 1002,  170,  40,   0,   0,   S,   0,   X, 255,   6,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH982013, JTWC, MT2C_TCVITALS, 
SH, 98, 2013012800,   , BEST,   0, 236S, 1786E,  15,  996, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   P,   0,   X,  96,  28,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH982013, JTWC, MT2C_TCVITALS, 
SH, 98, 2013012800,   , BEST,   0, 236S, 1786E,  15,  996, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   P,   0,   X,  90,  16,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH982013, JTWC, MT2C_TCVITALS, 
SH, 98, 2013012806,   , BEST,   0, 231S, 1782E,  35,  996, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   P,   0,   X, 276,  30,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH982013, JTWC, MT2C_TCVITALS, 
SH, 98, 2013012806,   , BEST,   0, 231S, 1782E,  35,  996, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   P,   0,   X,  92,  18,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH982013, JTWC, MT2C_TCVITALS, 
SH, 98, 2013012812,   , BEST,   0, 235S, 1774E,  35,  996, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   P,   0,   X, 275,   5,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH982013, JTWC, MT2C_TCVITALS, 
SH, 98, 2013012818,   , BEST,   0, 227S, 1760E,  35,  996, XX,  34, NEQ,    0,    0,    0,    0, 1002,  250,  75,   0,   0,   P,   0,   X, 280,  18,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH982013, JTWC, MT2C_TCVITALS, 
SH, 98, 2013012900,   , BEST,   0, 222S, 1749E,  30, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1002,  250,  75,   0,   0,   P,   0,   X, 285,  15,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH982013, JTWC, MT2C_TCVITALS, 
