SH, 99, 2013011100,   , BEST,   0, 134S, 1767W,  15, 1009, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   P,   0,   X,  63,   5,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH992013, JTWC, MT2C_TCVITALS, 
SH, 99, 2013011106,   , BEST,   0, 130S, 1764W,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   P,   0,   X,  52,   5,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH992013, JTWC, MT2C_TCVITALS, 
SH, 99, 2013011112,   , BEST,   0, 128S, 1762W,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   P,   0,   X,  39,   4,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH992013, JTWC, MT2C_TCVITALS, 
SH, 99, 2013011118,   , BEST,   0, 135S, 1784W,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   P,   0,   X, 256,  10,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH992013, JTWC, MT2C_TCVITALS, 
SH, 99, 2013011412,   , BEST,   0, 174S, 1769W,  25, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1005,  160,  40,   0,   0,   P,   0,   X,  90,   8,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH992013, JTWC, MT2C_TCVITALS, 
SH, 99, 2013011418,   , BEST,   0, 172S, 1762W,  25, 1004, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   P,   0,   X,  99,   7,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH992013, JTWC, MT2C_TCVITALS, 
SH, 99, 2013011500,   , BEST,   0, 198S, 1742W,  25, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1005,  160,  40,   0,   0,   P,   0,   X, 130,  14,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH992013, JTWC, MT2C_TCVITALS, 
SH, 99, 2013011506,   , BEST,   0, 201S, 1733W,  25, 1004, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   P,   0,   X, 137,  20,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH992013, JTWC, MT2C_TCVITALS, 
SH, 99, 2013011512,   , BEST,   0, 207S, 1726W,  25, 1004, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   P,   0,   X, 121,   9,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH992013, JTWC, MT2C_TCVITALS, 
SH, 99, 2013011518,   , BEST,   0, 212S, 1711W,  25, 1004, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   P,   0,   X, 118,  12,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH992013, JTWC, MT2C_TCVITALS, 
SH, 99, 2013012918,   , BEST,   0, 175S, 0443E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   S,   0,   X, 270,   2,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH992013, JTWC, MT2C_TCVITALS, 
SH, 99, 2013013000,   , BEST,   0, 175S, 0441E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   S,   0,   X, 270,   2,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH992013, JTWC, MT2C_TCVITALS, 
SH, 99, 2013013000,   , BEST,   0, 175S, 0441E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   S,   0,   X, 199,   7,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH992013, JTWC, MT2C_TCVITALS, 
SH, 99, 2013013006,   , BEST,   0, 161S, 0431E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   S,   0,   X, 321,   9,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH992013, JTWC, MT2C_TCVITALS, 
SH, 99, 2013022812,   , BEST,   0, 168S, 1466E,  15, 1007, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   P,   0,   X, 323,   3,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH992013, JTWC, MT2C_TCVITALS, 
SH, 99, 2013022812,   , BEST,   0, 168S, 1466E,  15, 1007, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   P,   0,   X,  26,   2,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH992013, JTWC, MT2C_TCVITALS, 
SH, 99, 2013022818,   , BEST,   0, 163S, 1463E,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   P,   0,   X, 326,   4,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH992013, JTWC, MT2C_TCVITALS, 
SH, 99, 2013030100,   , BEST,   0, 162S, 1464E,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   P,   0,   X, 342,   3,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH992013, JTWC, MT2C_TCVITALS, 
SH, 99, 2013030106,   , BEST,   0, 157S, 1467E,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   P,   0,   X,  33,   3,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH992013, JTWC, MT2C_TCVITALS, 
