WP, 13, 2021080218,   , BEST,   0, 211N, 1130E,  25,  996, XX,  34, NEQ,    0,    0,    0,    0,  999,   85,  20,   0,   0,   W,   0,   X,  80,  11,   THIRTEEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP132021, JTWC, NCEP_TCVITALS, 
WP, 13, 2021080300,   , BEST,   0, 213N, 1134E,  25,  997, XX,  34, NEQ,    0,    0,    0,    0,  999,   85,  20,   0,   0,   W,   0,   X,  75,  10,   THIRTEEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP132021, JTWC, NCEP_TCVITALS, 
WP, 13, 2021080306,   , BEST,   0, 215N, 1138E,  30,  995, XX,  34, NEQ,    0,    0,    0,    0, 1000,   85,  20,   0,   0,   W,   0,   X,  75,   7,   THIRTEEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP132021, JTWC, NCEP_TCVITALS, 
WP, 13, 2021080318,   , BEST,   0, 210N, 1148E,  35,  995, XX,  34, NEQ,   25,   30,   30,   15,  999,   85,  20,   0,   0,   W,   0,   X, 105,   4,   THIRTEEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP132021, JTWC, NCEP_TCVITALS, 
WP, 13, 2021080406,   , BEST,   0, 214N, 1159E,  35,  995, XX,  34, NEQ,   25,   40,   50,    0,  999,   90,  45,   0,   0,   W,   0,   X,  80,   5,      LUPIT, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP132021, JTWC, NCEP_TCVITALS, 
WP, 13, 2021080412,   , BEST,   0, 217N, 1163E,  35,  996, XX,  34, NEQ,    0,  110,   40,    0,  999,   90,  45,   0,   0,   W,   0,   X,  65,   5,      LUPIT, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP132021, JTWC, NCEP_TCVITALS, 
WP, 13, 2021080418,   , BEST,   0, 224N, 1168E,  40,  988, XX,  34, NEQ,    0,   85,   55,    0,  996,  110,  35,   0,   0,   W,   0,   X,  45,   5,      LUPIT, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP132021, JTWC, NCEP_TCVITALS, 
WP, 13, 2021080500,   , BEST,   0, 231N, 1169E,  45,  987, XX,  34, NEQ,   70,   70,   60,   20,  997,  140,  15,   0,   0,   W,   0,   X,  30,   6,      LUPIT, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP132021, JTWC, NCEP_TCVITALS, 
WP, 13, 2021080506,   , BEST,   0, 234N, 1169E,  45,  986, XX,  34, NEQ,   70,   70,   60,    0,  997,  140,  20,   0,   0,   W,   0,   X,  15,   6,      LUPIT, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP132021, JTWC, NCEP_TCVITALS, 
WP, 13, 2021080512,   , BEST,   0, 237N, 1172E,  40,  988, XX,  34, NEQ,   60,   60,   50,    0,  996,  135,  20,   0,   0,   W,   0,   X,  15,   5,      LUPIT, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP132021, JTWC, NCEP_TCVITALS, 
WP, 13, 2021080518,   , BEST,   0, 240N, 1173E,  35,  988, XX,  34, NEQ,   85,   85,  100,   80,  996,  135,  20,   0,   0,   W,   0,   X,  20,   3,      LUPIT, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP132021, JTWC, NCEP_TCVITALS, 
