WP, 22, 2018081500,   , BEST,   0, 114N, 1451E,  15, 1010, LO,   0,    ,    0,    0,    0,    0, 1009,  390,  50,   0,   0,   W,   0,    ,   0,   0,     INVEST, S,  
WP, 22, 2018081506,   , BEST,   0, 119N, 1448E,  15, 1010, LO,   0,    ,    0,    0,    0,    0, 1006,  390,  50,   0,   0,   W,   0,    ,   0,   0,     INVEST, S,  
WP, 22, 2018081512,   , BEST,   0, 127N, 1444E,  25, 1003, TD,   0,    ,    0,    0,    0,    0, 1007,  305,  40,   0,   0,   W,   0,    ,   0,   0,  TWENTYTWO, S,  0,    ,    0,    0,    0,    0, TRANSITIONED, wpF92018 to wp222018,                                                                                                                                                                                       
WP, 22, 2018081518,   , BEST,   0, 137N, 1439E,  30, 1001, TD,   0,    ,    0,    0,    0,    0, 1002,  200,  40,   0,   0,   W,   0,    ,   0,   0,  TWENTYTWO, M,  
WP, 22, 2018081600,   , BEST,   0, 152N, 1433E,  35,  998, TS,  34, NEQ,   80,   50,   30,   60, 1002,  210,  55,   0,   0,   W,   0,    ,   0,   0,  TWENTYTWO, M,  
WP, 22, 2018081606,   , BEST,   0, 168N, 1425E,  45,  992, TS,  34, NEQ,  110,   90,   50,   90, 1002,  210,  45,   0,   0,   W,   0,    ,   0,   0,     SOULIK, D,  
WP, 22, 2018081612,   , BEST,   0, 185N, 1419E,  55,  988, TS,  34, NEQ,  120,  100,   70,  110, 1002,  210,  35,   0,   0,   W,   0,    ,   0,   0,     SOULIK, D,  
WP, 22, 2018081612,   , BEST,   0, 185N, 1419E,  55,  988, TS,  50, NEQ,   61,   49,   30,   55, 1002,  210,  35,   0,   0,   W,   0,    ,   0,   0,     SOULIK, D,  
WP, 22, 2018081618,   , BEST,   0, 202N, 1414E,  60,  984, TS,  34, NEQ,  130,  110,   80,  120, 1001,  200,  40,   0,   0,   W,   0,    ,   0,   0,     SOULIK, D,  
WP, 22, 2018081618,   , BEST,   0, 202N, 1414E,  60,  984, TS,  50, NEQ,   68,   55,   36,   62, 1001,  200,  40,   0,   0,   W,   0,    ,   0,   0,     SOULIK, D,  
WP, 22, 2018081700,   , BEST,   0, 220N, 1408E,  65,  979, HU,  34, NEQ,  140,  110,   80,  120, 1001,  200,  30,   0,   0,   W,   0,    ,   0,   0,     SOULIK, D,  
WP, 22, 2018081700,   , BEST,   0, 220N, 1408E,  65,  979, HU,  50, NEQ,   74,   55,   37,   62, 1001,  200,  30,   0,   0,   W,   0,    ,   0,   0,     SOULIK, D,  
WP, 22, 2018081700,   , BEST,   0, 220N, 1408E,  65,  979, HU,  64, NEQ,   39,   29,   18,   32, 1001,  200,  30,   0,   0,   W,   0,    ,   0,   0,     SOULIK, D,  
WP, 22, 2018081706,   , BEST,   0, 232N, 1402E,  75,  971, HU,  34, NEQ,  140,  110,   90,  120, 1001,  200,  25,   0,   0,   W,   0,    ,   0,   0,     SOULIK, D,  
WP, 22, 2018081706,   , BEST,   0, 232N, 1402E,  75,  971, HU,  50, NEQ,   75,   56,   43,   62, 1001,  200,  25,   0,   0,   W,   0,    ,   0,   0,     SOULIK, D,  
WP, 22, 2018081706,   , BEST,   0, 232N, 1402E,  75,  971, HU,  64, NEQ,   40,   29,   22,   33, 1001,  200,  25,   0,   0,   W,   0,    ,   0,   0,     SOULIK, D,  
WP, 22, 2018081712,   , BEST,   0, 237N, 1399E,  80,  967, HU,  34, NEQ,  140,  120,  100,  120, 1001,  200,  15,   0,  20,   W,   0,    ,   0,   0,     SOULIK, D,  
WP, 22, 2018081712,   , BEST,   0, 237N, 1399E,  80,  967, HU,  50, NEQ,   75,   63,   50,   63, 1001,  200,  15,   0,  20,   W,   0,    ,   0,   0,     SOULIK, D,  
WP, 22, 2018081712,   , BEST,   0, 237N, 1399E,  80,  967, HU,  64, NEQ,   40,   33,   26,   33, 1001,  200,  15,   0,  20,   W,   0,    ,   0,   0,     SOULIK, D,  
WP, 22, 2018081718,   , BEST,   0, 243N, 1400E,  90,  958, HU,  34, NEQ,  140,  130,  110,  130, 1002,  215,  15,   0,  20,   W,   0,    ,   0,   0,     SOULIK, D,  
WP, 22, 2018081718,   , BEST,   0, 243N, 1400E,  90,  958, HU,  50, NEQ,   76,   69,   57,   69, 1002,  215,  15,   0,  20,   W,   0,    ,   0,   0,     SOULIK, D,  
WP, 22, 2018081718,   , BEST,   0, 243N, 1400E,  90,  958, HU,  64, NEQ,   40,   37,   30,   37, 1002,  215,  15,   0,  20,   W,   0,    ,   0,   0,     SOULIK, D,  
