WP, 25, 2016101418,   , BEST,   0,  83N, 1444E,  25, 1004, TD,   0,    ,    0,    0,    0,    0, 1006,  230,  40,   0,   0,   W,   0,    ,   0,   0, TWENTYFIVE, S,  0,    ,    0,    0,    0,    0, TRANSITIONED, wpG42016,  to wp252016,                                                                                                                                                                                       
WP, 25, 2016101500,   , BEST,   0,  86N, 1435E,  30, 1000, TD,   0,    ,    0,    0,    0,    0, 1007,  230,  40,   0,   0,   W,   0,    ,   0,   0, TWENTYFIVE, M,  
WP, 25, 2016101506,   , BEST,   0,  94N, 1426E,  40,  993, TS,  34, NEQ,   70,   70,   80,   90, 1007,  230,  40,  55,   0,   W,   0,    ,   0,   0,      HAIMA, M,  
WP, 25, 2016101512,   , BEST,   0,  98N, 1414E,  45,  989, TS,  34, NEQ,   90,   80,   90,   90, 1002,  150,  30,   0,   0,   W,   0,    ,   0,   0,      HAIMA, M,  
WP, 25, 2016101518,   , BEST,   0,  99N, 1403E,  55,  982, TS,  34, NEQ,  110,  110,  100,  100, 1007,  190,  30,   0,   0,   W,   0,    ,   0,   0,      HAIMA, M,  
WP, 25, 2016101518,   , BEST,   0,  99N, 1403E,  55,  982, TS,  50, NEQ,   55,   55,   49,   49, 1007,  190,  30,   0,   0,   W,   0,    ,   0,   0,      HAIMA, M,  
WP, 25, 2016101600,   , BEST,   0, 102N, 1396E,  60,  978, TS,  34, NEQ,  110,  110,  100,  140, 1005,  200,  25,  80,   0,   W,   0,    ,   0,   0,      HAIMA, D,  
WP, 25, 2016101600,   , BEST,   0, 102N, 1396E,  60,  978, TS,  50, NEQ,   55,   55,   49,   74, 1005,  200,  25,  80,   0,   W,   0,    ,   0,   0,      HAIMA, D,  
WP, 25, 2016101606,   , BEST,   0, 105N, 1393E,  65,  974, HU,  34, NEQ,  140,  120,  110,  120, 1006,  180,  25,   0,   0,   W,   0,    ,   0,   0,      HAIMA, D,  
WP, 25, 2016101606,   , BEST,   0, 105N, 1393E,  65,  974, HU,  50, NEQ,   74,   62,   55,   62, 1006,  180,  25,   0,   0,   W,   0,    ,   0,   0,      HAIMA, D,  
WP, 25, 2016101606,   , BEST,   0, 105N, 1393E,  65,  974, HU,  64, NEQ,   39,   32,   29,   32, 1006,  180,  25,   0,   0,   W,   0,    ,   0,   0,      HAIMA, D,  
WP, 25, 2016101612,   , BEST,   0, 113N, 1387E,  70,  970, HU,  34, NEQ,  140,  120,  120,  120, 1006,  180,  25,   0,   0,   W,   0,    ,   0,   0,      HAIMA, S,  
WP, 25, 2016101612,   , BEST,   0, 113N, 1387E,  70,  970, HU,  50, NEQ,   75,   62,   62,   62, 1006,  180,  25,   0,   0,   W,   0,    ,   0,   0,      HAIMA, S,  
WP, 25, 2016101612,   , BEST,   0, 113N, 1387E,  70,  970, HU,  64, NEQ,   39,   32,   32,   32, 1006,  180,  25,   0,   0,   W,   0,    ,   0,   0,      HAIMA, S,  
WP, 25, 2016101618,   , BEST,   0, 122N, 1378E,  90,  956, HU,  34, NEQ,  170,  140,  140,  140, 1006,  190,  25, 115,   0,   W,   0,    ,   0,   0,      HAIMA, D,  
WP, 25, 2016101618,   , BEST,   0, 122N, 1378E,  90,  956, HU,  50, NEQ,   95,   76,   76,   76, 1006,  190,  25, 115,   0,   W,   0,    ,   0,   0,      HAIMA, D,  
WP, 25, 2016101618,   , BEST,   0, 122N, 1378E,  90,  956, HU,  64, NEQ,   51,   40,   40,   40, 1006,  190,  25, 115,   0,   W,   0,    ,   0,   0,      HAIMA, D,  
WP, 25, 2016101700,   , BEST,   0, 129N, 1365E,  95,  952, HU,  34, NEQ,  180,  160,  150,  150, 1006,  190,  20,   0,   0,   W,   0,    ,   0,   0,      HAIMA, D,  
WP, 25, 2016101700,   , BEST,   0, 129N, 1365E,  95,  952, HU,  50, NEQ,  101,   89,   82,   82, 1006,  190,  20,   0,   0,   W,   0,    ,   0,   0,      HAIMA, D,  
WP, 25, 2016101700,   , BEST,   0, 129N, 1365E,  95,  952, HU,  64, NEQ,   55,   48,   44,   44, 1006,  190,  20,   0,   0,   W,   0,    ,   0,   0,      HAIMA, D,  
WP, 25, 2016101706,   , BEST,   0, 133N, 1355E, 105,  944, HU,  34, NEQ,  200,  180,  160,  160, 1006,  190,  10,   0,  10,   W,   0,    ,   0,   0,      HAIMA, D,  
WP, 25, 2016101706,   , BEST,   0, 133N, 1355E, 105,  944, HU,  50, NEQ,  114,  102,   89,   89, 1006,  190,  10,   0,  10,   W,   0,    ,   0,   0,      HAIMA, D,  
