WP, 95, 2015021118,   , BEST,   0, 051N, 1507E,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, 1008,  150,    ,   0,   0,   W,   0,   X, 280,   2,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP952015, JTWC, NCEP_TCVITALS, 
WP, 95, 2015021200,   , BEST,   0, 059N, 1489E,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, 1008,  150,    ,   0,   0,   W,   0,   X, 295,   6,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP952015, JTWC, NCEP_TCVITALS, 
WP, 95, 2015062618,   , BEST,   0, 031N, 1637E,  15, 1007, XX,  34, NEQ,    0,    0,    0,    0, 1009,  250,  50,   0,   0,   W,   0,   X,  75,   4,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP952015, JTWC, NCEP_TCVITALS, 
WP, 95, 2015062700,   , BEST,   0, 039N, 1631E,  15, 1007, XX,  34, NEQ,    0,    0,    0,    0, 1009,  250,  50,   0,   0,   W,   0,   X,  15,   3,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP952015, JTWC, NCEP_TCVITALS, 
WP, 95, 2015062706,   , BEST,   0, 040N, 1627E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, 1011,  250,  50,   0,   0,   W,   0,   X, 330,   4,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP952015, JTWC, NCEP_TCVITALS, 
WP, 95, 2015062712,   , BEST,   0, 040N, 1623E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, 1011,  250,  50,   0,   0,   W,   0,   X, 295,   4,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP952015, JTWC, NCEP_TCVITALS, 
WP, 95, 2015062718,   , BEST,   0, 056N, 1619E,  15, 1007, XX,  34, NEQ,    0,    0,    0,    0, 1009,  225,  50,   0,   0,   W,   0,   X, 325,   7,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP952015, JTWC, NCEP_TCVITALS, 
WP, 95, 2015062800,   , BEST,   0, 066N, 1612E,  15, 1007, XX,  34, NEQ,    0,    0,    0,    0, 1009,  215,  50,   0,   0,   W,   0,   X, 330,  10,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP952015, JTWC, NCEP_TCVITALS, 
WP, 95, 2015062806,   , BEST,   0, 072N, 1608E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, 1011,  215,  50,   0,   0,   W,   0,   X, 330,  10,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP952015, JTWC, NCEP_TCVITALS, 
WP, 95, 2015062812,   , BEST,   0, 079N, 1608E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, 1011,  215,  50,   0,   0,   W,   0,   X, 335,   8,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP952015, JTWC, NCEP_TCVITALS, 
WP, 95, 2015062818,   , BEST,   0, 089N, 1596E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, 1011,  215,  50,   0,   0,   W,   0,   X, 325,   9,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP952015, JTWC, NCEP_TCVITALS, 
