AL, 01, 2011062806,   , BEST,   0, 199N,  928W,  25, 1007, LO,  34, NEQ,    0,    0,    0,    0, 1010,  160,  60,   0,   0,   L,   0,    ,   0,   0,     INVEST, M, 
AL, 01, 2011062812,   , BEST,   0, 203N,  931W,  30, 1006, LO,  34, NEQ,    0,    0,    0,    0, 1010,  180,  60,  35,   0,   L,   0,    ,   0,   0,     INVEST, M, 
AL, 01, 2011062818,   , BEST,   0, 207N,  935W,  35, 1006, TS,  34, NEQ,  100,   40,    0,    0, 1010,  180,  75,  40,   0,   L,   0,    ,   0,   0,     ARLENE, M, 
AL, 01, 2011062900,   , BEST,   0, 210N,  939W,  35, 1005, TS,  34, NEQ,  100,   40,    0,    0, 1010,  240,  75,  45,   0,   L,   0,    ,   0,   0,     ARLENE, M, 12, NEQ,  100,    0,    0,    0
AL, 01, 2011062906,   , BEST,   0, 212N,  945W,  35, 1003, TS,  34, NEQ,  100,   40,    0,    0, 1010,  210,  75,  45,   0,   L,   0,    ,   0,   0,     ARLENE, M, 12, NEQ,  100,   40,    0,    0
AL, 01, 2011062912,   , BEST,   0, 213N,  953W,  45, 1000, TS,  34, NEQ,  120,   60,   40,   40, 1008,  200,  90,  50,   0,   L,   0,    ,   0,   0,     ARLENE, M, 12, NEQ,  150,    0,    0,  100
AL, 01, 2011062918,   , BEST,   0, 214N,  956W,  50,  998, TS,  34, NEQ,  120,   60,   70,   60, 1008,  180,  70,  55,   0,   L,   0,    ,   0,   0,     ARLENE, D, 12, NEQ,  150,    0,    0,  100
AL, 01, 2011062918,   , BEST,   0, 214N,  956W,  50,  998, TS,  50, NEQ,   60,   40,   40,    0, 1008,  180,  70,   0,   0, 
AL, 01, 2011063000,   , BEST,   0, 216N,  961W,  50,  996, TS,  34, NEQ,  100,   90,  100,   60, 1008,  200,  50,  60,   0,   L,   0,    ,   0,   0,     ARLENE, D, 
AL, 01, 2011063000,   , BEST,   0, 216N,  961W,  50,  996, TS,  50, NEQ,   60,   40,   70,    0, 1008,  200,  50,  60,   0,   L,   0,    ,   0,   0,     ARLENE, D, 
AL, 01, 2011063006,   , BEST,   0, 216N,  970W,  55,  994, TS,  34, NEQ,   80,  120,   70,   80, 1008,  200,  50,  65,   0,   L,   0,    ,   0,   0,     ARLENE, D, 12, NEQ,  180,    0,    0,  180
AL, 01, 2011063006,   , BEST,   0, 216N,  970W,  55,  994, TS,  50, NEQ,   50,   50,    0,    0, 1008,  200,  50,  65,   0,   L,   0,    ,   0,   0,     ARLENE, D, 12, NEQ,  180,    0,    0,  180
AL, 01, 2011063012,   , BEST,   0, 216N,  973W,  55,  993, TS,  34, NEQ,   80,  120,   40,   80, 1006,  200,  40,  65,   0,   L,   0,    ,   0,   0,     ARLENE, D, 12, NEQ,  180,   90,   30,   90
AL, 01, 2011063012,   , BEST,   0, 216N,  973W,  55,  993, TS,  50, NEQ,   50,   50,    0,    0, 1006,  200,  40,  65,   0,   L,   0,    ,   0,   0,     ARLENE, D, 12, NEQ,  180,   90,   30,   90
AL, 01, 2011063013,   , BEST,   0, 216N,  974W,  55,  993, TS,  34, NEQ,   80,  120,   40,   80, 
AL, 01, 2011063013,   , BEST,   0, 216N,  974W,  55,  993, TS,  50, NEQ,   50,   50,    0,    0, 
AL, 01, 2011063018,   , BEST,   0, 215N,  981W,  45,  998, TS,  34, NEQ,   90,   90,   40,   40, 1007,  200,  40,  55,   0,   L,   0,    ,   0,   0,     ARLENE, D, 12, NEQ,  200,   90,    0,   80
AL, 01, 2011070100,   , BEST,   0, 211N,  987W,  30, 1002, TD,   0,    ,    0,    0,    0,    0, 1007,  175,  50,  40,   0,   L,   0,    ,   0,   0,     ARLENE, D, 
