AL, 08, 2014101118,   , BEST,   0, 164N,  549W,  25, 1010, LO,   0,    ,    0,    0,    0,    0, 1013,  120,  60,   0,   0,   L,   0,    ,   0,   0,     INVEST, M, 
AL, 08, 2014101200,   , BEST,   0, 164N,  559W,  30, 1010, TD,   0,    ,    0,    0,    0,    0, 1013,  120,  60,   0,   0,   L,   0,    ,   0,   0,     INVEST, M, 
AL, 08, 2014101206,   , BEST,   0, 164N,  569W,  30, 1008, TD,   0,    ,    0,    0,    0,    0, 1013,  120,  60,   0,   0,   L,   0,    ,   0,   0,     INVEST, M, 
AL, 08, 2014101212,   , BEST,   0, 164N,  579W,  35, 1006, TS,  34, NEQ,   50,   40,    0,   50, 1013,  120,  40,  40,   0,   L,   0,    ,   0,   0,     INVEST, D,  0,    ,    0,    0,    0,    0,         TRANSITIONED, alC02014 to al082014
AL, 08, 2014101218,   , BEST,   0, 164N,  588W,  40, 1004, TS,  34, NEQ,   50,   40,    0,   50, 1013,  120,  30,  45,   0,   L,   0,    ,   0,   0,    GONZALO, D, 12, NEQ,   40,    0,    0,   40,         TRANSITIONED, alE02014 to al082014
AL, 08, 2014101300,   , BEST,   0, 165N,  597W,  45, 1001, TS,  34, NEQ,   50,   40,    0,   50, 1012,  140,  30,  50,   0,   L,   0,    ,   0,   0,    GONZALO, D, 
AL, 08, 2014101306,   , BEST,   0, 167N,  606W,  55,  996, TS,  34, NEQ,   60,   40,   20,   60, 1010,  140,  25,  55,   0,   L,   0,    ,   0,   0,    GONZALO, D, 12, NEQ,   60,   45,   60,   60, 
AL, 08, 2014101306,   , BEST,   0, 167N,  606W,  55,  996, TS,  50, NEQ,   30,    0,    0,   30, 1010,  140,  25,  55,   0,   L,   0,    ,   0,   0,    GONZALO, D, 12, NEQ,   60,   45,   60,   60, 
AL, 08, 2014101312,   , BEST,   0, 170N,  615W,  65,  992, HU,  34, NEQ,   80,   50,   30,   80, 1011,  130,  15,  60,   0,   L,   0,    ,   0,   0,    GONZALO, D, 12, NEQ,   60,   45,   60,   60, 
AL, 08, 2014101312,   , BEST,   0, 170N,  615W,  65,  992, HU,  50, NEQ,   30,   20,   20,   30, 1011,  130,  15,  60,   0,   L,   0,    ,   0,   0,    GONZALO, D, 12, NEQ,   60,   45,   60,   60, 
AL, 08, 2014101312,   , BEST,   0, 170N,  615W,  65,  992, HU,  64, NEQ,   15,    0,    0,   15, 1011,  130,  15,  60,   0,   L,   0,    ,   0,   0,    GONZALO, D, 12, NEQ,   60,   45,   60,   60, 
AL, 08, 2014101314, 30, BEST,   0, 171N,  618W,  65,  990, HU,  34, NEQ,   80,   50,   30,   80, 1011,  130,  15,   0,   0, 
AL, 08, 2014101314, 30, BEST,   0, 171N,  618W,  65,  990, HU,  50, NEQ,   30,   20,   20,   30, 1011,  130,  15,   0,   0, 
AL, 08, 2014101314, 30, BEST,   0, 171N,  618W,  65,  990, HU,  64, NEQ,   15,    0,    0,   15, 1011,  130,  15,   0,   0, 
AL, 08, 2014101318,   , BEST,   0, 176N,  624W,  70,  988, HU,  34, NEQ,   90,   60,   40,   90, 1011,  130,  10,  75,   0,   L,   0,    ,   0,   0,    GONZALO, D, 12, NEQ,   90,   60,   60,   60, 
AL, 08, 2014101318,   , BEST,   0, 176N,  624W,  70,  988, HU,  50, NEQ,   30,   20,   20,   30, 1011,  130,  10,  75,   0,   L,   0,    ,   0,   0,    GONZALO, D, 12, NEQ,   90,   60,   60,   60, 
AL, 08, 2014101318,   , BEST,   0, 176N,  624W,  70,  988, HU,  64, NEQ,   15,   10,    0,   15, 1011,  130,  10,  75,   0,   L,   0,    ,   0,   0,    GONZALO, D, 12, NEQ,   90,   60,   60,   60, 
