EP, 02, 2011061818,   , BEST,   0, 124N,  972W,  25, 1006, LO,   0,    ,    0,    0,    0,    0, 1009,  200,  80,  35,   0,   E,   0,    ,   0,   0,     INVEST, S, 
EP, 02, 2011061900,   , BEST,   0, 127N,  981W,  25, 1006, LO,   0,    ,    0,    0,    0,    0, 1008,  200,  80,  35,   0,   E,   0,    ,   0,   0,     INVEST, S, 
EP, 02, 2011061906,   , BEST,   0, 131N,  990W,  25, 1006, TD,   0,    ,    0,    0,    0,    0, 1010,  240,  80,  35,   0,   E,   0,    ,   0,   0,     INVEST, M, 
EP, 02, 2011061912,   , BEST,   0, 136N,  999W,  30, 1005, TD,   0,    ,    0,    0,    0,    0, 1009,  200,  60,  40,   0,   E,   0,    ,   0,   0,        TWO, M, 
EP, 02, 2011061918,   , BEST,   0, 141N, 1007W,  35, 1004, TS,  34, NEQ,   30,   30,    0,   15, 1009,  215,  30,  45,   0,   E,   0,    ,   0,   0,    BEATRIZ, M, 
EP, 02, 2011062000,   , BEST,   0, 147N, 1015W,  40, 1001, TS,  34, NEQ,   45,   45,   30,   30, 1006,  200,  25,  50,   0,   E,   0,    ,   0,   0,    BEATRIZ, M, 
EP, 02, 2011062006,   , BEST,   0, 153N, 1022W,  50,  997, TS,  34, NEQ,   60,   45,   45,   60, 1006,  200,  20,  60,   0,   E,   0,    ,   0,   0,    BEATRIZ, D, 
EP, 02, 2011062006,   , BEST,   0, 153N, 1022W,  50,  997, TS,  50, NEQ,   20,   20,   20,   20, 1006,  200,  20,  60,   0,   E,   0,    ,   0,   0,    BEATRIZ, D, 
EP, 02, 2011062012,   , BEST,   0, 162N, 1026W,  60,  994, TS,  34, NEQ,   75,   60,   60,   75, 1006,  200,  20,  65,   0,   E,   0,    ,   0,   0,    BEATRIZ, D, 12, NEQ,  180,  240,  180,  120
EP, 02, 2011062012,   , BEST,   0, 162N, 1026W,  60,  994, TS,  50, NEQ,   20,   20,   20,   20, 1006,  200,  20,  65,   0,   E,   0,    ,   0,   0,    BEATRIZ, D, 12, NEQ,  180,  240,  180,  120
EP, 02, 2011062018,   , BEST,   0, 167N, 1029W,  70,  989, HU,  34, NEQ,   90,   70,   80,   90, 1006,  200,  15,  75,   0,   E,   0,    ,   0,   0,    BEATRIZ, D, 12, NEQ,   60,  420,  120,  150
EP, 02, 2011062018,   , BEST,   0, 167N, 1029W,  70,  989, HU,  50, NEQ,   30,   30,   30,   20, 1006,  200,  15,  75,   0,   E,   0,    ,   0,   0,    BEATRIZ, D, 12, NEQ,   60,  420,  120,  150
EP, 02, 2011062018,   , BEST,   0, 167N, 1029W,  70,  989, HU,  64, NEQ,   15,   10,   10,   10, 1006,  200,  15,  75,   0,   E,   0,    ,   0,   0,    BEATRIZ, D, 12, NEQ,   60,  420,  120,  150
EP, 02, 2011062100,   , BEST,   0, 174N, 1032W,  70,  987, HU,  34, NEQ,   60,   70,   45,   90, 1005,  100,  15,  75,   0,   E,   0,    ,   0,   0,    BEATRIZ, D, 12, NEQ,   60,  390,  120,  120
EP, 02, 2011062100,   , BEST,   0, 174N, 1032W,  70,  987, HU,  50, NEQ,   30,   30,   30,   20, 1005,  100,  15,  75,   0,   E,   0,    ,   0,   0,    BEATRIZ, D, 12, NEQ,   60,  390,  120,  120
EP, 02, 2011062100,   , BEST,   0, 174N, 1032W,  70,  987, HU,  64, NEQ,   15,   10,   10,   10, 1005,  100,  15,  75,   0,   E,   0,    ,   0,   0,    BEATRIZ, D, 12, NEQ,   60,  390,  120,  120
EP, 02, 2011062103,   , BEST,   0, 179N, 1034W,  75,  983, HU,  34, NEQ,   45,   60,   30,   75, 
EP, 02, 2011062103,   , BEST,   0, 179N, 1034W,  75,  983, HU,  50, NEQ,   30,   30,   15,   30, 
EP, 02, 2011062103,   , BEST,   0, 179N, 1034W,  75,  983, HU,  64, NEQ,   15,   10,    5,   10, 
