EP, 11, 2011100418,   , BEST,   0, 116N, 1117W,  25, 1009, LO,   0,    ,    0,    0,    0,    0, 
EP, 11, 2011100500,   , BEST,   0, 115N, 1126W,  25, 1009, LO,   0,    ,    0,    0,    0,    0, 1010,  200,  60,   0,   0,   E,   0,    ,   0,   0,     INVEST, S, 
EP, 11, 2011100506,   , BEST,   0, 114N, 1132W,  25, 1009, LO,   0,    ,    0,    0,    0,    0, 1010,  120,  60,   0,   0,   E,   0,    ,   0,   0,     INVEST, S, 
EP, 11, 2011100512,   , BEST,   0, 114N, 1139W,  25, 1009, LO,   0,    ,    0,    0,    0,    0, 1010,  120,  60,   0,   0,   E,   0,    ,   0,   0,     INVEST, S, 
EP, 11, 2011100518,   , BEST,   0, 116N, 1146W,  25, 1009, LO,   0,    ,    0,    0,    0,    0, 1010,  150,  60,   0,   0,   E,   0,    ,   0,   0,     INVEST, S, 
EP, 11, 2011100600,   , BEST,   0, 119N, 1153W,  25, 1007, LO,   0,    ,    0,    0,    0,    0, 1010,  150,  60,  35,   0,   E,   0,    ,   0,   0,     INVEST, M, 
EP, 11, 2011100606,   , BEST,   0, 121N, 1160W,  30, 1006, TD,   0,    ,    0,    0,    0,    0, 1010,  150,  60,  40,   0,   E,   0,    ,   0,   0,     ELEVEN, M, 
EP, 11, 2011100612,   , BEST,   0, 123N, 1167W,  35, 1004, TS,  34, NEQ,   45,   60,   75,   45, 1009,  180,  35,  45,   0,   E,   0,    ,   0,   0,      IRWIN, M, 
EP, 11, 2011100618,   , BEST,   0, 125N, 1176W,  50,  999, TS,  34, NEQ,   45,   60,   75,   45, 1009,  180,  25,  60,   0,   E,   0,    ,   0,   0,      IRWIN, M, 12, NEQ,   40,   40,    0,   40
EP, 11, 2011100618,   , BEST,   0, 125N, 1176W,  50,  999, TS,  50, NEQ,   20,   20,    0,   20, 1009,  180,  25,  60,   0,   E,   0,    ,   0,   0,      IRWIN, M, 12, NEQ,   40,   40,    0,   40
EP, 11, 2011100700,   , BEST,   0, 129N, 1185W,  60,  995, TS,  34, NEQ,   45,   60,   60,   45, 1009,  180,  20,  65,   0,   E,   0,    ,   0,   0,      IRWIN, M, 12, NEQ,   90,  120,    0,   40
EP, 11, 2011100700,   , BEST,   0, 129N, 1185W,  60,  995, TS,  50, NEQ,   20,   20,    0,   20, 1009,  180,  20,  65,   0,   E,   0,    ,   0,   0,      IRWIN, M, 12, NEQ,   90,  120,    0,   40
EP, 11, 2011100706,   , BEST,   0, 133N, 1193W,  70,  989, HU,  34, NEQ,   45,   60,   45,   45, 1010,  150,  15,  80,   0,   E,   0,    ,   0,   0,      IRWIN, D, 12, NEQ,  120,  180,   45,   45
EP, 11, 2011100706,   , BEST,   0, 133N, 1193W,  70,  989, HU,  50, NEQ,   20,   20,   10,   20, 1010,  150,  15,  80,   0,   E,   0,    ,   0,   0,      IRWIN, D, 12, NEQ,  120,  180,   45,   45
EP, 11, 2011100706,   , BEST,   0, 133N, 1193W,  70,  989, HU,  64, NEQ,   10,   10,    0,   10, 1010,  150,  15,  80,   0,   E,   0,    ,   0,   0,      IRWIN, D, 12, NEQ,  120,  180,   45,   45
EP, 11, 2011100712,   , BEST,   0, 136N, 1200W,  80,  981, HU,  34, NEQ,   45,   75,   45,   45, 1010,  150,  15,  90,   0,   E,   0,    ,   0,   0,      IRWIN, D, 12, NEQ,  180,  180,   60,   60
EP, 11, 2011100712,   , BEST,   0, 136N, 1200W,  80,  981, HU,  50, NEQ,   30,   30,   20,   30, 1010,  150,  15,  90,   0,   E,   0,    ,   0,   0,      IRWIN, D, 12, NEQ,  180,  180,   60,   60
EP, 11, 2011100712,   , BEST,   0, 136N, 1200W,  80,  981, HU,  64, NEQ,   15,   15,    0,   15, 1010,  150,  15,  90,   0,   E,   0,    ,   0,   0,      IRWIN, D, 12, NEQ,  180,  180,   60,   60
EP, 11, 2011100718,   , BEST,   0, 138N, 1205W,  85,  977, HU,  34, NEQ,   45,   90,   45,   45, 1010,  150,  15, 100,   0,   E,   0,    ,   0,   0,      IRWIN, D, 
