EP, 14, 2025092118,   , BEST,   0, 144N,  994W,  35, 1007, TS,  34, NEQ,   60,    0,    0,   60, 1010,  150,  60,  45,   0,   E,   0,    ,   0,   0,      NARDA, M,  0,    ,    0,    0,    0,    0, genesis-num, 026, TRANSITIONED, epB72025 to ep142025, 
EP, 14, 2025092200,   , BEST,   0, 151N, 1001W,  35, 1006, TS,  34, NEQ,   60,    0,    0,   60, 1009,  150,  60,  45,   0,   E,   0,    ,   0,   0,      NARDA, M,  0,    ,    0,    0,    0,    0, genesis-num, 026, 
EP, 14, 2025092206,   , BEST,   0, 154N, 1012W,  40, 1003, TS,  34, NEQ,   60,    0,    0,   50, 1009,  150,  60,  50,   0,   E,   0,    ,   0,   0,      NARDA, M,  0,    ,    0,    0,    0,    0, genesis-num, 026, 
EP, 14, 2025092212,   , BEST,   0, 157N, 1023W,  45, 1000, TS,  34, NEQ,   60,   30,   20,   50, 1008,  180,  40,  55,   0,   E,   0,    ,   0,   0,      NARDA, M,  0,    ,    0,    0,    0,    0, genesis-num, 026, 
EP, 14, 2025092218,   , BEST,   0, 159N, 1034W,  50,  997, TS,  34, NEQ,   60,   30,   20,   50, 1008,  180,  20,  60,   0,   E,   0,    ,   0,   0,      NARDA, M, 12, NEQ,   60,   30,   30,   60, genesis-num, 026, 
EP, 14, 2025092218,   , BEST,   0, 159N, 1034W,  50,  997, TS,  50, NEQ,   20,    0,    0,    0, 1008,  180,  20,  60,   0,   E,   0,    ,   0,   0,      NARDA, M, 12, NEQ,   60,   30,   30,   60, genesis-num, 026, 
EP, 14, 2025092300,   , BEST,   0, 161N, 1045W,  55,  993, TS,  34, NEQ,   60,   40,   40,   50, 1008,  180,  20,  65,   0,   E,   0,    ,   0,   0,      NARDA, M, 12, NEQ,   60,   30,   30,   60, genesis-num, 026, 
EP, 14, 2025092300,   , BEST,   0, 161N, 1045W,  55,  993, TS,  50, NEQ,   25,    0,    0,    0, 1008,  180,  20,  65,   0,   E,   0,    ,   0,   0,      NARDA, M, 12, NEQ,   60,   30,   30,   60, genesis-num, 026, 
EP, 14, 2025092306,   , BEST,   0, 158N, 1056W,  65,  986, HU,  34, NEQ,   60,   40,   40,   50, 1008,  180,  10,  75,   0,   E,   0,    ,   0,   0,      NARDA, D, 12, NEQ,   60,   30,   30,   60, genesis-num, 026, 
EP, 14, 2025092306,   , BEST,   0, 158N, 1056W,  65,  986, HU,  50, NEQ,   25,   20,   20,   25, 1008,  180,  10,  75,   0,   E,   0,    ,   0,   0,      NARDA, D, 12, NEQ,   60,   30,   30,   60, genesis-num, 026, 
EP, 14, 2025092306,   , BEST,   0, 158N, 1056W,  65,  986, HU,  64, NEQ,   15,    0,    0,    0, 1008,  180,  10,  75,   0,   E,   0,    ,   0,   0,      NARDA, D, 12, NEQ,   60,   30,   30,   60, genesis-num, 026, 
EP, 14, 2025092312,   , BEST,   0, 155N, 1067W,  75,  982, HU,  34, NEQ,   60,   50,   40,   50, 1008,  200,  10,  90,   0,   E,   0,    ,   0,   0,      NARDA, D, 12, NEQ,   75,   45,   30,   60, genesis-num, 026, 
EP, 14, 2025092312,   , BEST,   0, 155N, 1067W,  75,  982, HU,  50, NEQ,   25,   20,   20,   25, 1008,  200,  10,  90,   0,   E,   0,    ,   0,   0,      NARDA, D, 12, NEQ,   75,   45,   30,   60, genesis-num, 026, 
EP, 14, 2025092312,   , BEST,   0, 155N, 1067W,  75,  982, HU,  64, NEQ,   15,    0,    0,   10, 1008,  200,  10,  90,   0,   E,   0,    ,   0,   0,      NARDA, D, 12, NEQ,   75,   45,   30,   60, genesis-num, 026, 
