SH, 01, 2009111312,   , BEST,   0, 103S,  714E,  25, 1004, TD,   0,    ,    0,    0,    0,    0, 
SH, 01, 2009111318,   , BEST,   0, 111S,  714E,  30, 1000, TD,   0,    ,    0,    0,    0,    0, 1008,  150,  40,   0,   0,   S,   0,    ,   0,   0,     INVEST, S, 
SH, 01, 2009111400,   , BEST,   0, 119S,  712E,  30, 1000, TD,   0,    ,    0,    0,    0,    0, 1008,  150,  40,   0,   0,   S,   0,    ,   0,   0,     INVEST, S, 
SH, 01, 2009111406,   , BEST,   0, 126S,  709E,  40,  993, TS,  34, NEQ,   60,   60,   60,   60, 1005,  180,  40,  45,   0,   S,   0,    ,   0,   0,     INVEST, S, 
SH, 01, 2009111412,   , BEST,   0, 128S,  707E,  50,  985, TS,  34, NEQ,   55,   55,   55,   55, 1005,  180,  40,   0,   0,   S,   0,    ,   0,   0,        ONE, S, 
SH, 01, 2009111418,   , BEST,   0, 129S,  706E,  60,  978, TS,  34, NEQ,   60,   55,   60,   60, 1006,  180,  35,   0,   0,   S,   0,    ,   0,   0,        ONE, M, 
SH, 01, 2009111418,   , BEST,   0, 129S,  706E,  60,  978, TS,  50, NEQ,   25,   25,   25,   25, 1006,  180,  35,   0,   0,   S,   0,    ,   0,   0,        ONE, M, 
SH, 01, 2009111500,   , BEST,   0, 130S,  705E,  90,  956, HU,  34, NEQ,   70,   75,   70,   70, 1007,  112,  15,   0,  15,   S,   0,    ,   0,   0,       ANJA, D, 
SH, 01, 2009111500,   , BEST,   0, 130S,  705E,  90,  956, HU,  50, NEQ,   25,   30,   25,   25, 1007,  112,  15,   0,  15,   S,   0,    ,   0,   0,       ANJA, D, 
SH, 01, 2009111500,   , BEST,   0, 130S,  705E,  90,  956, HU,  64, NEQ,   15,   15,   15,   15, 1007,  112,  15,   0,  15,   S,   0,    ,   0,   0,       ANJA, D, 
SH, 01, 2009111506,   , BEST,   0, 131S,  703E, 100,  948, HU,  34, NEQ,   70,   75,   70,   70, 1007,  150,  20,   0,  30,   S,   0,    ,   0,   0,       ANJA, S, 
SH, 01, 2009111506,   , BEST,   0, 131S,  703E, 100,  948, HU,  50, NEQ,   50,   50,   50,   50, 1007,  150,  20,   0,  30,   S,   0,    ,   0,   0,       ANJA, S, 
SH, 01, 2009111506,   , BEST,   0, 131S,  703E, 100,  948, HU,  64, NEQ,   35,   35,   35,   35, 1007,  150,  20,   0,  30,   S,   0,    ,   0,   0,       ANJA, S, 
SH, 01, 2009111512,   , BEST,   0, 133S,  699E, 105,  944, HU,  34, NEQ,   70,   75,   70,   70, 1006,  150,  20,   0,  25,   S,   0,    ,   0,   0,       ANJA, D, 
SH, 01, 2009111512,   , BEST,   0, 133S,  699E, 105,  944, HU,  50, NEQ,   50,   50,   50,   50, 1006,  150,  20,   0,  25,   S,   0,    ,   0,   0,       ANJA, D, 
SH, 01, 2009111512,   , BEST,   0, 133S,  699E, 105,  944, HU,  64, NEQ,   35,   35,   35,   35, 1006,  150,  20,   0,  25,   S,   0,    ,   0,   0,       ANJA, D, 
SH, 01, 2009111518,   , BEST,   0, 133S,  695E, 105,  944, HU,  34, NEQ,   80,   95,   90,   60, 1006,  220,  15,   0,  15,   S,   0,    ,   0,   0,       ANJA, D, 
SH, 01, 2009111518,   , BEST,   0, 133S,  695E, 105,  944, HU,  50, NEQ,   55,   65,   55,   55, 1006,  220,  15,   0,  15,   S,   0,    ,   0,   0,       ANJA, D, 
SH, 01, 2009111518,   , BEST,   0, 133S,  695E, 105,  944, HU,  64, NEQ,   40,   40,   40,   40, 1006,  220,  15,   0,  15,   S,   0,    ,   0,   0,       ANJA, D, 
SH, 01, 2009111600,   , BEST,   0, 136S,  692E, 105,  944, HU,  34, NEQ,   95,  100,   95,   90, 1006,  240,  15,   0,  15,   S,   0,    ,   0,   0,       ANJA, D, 
