SH, 11, 2018030112,   , BEST,   0, 133S,  554E,  20, 1006, DB,   0,    ,    0,    0,    0,    0, 1006,  300,  40,   0,   0,   S,   0,    ,   0,   0,     INVEST, S,  
SH, 11, 2018030118,   , BEST,   0, 130S,  547E,  20, 1005, DB,   0,    ,    0,    0,    0,    0, 1006,  245,  40,   0,   0,   S,   0,    ,   0,   0,     INVEST, S,  
SH, 11, 2018030200,   , BEST,   0, 130S,  541E,  20, 1005, DB,   0,    ,    0,    0,    0,    0, 1008,  230,  40,   0,   0,   S,   0,    ,   0,   0,     INVEST, S,  
SH, 11, 2018030206,   , BEST,   0, 126S,  538E,  25, 1003, TD,   0,    ,    0,    0,    0,    0, 1008,  215,  40,   0,   0,   S,   0,    ,   0,   0,     INVEST, S,  
SH, 11, 2018030212,   , BEST,   0, 125S,  542E,  35, 1000, TS,  34, NEQ,   90,   60,   40,  100, 1005,  200,  40,   0,   0,   S,   0,    ,   0,   0,     ELEVEN, S,  0,    ,    0,    0,    0,    0, TRANSITIONED, shC42018 to sh112018,                                                                                                                                                                                       
SH, 11, 2018030218,   , BEST,   0, 129S,  545E,  40,  997, TS,  34, NEQ,   90,   60,   40,  100, 1007,  190,  35,   0,   0,   S,   0,    ,   0,   0,     ELEVEN, M,  
SH, 11, 2018030300,   , BEST,   0, 141S,  541E,  40,  997, TS,  34, NEQ,  100,   80,   40,  100, 1006,  200,  35,   0,   0,   S,   0,    ,   0,   0,   DUMAZILE, M,  
SH, 11, 2018030306,   , BEST,   0, 148S,  534E,  45,  993, TS,  34, NEQ,  100,  110,   60,  100, 1005,  200,  35,   0,   0,   S,   0,    ,   0,   0,   DUMAZILE, M,  
SH, 11, 2018030312,   , BEST,   0, 153S,  525E,  50,  991, TS,  34, NEQ,  110,  130,  100,  100, 1004,  200,  35,   0,   0,   S,   0,    ,   0,   0,   DUMAZILE, M,  
SH, 11, 2018030312,   , BEST,   0, 153S,  525E,  50,  991, TS,  50, NEQ,   55,   67,   48,   48, 1004,  200,  35,   0,   0,   S,   0,    ,   0,   0,   DUMAZILE, M,  
SH, 11, 2018030318,   , BEST,   0, 159S,  521E,  55,  988, TS,  34, NEQ,  120,  160,  120,  100, 1005,  195,  30,   0,   0,   S,   0,    ,   0,   0,   DUMAZILE, D,  
SH, 11, 2018030318,   , BEST,   0, 159S,  521E,  55,  988, TS,  50, NEQ,   61,   86,   61,   49, 1005,  195,  30,   0,   0,   S,   0,    ,   0,   0,   DUMAZILE, D,  
SH, 11, 2018030400,   , BEST,   0, 169S,  515E,  65,  982, TY,  34, NEQ,  140,  170,  140,  110, 1005,  195,  30,   0,   0,   S,   0,    ,   0,   0,   DUMAZILE, D,  
SH, 11, 2018030400,   , BEST,   0, 169S,  515E,  65,  982, TY,  50, NEQ,   74,   93,   74,   55, 1005,  195,  30,   0,   0,   S,   0,    ,   0,   0,   DUMAZILE, D,  
SH, 11, 2018030400,   , BEST,   0, 169S,  515E,  65,  982, TY,  64, NEQ,   39,   50,   39,   29, 1005,  195,  30,   0,   0,   S,   0,    ,   0,   0,   DUMAZILE, D,  
SH, 11, 2018030406,   , BEST,   0, 178S,  511E,  70,  978, TY,  34, NEQ,  150,  190,  150,  120, 1005,  190,  30,   0,   0,   S,   0,    ,   0,   0,   DUMAZILE, D,  
SH, 11, 2018030406,   , BEST,   0, 178S,  511E,  70,  978, TY,  50, NEQ,   81,  106,   81,   62, 1005,  190,  30,   0,   0,   S,   0,    ,   0,   0,   DUMAZILE, D,  
SH, 11, 2018030406,   , BEST,   0, 178S,  511E,  70,  978, TY,  64, NEQ,   43,   57,   43,   32, 1005,  190,  30,   0,   0,   S,   0,    ,   0,   0,   DUMAZILE, D,  
SH, 11, 2018030412,   , BEST,   0, 186S,  509E,  80,  970, TY,  34, NEQ,  170,  200,  160,  130, 1003,  200,  30,   0,   0,   S,   0,    ,   0,   0,   DUMAZILE, D,  
SH, 11, 2018030412,   , BEST,   0, 186S,  509E,  80,  970, TY,  50, NEQ,   94,  113,   88,   69, 1003,  200,  30,   0,   0,   S,   0,    ,   0,   0,   DUMAZILE, D,  
SH, 11, 2018030412,   , BEST,   0, 186S,  509E,  80,  970, TY,  64, NEQ,   50,   61,   47,   36, 1003,  200,  30,   0,   0,   S,   0,    ,   0,   0,   DUMAZILE, D,  
SH, 11, 2018030418,   , BEST,   0, 193S,  506E,  85,  967, TY,  34, NEQ,  180,  200,  160,  130, 1005,  195,  15,   0,  20,   S,   0,    ,   0,   0,   DUMAZILE, D,  
SH, 11, 2018030418,   , BEST,   0, 193S,  506E,  85,  967, TY,  50, NEQ,  101,  113,   88,   69, 1005,  195,  15,   0,  20,   S,   0,    ,   0,   0,   DUMAZILE, D,  
SH, 11, 2018030418,   , BEST,   0, 193S,  506E,  85,  967, TY,  64, NEQ,   54,   61,   47,   37, 1005,  195,  15,   0,  20,   S,   0,    ,   0,   0,   DUMAZILE, D,  
SH, 11, 2018030500,   , BEST,   0, 203S,  509E,  90,  961, TY,  34, NEQ,  200,  210,  170,  140, 1004,  210,  12,   0,  15,   S,   0,    ,   0,   0,   DUMAZILE, D,  
SH, 11, 2018030500,   , BEST,   0, 203S,  509E,  90,  961, TY,  50, NEQ,  113,  120,   95,   76, 1004,  210,  12,   0,  15,   S,   0,    ,   0,   0,   DUMAZILE, D,  
SH, 11, 2018030500,   , BEST,   0, 203S,  509E,  90,  961, TY,  64, NEQ,   61,   65,   51,   40, 1004,  210,  12,   0,  15,   S,   0,    ,   0,   0,   DUMAZILE, D,  
SH, 11, 2018030506,   , BEST,   0, 211S,  512E, 105,  947, TY,  34, NEQ,  210,  210,  180,  150, 1004,  210,  12,   0,  15,   S,   0,    ,   0,   0,   DUMAZILE, D,  
SH, 11, 2018030506,   , BEST,   0, 211S,  512E, 105,  947, TY,  50, NEQ,  121,  121,  102,   83, 1004,  210,  12,   0,  15,   S,   0,    ,   0,   0,   DUMAZILE, D,  
SH, 11, 2018030506,   , BEST,   0, 211S,  512E, 105,  947, TY,  64, NEQ,   65,   65,   55,   44, 1004,  210,  12,   0,  15,   S,   0,    ,   0,   0,   DUMAZILE, D,  
SH, 11, 2018030512,   , BEST,   0, 222S,  516E, 110,  941, TY,  34, NEQ,  210,  220,  190,  160, 1003,  215,  12,   0,  15,   S,   0,    ,   0,   0,   DUMAZILE, D,  
SH, 11, 2018030512,   , BEST,   0, 222S,  516E, 110,  941, TY,  50, NEQ,  121,  127,  108,   89, 1003,  215,  12,   0,  15,   S,   0,    ,   0,   0,   DUMAZILE, D,  
