SH, 16, 2018032200,   , BEST,   0,  99S, 1357E,  30, 1000, TD,   0,    ,    0,    0,    0,    0, 1003,  175,  50,   0,   0,   P,   0,    ,   0,   0,     INVEST, S,  
SH, 16, 2018032206,   , BEST,   0,  97S, 1363E,  35,  997, TS,  34, NEQ,   60,   50,   60,   60, 1003,  200,  50,   0,   0,   P,   0,    ,   0,   0,    SIXTEEN, M,  0,    ,    0,    0,    0,    0, TRANSITIONED, shD42018 to sh162018,                                                                                                                                                                                       
SH, 16, 2018032212,   , BEST,   0,  97S, 1364E,  35,  997, TS,  34, NEQ,   80,   50,   60,   60, 1004,  220,  50,   0,   0,   P,   0,    ,   0,   0,    SIXTEEN, M,  
SH, 16, 2018032218,   , BEST,   0,  97S, 1365E,  45,  991, TS,  34, NEQ,   90,   50,   60,   60, 1003,  215,  35,   0,   0,   P,   0,    ,   0,   0,    SIXTEEN, M,  
SH, 16, 2018032300,   , BEST,   0,  99S, 1370E,  50,  988, TS,  34, NEQ,  110,   50,   60,   70, 1003,  187,  30,   0,   0,   P,   0,    ,   0,   0,       NORA, M,  
SH, 16, 2018032300,   , BEST,   0,  99S, 1370E,  50,  988, TS,  50, NEQ,   55,   17,   23,   29, 1003,  187,  30,   0,   0,   P,   0,    ,   0,   0,       NORA, M,  
SH, 16, 2018032306,   , BEST,   0, 105S, 1380E,  70,  977, TY,  34, NEQ,  110,   70,   80,   90, 1003,  195,  20,   0,   0,   P,   0,    ,   0,   0,       NORA, M,  
SH, 16, 2018032306,   , BEST,   0, 105S, 1380E,  70,  977, TY,  50, NEQ,   56,   31,   37,   43, 1003,  195,  20,   0,   0,   P,   0,    ,   0,   0,       NORA, M,  
SH, 16, 2018032306,   , BEST,   0, 105S, 1380E,  70,  977, TY,  64, NEQ,   29,   15,   18,   22, 1003,  195,  20,   0,   0,   P,   0,    ,   0,   0,       NORA, M,  
SH, 16, 2018032312,   , BEST,   0, 112S, 1387E,  95,  961, TY,  34, NEQ,  120,   90,   80,   90, 1004,  195,  12,   0,  15,   P,   0,    ,   0,   0,       NORA, D,  
SH, 16, 2018032312,   , BEST,   0, 112S, 1387E,  95,  961, TY,  50, NEQ,   63,   44,   38,   44, 1004,  195,  12,   0,  15,   P,   0,    ,   0,   0,       NORA, D,  
SH, 16, 2018032312,   , BEST,   0, 112S, 1387E,  95,  961, TY,  64, NEQ,   34,   23,   20,   23, 1004,  195,  12,   0,  15,   P,   0,    ,   0,   0,       NORA, D,  
SH, 16, 2018032318,   , BEST,   0, 119S, 1395E, 100,  956, TY,  34, NEQ,  130,  130,  100,  100, 1003,  205,   5,   0,  10,   P,   0,    ,   0,   0,       NORA, D,  
SH, 16, 2018032318,   , BEST,   0, 119S, 1395E, 100,  956, TY,  50, NEQ,   70,   70,   51,   51, 1003,  205,   5,   0,  10,   P,   0,    ,   0,   0,       NORA, D,  
SH, 16, 2018032318,   , BEST,   0, 119S, 1395E, 100,  956, TY,  64, NEQ,   37,   37,   27,   27, 1003,  205,   5,   0,  10,   P,   0,    ,   0,   0,       NORA, D,  
SH, 16, 2018032400,   , BEST,   0, 126S, 1402E, 100,  958, TY,  34, NEQ,  130,  130,  100,  100, 1005,  205,   5,   0,  10,   P,   0,    ,   0,   0,       NORA, D,  
SH, 16, 2018032400,   , BEST,   0, 126S, 1402E, 100,  958, TY,  50, NEQ,   70,   70,   51,   51, 1005,  205,   5,   0,  10,   P,   0,    ,   0,   0,       NORA, D,  
SH, 16, 2018032400,   , BEST,   0, 126S, 1402E, 100,  958, TY,  64, NEQ,   37,   37,   27,   27, 1005,  205,   5,   0,  10,   P,   0,    ,   0,   0,       NORA, D,  
SH, 16, 2018032406,   , BEST,   0, 135S, 1410E,  90,  964, TY,  34, NEQ,  130,  130,  100,  100, 1005,  205,   5,   0,  10,   P,   0,    ,   0,   0,       NORA, D,  
SH, 16, 2018032406,   , BEST,   0, 135S, 1410E,  90,  964, TY,  50, NEQ,   69,   69,   50,   50, 1005,  205,   5,   0,  10,   P,   0,    ,   0,   0,       NORA, D,  
SH, 16, 2018032406,   , BEST,   0, 135S, 1410E,  90,  964, TY,  64, NEQ,   37,   37,   26,   26, 1005,  205,   5,   0,  10,   P,   0,    ,   0,   0,       NORA, D,  
SH, 16, 2018032412,   , BEST,   0, 144S, 1414E,  80,  972, TY,  34, NEQ,  130,  130,  100,  100, 1005,  205,   5,   0,   0,   P,   0,    ,   0,   0,       NORA, D,  
SH, 16, 2018032412,   , BEST,   0, 144S, 1414E,  80,  972, TY,  50, NEQ,   69,   69,   50,   50, 1005,  205,   5,   0,   0,   P,   0,    ,   0,   0,       NORA, D,  
