SH, 22, 2010032706,   , BEST,   0, 119S, 1365E,  25, 1004, TD,   0,    ,    0,    0,    0,    0, 
SH, 22, 2010032712,   , BEST,   0, 124S, 1366E,  30, 1000, DB,   0,    ,    0,    0,    0,    0, 1008,  150,  60,   0,   0,   P,   0,    ,   0,   0,     INVEST, S, 
SH, 22, 2010032718,   , BEST,   0, 128S, 1366E,  35,  996, TS,   0,    ,    0,    0,    0,    0, 1006,  150,  50,   0,   0,   P,   0,    ,   0,   0,  TWENTYTWO, M, 
SH, 22, 2010032800,   , BEST,   0, 129S, 1366E,  35,  996, TS,   0,    ,    0,    0,    0,    0, 1006,  150,  40,   0,   0,   P,   0,    ,   0,   0,  TWENTYTWO, M, 
SH, 22, 2010032806,   , BEST,   0, 130S, 1366E,  40,  993, TS,  34, NEQ,   30,   40,   35,   30, 1006,  150,  40,   0,   0,   P,   0,    ,   0,   0,       PAUL, M, 
SH, 22, 2010032812,   , BEST,   0, 131S, 1366E,  45,  989, TS,  34, NEQ,   35,   35,   30,   25, 1006,  150,  35,   0,   0,   P,   0,    ,   0,   0,       PAUL, M, 
SH, 22, 2010032818,   , BEST,   0, 132S, 1366E,  60,  978, TS,  34, NEQ,   35,   35,   30,   25, 1006,  150,  35,   0,   0,   P,   0,    ,   0,   0,       PAUL, M, 
SH, 22, 2010032900,   , BEST,   0, 133S, 1365E,  60,  978, TS,  34, NEQ,   40,   40,   40,   35, 1004,  140,  15,   0,   0,   P,   0,    ,   0,   0,       PAUL, M, 
SH, 22, 2010032900,   , BEST,   0, 133S, 1365E,  60,  978, TS,  50, NEQ,   15,   15,   15,   15, 1004,  140,  15,   0,   0,   P,   0,    ,   0,   0,       PAUL, M, 
SH, 22, 2010032906,   , BEST,   0, 133S, 1363E,  65,  974, HU,  34, NEQ,   30,   30,   25,   25, 1004,  150,  15,   0,   0,   P,   0,    ,   0,   0,       PAUL, M, 
SH, 22, 2010032906,   , BEST,   0, 133S, 1363E,  65,  974, HU,  50, NEQ,   15,   15,   15,   15, 1004,  150,  15,   0,   0,   P,   0,    ,   0,   0,       PAUL, M, 
SH, 22, 2010032912,   , BEST,   0, 134S, 1360E,  70,  970, HU,  34, NEQ,   30,   30,   25,   25, 1004,  160,  15,   0,   0,   P,   0,    ,   0,   0,       PAUL, M, 
SH, 22, 2010032912,   , BEST,   0, 134S, 1360E,  70,  970, HU,  50, NEQ,   15,   15,   15,   15, 1004,  160,  15,   0,   0,   P,   0,    ,   0,   0,       PAUL, M, 
SH, 22, 2010032918,   , BEST,   0, 133S, 1356E,  60,  978, TS,  34, NEQ,   30,   30,   25,   25, 1004,  170,  15,   0,  15,   P,   0,    ,   0,   0,       PAUL, D, 
SH, 22, 2010032918,   , BEST,   0, 133S, 1356E,  60,  978, TS,  50, NEQ,   15,   15,   15,   15, 1004,  170,  15,   0,  15,   P,   0,    ,   0,   0,       PAUL, D, 
SH, 22, 2010033000,   , BEST,   0, 133S, 1353E,  50,  985, TS,  34, NEQ,   55,   60,   45,   40, 1004,  170,  15,   0,   0,   P,   0,    ,   0,   0,       PAUL, D, 
SH, 22, 2010033000,   , BEST,   0, 133S, 1353E,  50,  985, TS,  50, NEQ,   35,   40,   25,   15, 1004,  170,  15,   0,   0,   P,   0,    ,   0,   0,       PAUL, D, 
SH, 22, 2010033006,   , BEST,   0, 134S, 1349E,  40,  993, TS,  34, NEQ,   55,   60,   45,   40, 1003,  160,  20,   0,   0,   P,   0,    ,   0,   0,       PAUL, M, 
SH, 22, 2010033012,   , BEST,   0, 133S, 1345E,  35,  996, TS,   0,    ,    0,    0,    0,    0, 1005,  160,  20,   0,   0,   P,   0,    ,   0,   0,       PAUL, M, 
SH, 22, 2010033018,   , BEST,   0, 132S, 1347E,  30, 1000, TD,   0,    ,    0,    0,    0,    0, 1005,  160,  15,   0,   0,   P,   0,    ,   0,   0,       PAUL, M, 
SH, 22, 2010033100,   , BEST,   0, 138S, 1349E,  25, 1004, TD,   0,    ,    0,    0,    0,    0, 1005,  160,  15,   0,   0,   P,   0,    ,   0,   0,       PAUL, M, 
