SH, 22, 2015040506,   , BEST,   0, 155S,  656E,  25, 1004, TD,   0,    ,    0,    0,    0,    0, 1006,  175,  45,   0,   0, 
SH, 22, 2015040512,   , BEST,   0, 152S,  646E,  30, 1000, TD,   0,    ,    0,    0,    0,    0, 1005,  185,  45,   0,   0, 
SH, 22, 2015040518,   , BEST,   0, 149S,  639E,  35,  996, TS,   0,    ,    0,    0,    0,    0, 1005,  185,  45,   0,   0,   S,   0,    ,   0,   0,     INVEST, S, 
SH, 22, 2015040600,   , BEST,   0, 147S,  632E,  35,  996, TS,  34, NEQ,   50,   25,   25,   50, 1005,  185,  40,  45,   0,   S,   0,    ,   0,   0,  TWENTYTWO, S,  0,    ,    0,    0,    0,    0, TRANSITIONED, shG12015 to sh222015, 
SH, 22, 2015040606,   , BEST,   0, 145S,  626E,  40,  993, TS,  34, NEQ,   50,   40,   40,   45, 1006,  180,  45,   0,   0,   S,   0,    ,   0,   0,  TWENTYTWO, S, 
SH, 22, 2015040612,   , BEST,   0, 143S,  622E,  45,  989, TS,  34, NEQ,   50,   50,   45,   45, 1006,  190,  45,   0,   0,   S,   0,    ,   0,   0,  TWENTYTWO, M, 
SH, 22, 2015040618,   , BEST,   0, 139S,  621E,  40,  993, TS,  34, NEQ,   50,   55,   45,   40, 1006,  190,  45,   0,   0,   S,   0,    ,   0,   0,  TWENTYTWO, M, 
SH, 22, 2015040700,   , BEST,   0, 136S,  623E,  45,  989, TS,  34, NEQ,   60,   70,   70,   55, 1006,  190,  35,   0,   0,   S,   0,    ,   0,   0,    JOALANE, M, 
SH, 22, 2015040703,   , BEST,   0, 137S,  628E,  50,  985, TS,  34, NEQ,   60,   70,   70,   55, 1006,  190,  35,   0,   0,    ,   0,    ,   0,   0,    JOALANE,  , 
SH, 22, 2015040706,   , BEST,   0, 140S,  627E,  65,  974, HU,  34, NEQ,   60,   70,   70,   55, 1006,  190,  15,   0,   0,   S,   0,    ,   0,   0,    JOALANE, M, 
SH, 22, 2015040706,   , BEST,   0, 140S,  627E,  65,  974, HU,  50, NEQ,   15,   15,   15,   15, 1006,  190,  15,   0,   0,   S,   0,    ,   0,   0,    JOALANE, M, 
SH, 22, 2015040712,   , BEST,   0, 143S,  628E,  75,  967, HU,  34, NEQ,   90,  105,  100,   90, 1004,  200,  10,   0,  35,   S,   0,    ,   0,   0,    JOALANE, D, 
SH, 22, 2015040712,   , BEST,   0, 143S,  628E,  75,  967, HU,  50, NEQ,   40,   40,   40,   40, 1004,  200,  10,   0,  35,   S,   0,    ,   0,   0,    JOALANE, D, 
SH, 22, 2015040712,   , BEST,   0, 143S,  628E,  75,  967, HU,  64, NEQ,   10,   10,   10,   10, 1004,  200,  10,   0,  35,   S,   0,    ,   0,   0,    JOALANE, D, 
