SH, 22, 2022032218,   , BEST,   0, 129S,  776E,  25, 1004, TD,   0,    ,    0,    0,    0,    0, 1010,  225,  25,   0,   0,   S,   0,    ,   0,   0,     INVEST, S, 
SH, 22, 2022032300,   , BEST,   0, 125S,  772E,  30, 1002, TD,   0,    ,    0,    0,    0,    0, 1007,  235,  25,   0,   0,   S,   0,    ,   0,   0,     INVEST, S, 
SH, 22, 2022032306,   , BEST,   0, 124S,  768E,  35, 1001, TS,  34, NEQ,    0,   90,   90,    0, 1007,  240,  25,   0,   0,   S,   0,    ,   0,   0,     INVEST, S, 
SH, 22, 2022032312,   , BEST,   0, 126S,  764E,  40,  998, TS,  34, NEQ,   10,   75,   75,   25, 1006,  255,  25,   0,   0,   S,   0,    ,   0,   0,     HALIMA, S,  0,    ,    0,    0,    0,    0, TRANSITIONED, shE42022 to sh222022, 
SH, 22, 2022032318,   , BEST,   0, 127S,  759E,  45,  997, TS,  34, NEQ,   25,   60,   60,   50, 1007,  255,  30,   0,   0,   S,   0,    ,   0,   0,     HALIMA, M, 
SH, 22, 2022032400,   , BEST,   0, 128S,  755E,  55,  990, TS,  34, NEQ,   50,   65,   60,   50, 1005,  265,  25,   0,   0,   S,   0,    ,   0,   0,     HALIMA, D, 
SH, 22, 2022032400,   , BEST,   0, 128S,  755E,  55,  990, TS,  50, NEQ,   35,   40,   40,    0, 1005,  265,  25,   0,   0,   S,   0,    ,   0,   0,     HALIMA, D, 
SH, 22, 2022032406,   , BEST,   0, 130S,  749E,  70,  981, HU,  34, NEQ,   55,   70,   80,   50, 1006,  250,  10,   0,   0,   S,   0,    ,   0,   0,     HALIMA, D, 
SH, 22, 2022032406,   , BEST,   0, 130S,  749E,  70,  981, HU,  50, NEQ,   30,   35,   25,   25, 1006,  250,  10,   0,   0,   S,   0,    ,   0,   0,     HALIMA, D, 
SH, 22, 2022032406,   , BEST,   0, 130S,  749E,  70,  981, HU,  64, NEQ,   15,   15,   15,   15, 1006,  250,  10,   0,   0,   S,   0,    ,   0,   0,     HALIMA, D, 
SH, 22, 2022032412,   , BEST,   0, 131S,  745E,  85,  971, HU,  34, NEQ,   45,   70,   65,   45, 1006,  250,  10,   0,  10,   S,   0,    ,   0,   0,     HALIMA, D, 
SH, 22, 2022032412,   , BEST,   0, 131S,  745E,  85,  971, HU,  50, NEQ,   25,   45,   25,   25, 1006,  250,  10,   0,  10,   S,   0,    ,   0,   0,     HALIMA, D, 
SH, 22, 2022032412,   , BEST,   0, 131S,  745E,  85,  971, HU,  64, NEQ,   20,   20,   20,   20, 1006,  250,  10,   0,  10,   S,   0,    ,   0,   0,     HALIMA, D, 
SH, 22, 2022032418,   , BEST,   0, 133S,  741E,  90,  966, HU,  34, NEQ,   50,   60,   70,   60, 1006,  260,   5,   0,  10,   S,   0,    ,   0,   0,     HALIMA, D, 
SH, 22, 2022032418,   , BEST,   0, 133S,  741E,  90,  966, HU,  50, NEQ,   25,   45,   40,   20, 1006,  260,   5,   0,  10,   S,   0,    ,   0,   0,     HALIMA, D, 
SH, 22, 2022032418,   , BEST,   0, 133S,  741E,  90,  966, HU,  64, NEQ,   15,   20,   20,   15, 1006,  260,   5,   0,  10,   S,   0,    ,   0,   0,     HALIMA, D, 
SH, 22, 2022032500,   , BEST,   0, 134S,  737E,  95,  958, HU,  34, NEQ,   55,   60,   70,   75, 1006,  260,   5,   0,  10,   S,   0,    ,   0,   0,     HALIMA, D, 
SH, 22, 2022032500,   , BEST,   0, 134S,  737E,  95,  958, HU,  50, NEQ,   35,   45,   40,   35, 1006,  260,   5,   0,  10,   S,   0,    ,   0,   0,     HALIMA, D, 
SH, 22, 2022032500,   , BEST,   0, 134S,  737E,  95,  958, HU,  64, NEQ,   15,   20,   20,   15, 1006,  260,   5,   0,  10,   S,   0,    ,   0,   0,     HALIMA, D, 
SH, 22, 2022032506,   , BEST,   0, 137S,  736E, 110,  948, HU,  34, NEQ,   60,   70,   70,   75, 1006,  260,   5,   0,  10,   S,   0,    ,   0,   0,     HALIMA, D, 
SH, 22, 2022032506,   , BEST,   0, 137S,  736E, 110,  948, HU,  50, NEQ,   35,   45,   40,   35, 1006,  260,   5,   0,  10,   S,   0,    ,   0,   0,     HALIMA, D, 
SH, 22, 2022032506,   , BEST,   0, 137S,  736E, 110,  948, HU,  64, NEQ,   15,   20,   20,   15, 1006,  260,   5,   0,  10,   S,   0,    ,   0,   0,     HALIMA, D, 
SH, 22, 2022032512,   , BEST,   0, 142S,  734E, 125,  932, HU,  34, NEQ,   60,   80,   70,   75, 1004,  250,   5,   0,  10,   S,   0,    ,   0,   0,     HALIMA, D, 
SH, 22, 2022032512,   , BEST,   0, 142S,  734E, 125,  932, HU,  50, NEQ,   35,   40,   35,   40, 1004,  250,   5,   0,  10,   S,   0,    ,   0,   0,     HALIMA, D, 
SH, 22, 2022032512,   , BEST,   0, 142S,  734E, 125,  932, HU,  64, NEQ,   20,   20,   20,   25, 1004,  250,   5,   0,  10,   S,   0,    ,   0,   0,     HALIMA, D, 
SH, 22, 2022032515,   , BEST,   0, 144S,  734E, 125,  938, HU,  34, NEQ,   60,   80,   70,   75, 1004,  250,   5,   0,   0,   S,   0,    ,   0,   0,     HALIMA,  , 
SH, 22, 2022032515,   , BEST,   0, 144S,  734E, 125,  938, HU,  50, NEQ,   35,   40,   35,   40, 1004,  250,   5,   0,   0,   S,   0,    ,   0,   0,     HALIMA,  , 
SH, 22, 2022032515,   , BEST,   0, 144S,  734E, 125,  938, HU,  64, NEQ,   20,   20,   20,   25, 1004,  250,   5,   0,   0,   S,   0,    ,   0,   0,     HALIMA,  , 
SH, 22, 2022032518,   , BEST,   0, 147S,  734E, 110,  960, HU,  34, NEQ,   70,   90,   90,   90, 1009,  410,   5,   0,  10,   S,   0,    ,   0,   0,     HALIMA, D, 
SH, 22, 2022032518,   , BEST,   0, 147S,  734E, 110,  960, HU,  50, NEQ,   50,   60,   50,   45, 1009,  410,   5,   0,  10,   S,   0,    ,   0,   0,     HALIMA, D, 
SH, 22, 2022032518,   , BEST,   0, 147S,  734E, 110,  960, HU,  64, NEQ,   25,   30,   25,   25, 1009,  410,   5,   0,  10,   S,   0,    ,   0,   0,     HALIMA, D, 
SH, 22, 2022032600,   , BEST,   0, 155S,  735E,  90,  970, HU,  34, NEQ,   90,   90,   90,   75, 1006,  305,   5,   0,  10,   S,   0,    ,   0,   0,     HALIMA, D, 
SH, 22, 2022032600,   , BEST,   0, 155S,  735E,  90,  970, HU,  50, NEQ,   60,   70,   60,   45, 1006,  305,   5,   0,  10,   S,   0,    ,   0,   0,     HALIMA, D, 
SH, 22, 2022032600,   , BEST,   0, 155S,  735E,  90,  970, HU,  64, NEQ,   30,   35,   30,   20, 1006,  305,   5,   0,  10,   S,   0,    ,   0,   0,     HALIMA, D, 
SH, 22, 2022032606,   , BEST,   0, 163S,  738E,  75,  982, HU,  34, NEQ,   90,   90,   90,   60, 1006,  240,   5,   0,  10,   S,   0,    ,   0,   0,     HALIMA, D, 
SH, 22, 2022032606,   , BEST,   0, 163S,  738E,  75,  982, HU,  50, NEQ,   55,   20,   30,   25, 1006,  240,   5,   0,  10,   S,   0,    ,   0,   0,     HALIMA, D, 
SH, 22, 2022032606,   , BEST,   0, 163S,  738E,  75,  982, HU,  64, NEQ,   30,   15,   20,   20, 1006,  240,   5,   0,  10,   S,   0,    ,   0,   0,     HALIMA, D, 
SH, 22, 2022032612,   , BEST,   0, 173S,  744E,  65,  988, HU,  34, NEQ,   85,   90,   90,   55, 1005,  190,   5,   0,  10,   S,   0,    ,   0,   0,     HALIMA, D, 
SH, 22, 2022032612,   , BEST,   0, 173S,  744E,  65,  988, HU,  50, NEQ,   55,   20,   30,   20, 1005,  190,   5,   0,  10,   S,   0,    ,   0,   0,     HALIMA, D, 
SH, 22, 2022032618,   , BEST,   0, 186S,  751E,  60,  990, TS,  34, NEQ,   85,   90,   90,   55, 1007,  160,   5,   0,   0,   S,   0,    ,   0,   0,     HALIMA, M, 
SH, 22, 2022032618,   , BEST,   0, 186S,  751E,  60,  990, TS,  50, NEQ,   45,   40,   15,   25, 1007,  160,   5,   0,   0,   S,   0,    ,   0,   0,     HALIMA, M, 
