SH, 92, 2013011700,   , BEST,   0, 129S, 1388E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   P,   0,   X,  44,   4,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH922013, JTWC, MT2C_TCVITALS, 
SH, 92, 2013011706,   , BEST,   0, 126S, 1392E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   P,   0,   X,  54,   4,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH922013, JTWC, MT2C_TCVITALS, 
SH, 92, 2013011706,   , BEST,   0, 126S, 1392E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   P,   0,   X,  49,   8,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH922013, JTWC, MT2C_TCVITALS, 
SH, 92, 2013011712,   , BEST,   0, 128S, 1389E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   P,   0,   X,  44,   1,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH922013, JTWC, MT2C_TCVITALS, 
SH, 92, 2013011718,   , BEST,   0, 158S, 1377E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   P,   0,   X, 204,  17,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH922013, JTWC, MT2C_TCVITALS, 
SH, 92, 2013011718,   , BEST,   0, 158S, 1377E,  15, 1007, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   P,   0,   X, 204,  17,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH922013, JTWC, MT2C_TCVITALS, 
SH, 92, 2013011800,   , BEST,   0, 166S, 1386E,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   P,   0,   X, 184,  19,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH922013, JTWC, MT2C_TCVITALS, 
SH, 92, 2013011806,   , BEST,   0, 176S, 1383E,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   P,   0,   X, 162,  10,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH922013, JTWC, MT2C_TCVITALS, 
SH, 92, 2013011812,   , BEST,   0, 155S, 1385E,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   P,   0,   X, 355,   5,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH922013, JTWC, MT2C_TCVITALS, 
SH, 92, 2013011818,   , BEST,   0, 180S, 1380E,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   P,   0,   X, 216,   3,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH922013, JTWC, MT2C_TCVITALS, 
SH, 92, 2013011900,   , BEST,   0, 175S, 1354E,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   P,   0,   X, 236,  18,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH922013, JTWC, MT2C_TCVITALS, 
SH, 92, 2013011906,   , BEST,   0, 174S, 1351E,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   P,   0,   X, 282,  14,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH922013, JTWC, MT2C_TCVITALS, 
SH, 92, 2013011906,   , BEST,   0, 172S, 1348E,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   P,   0,   X, 285,  16,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH922013, JTWC, MT2C_TCVITALS, 
SH, 92, 2013011912,   , BEST,   0, 166S, 1341E,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   P,   0,   X, 306,   8,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH922013, JTWC, MT2C_TCVITALS, 
SH, 92, 2013011918,   , BEST,   0, 168S, 1337E,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   P,   0,   X, 289,   6,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH922013, JTWC, MT2C_TCVITALS, 
SH, 92, 2013012000,   , BEST,   0, 163S, 1331E,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   P,   0,   X, 287,   5,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH922013, JTWC, MT2C_TCVITALS, 
SH, 92, 2013012006,   , BEST,   0, 165S, 1364E,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   P,   0,   X,  83,  13,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH922013, JTWC, MT2C_TCVITALS, 
SH, 92, 2013012012,   , BEST,   0, 166S, 1369E,  20, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1008,  180,  20,   0,   0,   P,   0,   X,  95,  18,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH922013, JTWC, MT2C_TCVITALS, 
SH, 92, 2013012018,   , BEST,   0, 157S, 1388E,  25, 1004, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   P,   0,   X,  71,  12,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH922013, JTWC, MT2C_TCVITALS, 
SH, 92, 2013012100,   , BEST,   0, 158S, 1399E,  25, 1004, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   P,   0,   X,  74,  15,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH922013, JTWC, MT2C_TCVITALS, 
SH, 92, 2013012100,   , BEST,   0, 158S, 1399E,  25, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1007,  180,  30,   0,   0,   P,   0,   X,  74,  15,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH922013, JTWC, MT2C_TCVITALS, 
SH, 92, 2013012106,   , BEST,   0, 160S, 1410E,  35,  996, XX,  34, NEQ,    0,    0,    0,    0, 1007,  180,  30,   0,   0,   P,   0,   X,  80,  13,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH922013, JTWC, MT2C_TCVITALS, 
SH, 92, 2013020712,   , BEST,   0, 080S, 0925E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   S,   0,   X, 270,   5,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH922013, JTWC, MT2C_TCVITALS, 
SH, 92, 2013020718,   , BEST,   0, 080S, 0920E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   S,   0,   X, 270,   5,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH922013, JTWC, MT2C_TCVITALS, 
SH, 92, 2013020800,   , BEST,   0, 080S, 0914E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   S,   0,   X, 270,   5,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH922013, JTWC, MT2C_TCVITALS, 
SH, 92, 2013020800,   , BEST,   0, 080S, 0914E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   S,   0,   X, 239,  18,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH922013, JTWC, MT2C_TCVITALS, 
SH, 92, 2013020800,   , BEST,   0, 080S, 0914E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   S,   0,   X, 206,   1,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH922013, JTWC, MT2C_TCVITALS, 
