SH, 93, 2013011918,   , BEST,   0, 163S, 1223E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   S,   0,   X, 270,   2,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH932013, JTWC, MT2C_TCVITALS, 
SH, 93, 2013012000,   , BEST,   0, 163S, 1221E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   S,   0,   X, 270,   2,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH932013, JTWC, MT2C_TCVITALS, 
SH, 93, 2013012000,   , BEST,   0, 163S, 1221E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   S,   0,   X, 270,   1,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH932013, JTWC, MT2C_TCVITALS, 
SH, 93, 2013012006,   , BEST,   0, 163S, 1220E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   S,   0,   X, 289,   2,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH932013, JTWC, MT2C_TCVITALS, 
SH, 93, 2013012006,   , BEST,   0, 163S, 1220E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   S,   0,   X, 270,   1,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH932013, JTWC, MT2C_TCVITALS, 
SH, 93, 2013012012,   , BEST,   0, 164S, 1220E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   S,   0,   X, 224,   1,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH932013, JTWC, MT2C_TCVITALS, 
SH, 93, 2013012018,   , BEST,   0, 170S, 1221E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   S,   0,   X, 172,   3,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH932013, JTWC, MT2C_TCVITALS, 
SH, 93, 2013012100,   , BEST,   0, 180S, 1225E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   S,   0,   X, 163,   8,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH932013, JTWC, MT2C_TCVITALS, 
SH, 93, 2013012106,   , BEST,   0, 189S, 1220E,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, 1009,  180,  20,   0,   0,   S,   0,   X, 185,   7,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH932013, JTWC, MT2C_TCVITALS, 
SH, 93, 2013012112,   , BEST,   0, 193S, 1217E,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, 1008,  180,  30,   0,   0,   S,   0,   X, 195,   7,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH932013, JTWC, MT2C_TCVITALS, 
SH, 93, 2013012118,   , BEST,   0, 192S, 1207E,  25, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1008,  180,  30,   0,   0,   S,   0,   X, 230,   7,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH932013, JTWC, MT2C_TCVITALS, 
SH, 93, 2013012118,   , BEST,   0, 189S, 1208E,  25, 1004, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   S,   0,   X, 270,   6,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH932013, JTWC, MT2C_TCVITALS, 
SH, 93, 2013012200,   , BEST,   0, 194S, 1200E,  30, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1008,  180,  30,   0,   0,   S,   0,   X, 240,   7,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH932013, JTWC, MT2C_TCVITALS, 
