SH, 96, 2012123106,   , BEST,   0, 109S, 0585E,  30, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1005,  200,  45,   0,   0,   S,   0,   X, 250,   6,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH962013, JTWC, MT2C_TCVITALS, 
SH, 96, 2012123112,   , BEST,   0, 113S, 0577E,  30, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1003,  210,  50,   0,   0,   S,   0,   X, 245,   7,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH962013, JTWC, MT2C_TCVITALS, 
SH, 96, 2013012306,   , BEST,   0, 102S, 0706E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   S,   0,   X, 264,   5,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH962013, JTWC, MT2C_TCVITALS, 
SH, 96, 2013012306,   , BEST,   0, 102S, 0706E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   S,   0,   X, 252,   8,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH962013, JTWC, MT2C_TCVITALS, 
SH, 96, 2013012312,   , BEST,   0, 100S, 0706E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   S,   0,   X, 259,   5,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH962013, JTWC, MT2C_TCVITALS, 
SH, 96, 2013012312,   , BEST,   0, 100S, 0706E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   S,   0,   X,  93,   9,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH962013, JTWC, MT2C_TCVITALS, 
SH, 96, 2013012318,   , BEST,   0, 105S, 0673E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   S,   0,   X, 265,  16,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH962013, JTWC, MT2C_TCVITALS, 
SH, 96, 2013012400,   , BEST,   0, 110S, 0668E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   S,   0,   X, 255,  19,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH962013, JTWC, MT2C_TCVITALS, 
SH, 96, 2013012406,   , BEST,   0, 112S, 0672E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   S,   0,   X, 188,   3,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH962013, JTWC, MT2C_TCVITALS, 
SH, 96, 2013012412,   , BEST,   0, 136S, 0669E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   S,   0,   X, 178,  13,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH962013, JTWC, MT2C_TCVITALS, 
SH, 96, 2013012418,   , BEST,   0, 134S, 0661E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   S,   0,   X, 206,  12,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH962013, JTWC, MT2C_TCVITALS, 
SH, 96, 2013012500,   , BEST,   0, 126S, 0653E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   S,   0,   X, 303,   9,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH962013, JTWC, MT2C_TCVITALS, 
