SH, 96, 2020012418,   , BEST,   0, 155S, 1694W,  30, 1001, XX,  34, NEQ,    0,    0,    0,    0, 1006,  175,  35,   0,   0,   P,   0,   X, 170,   4,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH962020, JTWC, NCEP_TCVITALS, 
SH, 96, 2020012500,   , BEST,   0, 168S, 1691W,  30, 1002, XX,  34, NEQ,    0,    0,    0,    0, 1006,  175,  35,   0,   0,   P,   0,   X, 170,   7,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH962020, JTWC, NCEP_TCVITALS, 
SH, 96, 2020012506,   , BEST,   0, 186S, 1693W,  30, 1002, XX,  34, NEQ,    0,    0,    0,    0, 1006,  175,  35,   0,   0,   P,   0,   X, 180,  11,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH962020, JTWC, NCEP_TCVITALS, 
SH, 96, 2020021712,   , BEST,   0, 107S, 1773W,  25,  998, XX,  34, NEQ,    0,    0,    0,    0, 1000,  150,  30,   0,   0,   P,   0,   X, 100,   8,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH962020, JTWC, NCEP_TCVITALS, 
SH, 96, 2020021718,   , BEST,   0, 110S, 1765W,  25,  999, XX,  34, NEQ,    0,    0,    0,    0, 1001,  150,  30,   0,   0,   P,   0,   X, 105,   8,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH962020, JTWC, NCEP_TCVITALS, 
SH, 96, 2020021800,   , BEST,   0, 113S, 1757W,  25,  998, XX,  34, NEQ,    0,    0,    0,    0, 1000,  140,  30,   0,   0,   P,   0,   X, 110,   8,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH962020, JTWC, NCEP_TCVITALS, 
SH, 96, 2020021806,   , BEST,   0, 116S, 1792W,  25,  998, XX,  34, NEQ,    0,    0,    0,    0, 1000,  140,  30,   0,   0,   P,   0,   X, 115,  12,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH962020, JTWC, NCEP_TCVITALS, 
SH, 96, 2020021812,   , BEST,   0, 121S, 1781W,  25,  998, XX,  34, NEQ,    0,    0,    0,    0, 1000,  140,  30,   0,   0,   P,   0,   X, 115,  12,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH962020, JTWC, NCEP_TCVITALS, 
SH, 96, 2020021818,   , BEST,   0, 126S, 1765W,  25, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1002,  150,  30,   0,   0,   P,   0,   X, 110,  13,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH962020, JTWC, NCEP_TCVITALS, 
SH, 96, 2020021900,   , BEST,   0, 129S, 1750W,  25, 1002, XX,  34, NEQ,    0,    0,    0,    0, 1003,  200,  30,   0,   0,   P,   0,   X, 110,  14,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH962020, JTWC, NCEP_TCVITALS, 
SH, 96, 2020021906,   , BEST,   0, 136S, 1731W,  25, 1001, XX,  34, NEQ,    0,    0,    0,    0, 1003,  200,  30,   0,   0,   P,   0,   X, 110,  17,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH962020, JTWC, NCEP_TCVITALS, 
SH, 96, 2020021912,   , BEST,   0, 144S, 1715W,  25, 1001, XX,  34, NEQ,    0,    0,    0,    0, 1003,  200,  30,   0,   0,   P,   0,   X, 110,  17,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH962020, JTWC, NCEP_TCVITALS, 
SH, 96, 2020021918,   , BEST,   0, 153S, 1694W,  25, 1001, XX,  34, NEQ,    0,    0,    0,    0, 1003,  200,  30,   0,   0,   P,   0,   X, 115,  20,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH962020, JTWC, NCEP_TCVITALS, 
SH, 96, 2020022000,   , BEST,   0, 167S, 1683W,  25, 1001, XX,  34, NEQ,    0,    0,    0,    0, 1003,  200,  30,   0,   0,   P,   0,   X, 125,  19,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH962020, JTWC, NCEP_TCVITALS, 
SH, 96, 2020022006,   , BEST,   0, 171S, 1686W,  25, 1001, XX,  34, NEQ,    0,    0,    0,    0, 1003,  200,  30,   0,   0,   P,   0,   X, 135,  13,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH962020, JTWC, NCEP_TCVITALS, 
SH, 96, 2020022012,   , BEST,   0, 176S, 1689W,  25, 1001, XX,  34, NEQ,    0,    0,    0,    0, 1003,  200,  30,   0,   0,   P,   0,   X, 155,  10,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH962020, JTWC, NCEP_TCVITALS, 
SH, 96, 2020022018,   , BEST,   0, 186S, 1694W,  25, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1006,  200,  30,   0,   0,   P,   0,   X, 180,   9,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH962020, JTWC, NCEP_TCVITALS, 
SH, 96, 2020031106,   , BEST,   0, 127S, 1435E,  25, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1006,  120,  45,   0,   0,   P,   0,   X,  95,   7,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH962020, JTWC, NCEP_TCVITALS, 
SH, 96, 2020031112,   , BEST,   0, 140S, 1436E,  25, 1005, XX,  34, NEQ,    0,    0,    0,    0, 1007,  120,  45,   0,   0,   P,   0,   X, 130,   7,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH962020, JTWC, NCEP_TCVITALS, 
SH, 96, 2020031118,   , BEST,   0, 143S, 1446E,  25, 1002, XX,  34, NEQ,    0,    0,    0,    0, 1004,  100,  45,   0,   0,   P,   0,   X, 125,   8,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH962020, JTWC, NCEP_TCVITALS, 
SH, 96, 2020031200,   , BEST,   0, 156S, 1481E,  30, 1001, XX,  34, NEQ,    0,    0,    0,    0, 1004,  120,  45,   0,   0,   P,   0,   X, 115,  19,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH962020, JTWC, NCEP_TCVITALS, 
SH, 96, 2020031206,   , BEST,   0, 147S, 1476E,  30, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1004,  170,  55,   0,   0,   P,   0,   X, 110,  11,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH962020, JTWC, NCEP_TCVITALS, 
SH, 96, 2020031212,   , BEST,   0, 152S, 1484E,  30, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1004,  170,  55,   0,   0,   P,   0,   X, 120,  10,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH962020, JTWC, NCEP_TCVITALS, 
SH, 96, 2020031218,   , BEST,   0, 154S, 1491E,  30, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1004,  225,  55,   0,   0,   P,   0,   X, 120,   9,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH962020, JTWC, NCEP_TCVITALS, 
SH, 96, 2020031300,   , BEST,   0, 161S, 1497E,  30,  999, XX,  34, NEQ,    0,    0,    0,    0, 1004,  250,  65,   0,   0,   P,   0,   X, 130,   7,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH962020, JTWC, NCEP_TCVITALS, 
SH, 96, 2020031306,   , BEST,   0, 148S, 1494E,  30,  999, XX,  34, NEQ,    0,    0,    0,    0, 1004,  250,  65,   0,   0,   P,   0,   X, 105,   4,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH962020, JTWC, NCEP_TCVITALS, 
SH, 96, 2020031312,   , BEST,   0, 167S, 1530E,  30,  995, XX,  34, NEQ,    0,    0,    0,    0, 1003,  250,  90,   0,   0,   P,   0,   X, 115,  16,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH962020, JTWC, NCEP_TCVITALS, 
