SH, 99, 2014012418,   , BEST,   0, 149S, 1613E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, 1011,  150,    ,   0,   0,   P,   0,   X, 235,   5,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH992014, JTWC, NCEP_TCVITALS, 
SH, 99, 2014012700,   , BEST,   0, 126S, 1545E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, 1011,  150,    ,   0,   0,   P,   0,   X, 225,   7,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH992014, JTWC, NCEP_TCVITALS, 
SH, 99, 2014012706,   , BEST,   0, 146S, 1543E,  20,  998, XX,  34, NEQ,    0,    0,    0,    0, 1000,  200,  40,   0,   0,   P,   0,   X, 195,  11,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH992014, JTWC, NCEP_TCVITALS, 
SH, 99, 2014012712,   , BEST,   0, 143S, 1541E,  20,  997, XX,  34, NEQ,    0,    0,    0,    0, 1001,  190,  40,   0,   0,   P,   0,   X, 195,   9,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH992014, JTWC, NCEP_TCVITALS, 
SH, 99, 2014012718,   , BEST,   0, 154S, 1540E,  20,  997, XX,  34, NEQ,    0,    0,    0,    0, 1001,  190,  40,   0,   0,   P,   0,   X, 190,   9,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH992014, JTWC, NCEP_TCVITALS, 
SH, 99, 2014012800,   , BEST,   0, 166S, 1540E,  20,  997, XX,  34, NEQ,    0,    0,    0,    0, 1001,  190,  40,   0,   0,   P,   0,   X, 185,  10,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH992014, JTWC, NCEP_TCVITALS, 
SH, 99, 2014012806,   , BEST,   0, 155S, 1529E,  25, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1005,  190,  40,   0,   0,   P,   0,   X, 225,   6,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH992014, JTWC, NCEP_TCVITALS, 
SH, 99, 2014012812,   , BEST,   0, 152S, 1517E,  30,  997, XX,  34, NEQ,    0,    0,    0,    0, 1000,  210,  40,   0,   0,   P,   0,   X, 255,   6,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH992014, JTWC, NCEP_TCVITALS, 
SH, 99, 2014012818,   , BEST,   0, 152S, 1514E,  30,  996, XX,  34, NEQ,    0,    0,    0,    0, 1000,  210,  40,   0,   0,   P,   0,   X, 260,   5,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH992014, JTWC, NCEP_TCVITALS, 
SH, 99, 2014030906,   , BEST,   0, 154S, 1677E,  25, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1005,  190,  40,   0,   0,   P,   0,   X, 285,  10,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH992014, JTWC, NCEP_TCVITALS, 
SH, 99, 2014030912,   , BEST,   0, 149S, 1663E,  30, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1006,  200,  45,   0,   0,   P,   0,   X, 280,  13,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH992014, JTWC, NCEP_TCVITALS, 
