WP, 07, 2016080412,   , BEST,   0, 188N, 1457E,  35,  996, MD,  34, NEQ,  160,  140,    0,    0, 1005,  360,  90,   0,   0,   W,   0,    ,   0,   0,      OMAIS, S,  0,    ,    0,    0,    0,    0, TRANSITIONED, wpB82016,  to wp072016,                                                                                                                                                                                       
WP, 07, 2016080418,   , BEST,   0, 195N, 1462E,  35,  996, MD,  34, NEQ,  190,  220,  190,  120, 1005,  360,  90,   0,   0,   W,   0,    ,   0,   0,      OMAIS, S,  
WP, 07, 2016080500,   , BEST,   0, 203N, 1465E,  40,  993, MD,  34, NEQ,  200,  230,  200,  130, 1005,  350,  90,   0,   0,   W,   0,    ,   0,   0,      OMAIS, S,  
WP, 07, 2016080506,   , BEST,   0, 210N, 1468E,  45,  989, MD,  34, NEQ,  230,  250,  230,  150, 1004,  350,  90,   0,   0,   W,   0,    ,   0,   0,      OMAIS, M,  
WP, 07, 2016080512,   , BEST,   0, 221N, 1472E,  50,  985, MD,  34, NEQ,  250,  280,  240,  170, 1004,  350,  90,   0,   0,   W,   0,    ,   0,   0,      OMAIS, M,  
WP, 07, 2016080512,   , BEST,   0, 221N, 1472E,  50,  985, MD,  50, NEQ,  143,  162,  137,   92, 1004,  350,  90,   0,   0,   W,   0,    ,   0,   0,      OMAIS, M,  
WP, 07, 2016080518,   , BEST,   0, 231N, 1474E,  55,  982, TS,  34, NEQ,  260,  280,  240,  190, 1004,  350,  95,   0,   0,   W,   0,    ,   0,   0,      OMAIS, M,  
WP, 07, 2016080518,   , BEST,   0, 231N, 1474E,  55,  982, TS,  50, NEQ,  149,  162,  137,  105, 1004,  350,  95,   0,   0,   W,   0,    ,   0,   0,      OMAIS, M,  
WP, 07, 2016080600,   , BEST,   0, 242N, 1477E,  60,  978, TS,  34, NEQ,  280,  280,  240,  210, 1001,  340,  80,   0,   0,   W,   0,    ,   0,   0,      OMAIS, M,  
WP, 07, 2016080600,   , BEST,   0, 242N, 1477E,  60,  978, TS,  50, NEQ,  162,  162,  137,  118, 1001,  340,  80,   0,   0,   W,   0,    ,   0,   0,      OMAIS, M,  
WP, 07, 2016080606,   , BEST,   0, 253N, 1477E,  65,  974, HU,  34, NEQ,  280,  280,  240,  240, 1002,  340,  80,   0,   0,   W,   0,    ,   0,   0,      OMAIS, D,  
WP, 07, 2016080606,   , BEST,   0, 253N, 1477E,  65,  974, HU,  50, NEQ,  163,  163,  137,  137, 1002,  340,  80,   0,   0,   W,   0,    ,   0,   0,      OMAIS, D,  
