WP, 20, 2016092212,   , BEST,   0, 137N, 1408E,  20, 1005, DB,   0,    ,    0,    0,    0,    0, 1010,  200,  45,   0,   0,   W,   0,    ,   0,   0,     INVEST, S,  
WP, 20, 2016092218,   , BEST,   0, 153N, 1405E,  25, 1004, TD,   0,    ,    0,    0,    0,    0, 1006,  210,  40,   0,   0,   W,   0,    ,   0,   0,     INVEST, S,  
WP, 20, 2016092300,   , BEST,   0, 166N, 1395E,  30, 1000, TD,   0,    ,    0,    0,    0,    0, 1006,  195,  40,   0,   0,   W,   0,    ,   0,   0,       MEGI, S,  0,    ,    0,    0,    0,    0, TRANSITIONED, wpF62016,  to wp202016, DISSIPATED, wp202016 to wp962016, TRANSITIONED, wpG62016 to wp202016,                                                                                                                 
WP, 20, 2016092306,   , BEST,   0, 171N, 1386E,  30, 1000, TD,   0,    ,    0,    0,    0,    0, 1006,  175,  40,  45,   0,   W,   0,    ,   0,   0,       MEGI, S,  
WP, 20, 2016092312,   , BEST,   0, 173N, 1379E,  35,  996, TS,  34, NEQ,  180,  180,  110,  160, 1006,  185,  40,   0,   0,   W,   0,    ,   0,   0,       MEGI, M,  
WP, 20, 2016092318,   , BEST,   0, 174N, 1372E,  40,  993, TS,  34, NEQ,  180,  180,  110,  160, 1005,  300,  50,   0,   0,   W,   0,    ,   0,   0,       MEGI, M,  
WP, 20, 2016092400,   , BEST,   0, 177N, 1364E,  50,  985, TS,  34, NEQ,  200,  200,  130,  180, 1006,  300,  40,   0,   0,   W,   0,    ,   0,   0,       MEGI, M,  
WP, 20, 2016092400,   , BEST,   0, 177N, 1364E,  50,  985, TS,  50, NEQ,  111,  111,   67,   99, 1006,  300,  40,   0,   0,   W,   0,    ,   0,   0,       MEGI, M,  
WP, 20, 2016092406,   , BEST,   0, 183N, 1353E,  60,  978, TS,  34, NEQ,  200,  200,  150,  180, 1003,  260,  40,   0,   0,   W,   0,    ,   0,   0,       MEGI, D,  
WP, 20, 2016092406,   , BEST,   0, 183N, 1353E,  60,  978, TS,  50, NEQ,  112,  112,   80,   99, 1003,  260,  40,   0,   0,   W,   0,    ,   0,   0,       MEGI, D,  
WP, 20, 2016092412,   , BEST,   0, 184N, 1340E,  65,  974, HU,  34, NEQ,  200,  200,  150,  200, 1003,  260,  25,   0,   0,   W,   0,    ,   0,   0,       MEGI, D,  
