WP, 20, 2021092218,   , BEST,   0, 118N, 1475E,  30, 1003, XX,  34, NEQ,    0,    0,    0,    0, 1008,  235,  40,   0,   0,   W,   0,   X, 290,  10,     TWENTY, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP202021, JTWC, NCEP_TCVITALS, 
WP, 20, 2021092300,   , BEST,   0, 123N, 1460E,  30, 1003, XX,  34, NEQ,    0,    0,    0,    0, 1010,  250,  40,   0,   0,   W,   0,   X, 290,  12,     TWENTY, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP202021, JTWC, NCEP_TCVITALS, 
WP, 20, 2021092306,   , BEST,   0, 130N, 1447E,  35, 1004, XX,  34, NEQ,   15,   40,   25,   45, 1010,  250,  40,   0,   0,   W,   0,   X, 295,  14,     TWENTY, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP202021, JTWC, NCEP_TCVITALS, 
WP, 20, 2021092312,   , BEST,   0, 138N, 1428E,  40,  999, XX,  34, NEQ,  155,    0,    0,    0, 1008,  200,  40,   0,   0,   W,   0,   X, 295,  17,     TWENTY, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP202021, JTWC, NCEP_TCVITALS, 
WP, 20, 2021092400,   , BEST,   0, 146N, 1409E,  50,  995, XX,  34, NEQ,  130,   70,   55,   30, 1006,  185,  30,   0,   0,   W,   0,   X, 295,  13,   MINDULLE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP202021, JTWC, NCEP_TCVITALS, 
WP, 20, 2021092406,   , BEST,   0, 154N, 1403E,  50,  994, XX,  34, NEQ,  130,   60,   30,   70, 1006,  185,  30,   0,   0,   W,   0,   X, 305,  10,   MINDULLE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP202021, JTWC, NCEP_TCVITALS, 
WP, 20, 2021092412,   , BEST,   0, 161N, 1392E,  55,  991, XX,  34, NEQ,  160,   95,   25,   85, 1006,  185,  25,   0,   0,   W,   0,   X, 310,  11,   MINDULLE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP202021, JTWC, NCEP_TCVITALS, 
WP, 20, 2021092418,   , BEST,   0, 167N, 1385E,  60,  986, XX,  34, NEQ,  120,   90,   55,  120, 1004,  220,  35,   0,   0,   W,   0,   X, 310,  10,   MINDULLE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP202021, JTWC, NCEP_TCVITALS, 
WP, 20, 2021092500,   , BEST,   0, 169N, 1382E,  70,  980, XX,  34, NEQ,  125,  105,   85,  105, 1005,  125,  25,   0,   0,   W,   0,   X, 305,   8,   MINDULLE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP202021, JTWC, NCEP_TCVITALS, 
WP, 20, 2021092506,   , BEST,   0, 176N, 1376E,  90,  965, XX,  34, NEQ,  140,   75,   65,  120, 1004,  150,  25,   0,   0,   W,   0,   X, 315,   7,   MINDULLE, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP202021, JTWC, NCEP_TCVITALS, 
WP, 20, 2021092512,   , BEST,   0, 181N, 1374E, 115,  944, XX,  34, NEQ,  140,  105,   80,  120, 1006,  160,  25,   0,   0,   W,   0,   X, 325,   6,   MINDULLE, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP202021, JTWC, NCEP_TCVITALS, 
