WP, 24, 2016101306,   , BEST,   0, 134N, 1300E,  25, 1004, TD,   0,    ,    0,    0,    0,    0, 1006,  215,  40,   0,   0,   W,   0,    ,   0,   0, TWENTYFOUR, M,  0,    ,    0,    0,    0,    0, TRANSITIONED, wpF32016,  to wp242016,                                                                                                                                                                                       
WP, 24, 2016101312,   , BEST,   0, 140N, 1292E,  30, 1000, TD,   0,    ,    0,    0,    0,    0, 1007,  230,  35,   0,   0,   W,   0,    ,   0,   0, TWENTYFOUR, M,  
WP, 24, 2016101318,   , BEST,   0, 142N, 1282E,  35,  996, TS,  34, NEQ,   70,   60,   80,   70, 1005,  220,  35,   0,   0,   W,   0,    ,   0,   0,     SARIKA, M,  
WP, 24, 2016101400,   , BEST,   0, 139N, 1272E,  40,  993, TS,  34, NEQ,   70,   70,   90,   70, 1006,  120,  25,   0,   0,   W,   0,    ,   0,   0,     SARIKA, M,  
WP, 24, 2016101406,   , BEST,   0, 138N, 1265E,  50,  985, TS,  34, NEQ,   80,   70,  100,   80, 1004,  160,  25,   0,   0,   W,   0,    ,   0,   0,     SARIKA, M,  
WP, 24, 2016101406,   , BEST,   0, 138N, 1265E,  50,  985, TS,  50, NEQ,   36,   29,   48,   36, 1004,  160,  25,   0,   0,   W,   0,    ,   0,   0,     SARIKA, M,  
WP, 24, 2016101409,   , BEST,   0, 137N, 1263E,  55,  982, TS,  34, NEQ,   80,   80,  100,   90, 1004,  160,  25,   0,   0,    ,   0,    ,   0,   0,     SARIKA,  ,  
WP, 24, 2016101409,   , BEST,   0, 137N, 1263E,  55,  982, TS,  50, NEQ,   36,   36,   49,   42, 1004,  160,  25,   0,   0,    ,   0,    ,   0,   0,     SARIKA,  ,  
WP, 24, 2016101412,   , BEST,   0, 138N, 1258E,  60,  978, TS,  34, NEQ,   90,   90,  100,   90, 1006,  200,  25,   0,   0,   W,   0,    ,   0,   0,     SARIKA, M,  
WP, 24, 2016101412,   , BEST,   0, 138N, 1258E,  60,  978, TS,  50, NEQ,   43,   43,   49,   43, 1006,  200,  25,   0,   0,   W,   0,    ,   0,   0,     SARIKA, M,  
WP, 24, 2016101418,   , BEST,   0, 140N, 1252E,  70,  970, HU,  34, NEQ,  110,  100,  100,  110, 1005,  190,  25,   0,   0,   W,   0,    ,   0,   0,     SARIKA, D,  
WP, 24, 2016101418,   , BEST,   0, 140N, 1252E,  70,  970, HU,  50, NEQ,   56,   49,   49,   56, 1005,  190,  25,   0,   0,   W,   0,    ,   0,   0,     SARIKA, D,  
WP, 24, 2016101418,   , BEST,   0, 140N, 1252E,  70,  970, HU,  64, NEQ,   29,   25,   25,   29, 1005,  190,  25,   0,   0,   W,   0,    ,   0,   0,     SARIKA, D,  
WP, 24, 2016101500,   , BEST,   0, 143N, 1246E,  80,  974, HU,  34, NEQ,  130,  110,  110,  130, 1006,  205,  25,   0,   0,   W,   0,    ,   0,   0,     SARIKA, D,  
