WP, 34, 2018112006,   , BEST,   0,  45N, 1549E,  20, 1004, DB,   0,    ,    0,    0,    0,    0, 1006,  150,  45,   0,   0,   W,   0,    ,   0,   0, THIRTYFOUR, S,  0,    ,    0,    0,    0,    0, TRANSITIONED, wpH22018 to wp342018,                                                                                                                                                                                       
WP, 34, 2018112012,   , BEST,   0,  47N, 1540E,  25, 1004, TD,   0,    ,    0,    0,    0,    0, 1007,  140,  45,   0,   0,   W,   0,    ,   0,   0, THIRTYFOUR, S,  
WP, 34, 2018112018,   , BEST,   0,  58N, 1527E,  35, 1003, TS,  34, NEQ,   60,   40,   50,   60, 1009,  300,  45,   0,   0,   W,   0,    ,   0,   0,     MAN-YI, S,  
WP, 34, 2018112100,   , BEST,   0,  68N, 1508E,  40, 1001, TS,  34, NEQ,   70,   50,   60,   60, 1009,  300,  45,   0,   0,   W,   0,    ,   0,   0,     MAN-YI, M,  
WP, 34, 2018112106,   , BEST,   0,  82N, 1491E,  50,  995, TS,  34, NEQ,   90,   60,   60,   80, 1006,  210,  25,   0,   0,   W,   0,    ,   0,   0,     MAN-YI, M,  
WP, 34, 2018112106,   , BEST,   0,  82N, 1491E,  50,  995, TS,  50, NEQ,   42,   23,   23,   36, 1006,  210,  25,   0,   0,   W,   0,    ,   0,   0,     MAN-YI, M,  
WP, 34, 2018112112,   , BEST,   0,  90N, 1462E,  60,  992, TS,  34, NEQ,  100,   70,   70,   90, 1007,  175,  25,   0,   0,   W,   0,    ,   0,   0,     MAN-YI, M,  
WP, 34, 2018112112,   , BEST,   0,  90N, 1462E,  60,  992, TS,  50, NEQ,   49,   30,   30,   43, 1007,  175,  25,   0,   0,   W,   0,    ,   0,   0,     MAN-YI, M,  
WP, 34, 2018112118,   , BEST,   0,  95N, 1438E,  70,  987, HU,  34, NEQ,  100,   80,   90,  100, 1009,  320,   7,   0,   5,   W,   0,    ,   0,   0,     MAN-YI, D,  
WP, 34, 2018112118,   , BEST,   0,  95N, 1438E,  70,  987, HU,  50, NEQ,   49,   37,   43,   49, 1009,  320,   7,   0,   5,   W,   0,    ,   0,   0,     MAN-YI, D,  
WP, 34, 2018112118,   , BEST,   0,  95N, 1438E,  70,  987, HU,  64, NEQ,   25,   18,   22,   25, 1009,  320,   7,   0,   5,   W,   0,    ,   0,   0,     MAN-YI, D,  
WP, 34, 2018112200,   , BEST,   0, 106N, 1418E,  80,  980, HU,  34, NEQ,  120,  100,  100,  120, 1007,  300,   7,   0,   5,   W,   0,    ,   0,   0,     MAN-YI, D,  
