WP, 90, 2013091612,   , BEST,   0, 163N, 1122E,  15, 1002, XX,  34, NEQ,    0,    0,    0,    0, 1003,  150,  45,   0,   0,   W,   0,   X, 275,   4,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP902013, JTWC, NCEP_TCVITALS, 
WP, 90, 2013091618,   , BEST,   0, 153N, 1125E,  15, 1002, XX,  34, NEQ,    0,    0,    0,    0, 1005,  265,  45,   0,   0,   W,   0,   X, 220,   4,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP902013, JTWC, NCEP_TCVITALS, 
WP, 90, 2013091700,   , BEST,   0, 152N, 1123E,  15, 1002, XX,  34, NEQ,    0,    0,    0,    0, 1005,  265,  45,   0,   0,   W,   0,   X, 225,   4,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP902013, JTWC, NCEP_TCVITALS, 
WP, 90, 2013091706,   , BEST,   0, 156N, 1121E,  20, 1002, XX,  34, NEQ,    0,    0,    0,    0, 1004,  250,  50,   0,   0,   W,   0,   X, 255,   2,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP902013, JTWC, NCEP_TCVITALS, 
WP, 90, 2013091718,   , BEST,   0, 162N, 1116E,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, 1008,  270,  50,   0,   0,   W,   0,   X, 315,   3,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP902013, JTWC, NCEP_TCVITALS, 
WP, 90, 2013091800,   , BEST,   0, 163N, 1111E,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, 1008,  270,  50,   0,   0,   W,   0,   X, 305,   4,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP902013, JTWC, NCEP_TCVITALS, 
WP, 90, 2013100718,   , BEST,   0, 120N, 0978E,  25, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1006,  160,  45,   0,   0,   W,   0,   X, 270,   6,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP902013, JTWC, NCEP_TCVITALS, 
WP, 90, 2013100800,   , BEST,   0, 121N, 0965E,  25, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1006,  160,  45,   0,   0,   W,   0,   X, 280,   9,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP902013, JTWC, NCEP_TCVITALS, 
WP, 90, 2013100806,   , BEST,   0, 119N, 0946E,  25, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1006,  160,  45,   0,   0,   W,   0,   X, 275,  12,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP902013, JTWC, NCEP_TCVITALS, 
WP, 90, 2013100812,   , BEST,   0, 126N, 0945E,  30, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1006,  160,  45,   0,   0,   W,   0,   X, 285,  10,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP902013, JTWC, NCEP_TCVITALS, 
WP, 90, 2013111006,   , BEST,   0, 025N, 1394E,  20, 1003, XX,  34, NEQ,    0,    0,    0,    0, 1005,  180,  50,   0,   0,   W,   0,   X, 280,   6,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP902013, JTWC, NCEP_TCVITALS, 
WP, 90, 2013111012,   , BEST,   0, 037N, 1379E,  20, 1003, XX,  34, NEQ,    0,    0,    0,    0, 1007,  180,  50,   0,   0,   W,   0,   X, 295,  10,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP902013, JTWC, NCEP_TCVITALS, 
WP, 90, 2013111100,   , BEST,   0, 052N, 1345E,  20, 1003, XX,  34, NEQ,    0,    0,    0,    0, 1006,  180,  45,   0,   0,   W,   0,   X, 285,  12,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP902013, JTWC, NCEP_TCVITALS, 
WP, 90, 2013111106,   , BEST,   0, 052N, 1309E,  20, 1003, XX,  34, NEQ,    0,    0,    0,    0, 1005,  180,  45,   0,   0,   W,   0,   X, 275,  18,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP902013, JTWC, NCEP_TCVITALS, 
WP, 90, 2013111112,   , BEST,   0, 068N, 1299E,  20, 1003, XX,  34, NEQ,    0,    0,    0,    0, 1006,  160,  45,   0,   0,   W,   0,   X, 290,  17,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP902013, JTWC, NCEP_TCVITALS, 
WP, 90, 2013111118,   , BEST,   0, 068N, 1276E,  20, 1003, XX,  34, NEQ,    0,    0,    0,    0, 1004,  160,  45,   0,   0,   W,   0,   X, 290,  19,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP902013, JTWC, NCEP_TCVITALS, 
WP, 90, 2013111200,   , BEST,   0, 073N, 1266E,  20, 1003, XX,  34, NEQ,    0,    0,    0,    0, 1006,  160,  45,   0,   0,   W,   0,   X, 290,  17,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP902013, JTWC, NCEP_TCVITALS, 
WP, 90, 2013111206,   , BEST,   0, 079N, 1260E,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, 1008,  160,  45,   0,   0,   W,   0,   X, 295,  13,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP902013, JTWC, NCEP_TCVITALS, 
WP, 90, 2013111212,   , BEST,   0, 084N, 1246E,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, 1008,  160,  45,   0,   0,   W,   0,   X, 300,  11,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP902013, JTWC, NCEP_TCVITALS, 
WP, 90, 2013111312,   , BEST,   0, 109N, 1184E,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, 1008,  160,  45,   0,   0,   W,   0,   X, 295,  13,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP902013, JTWC, NCEP_TCVITALS, 
WP, 90, 2013111406,   , BEST,   0, 117N, 1131E,  20, 1005, XX,  34, NEQ,    0,    0,    0,    0, 1007,  150,  40,   0,   0,   W,   0,   X, 280,  18,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP902013, JTWC, NCEP_TCVITALS, 
WP, 90, 2013111412,   , BEST,   0, 118N, 1116E,  20, 1005, XX,  34, NEQ,    0,    0,    0,    0, 1008,  170,  40,   0,   0,   W,   0,   X, 275,  17,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP902013, JTWC, NCEP_TCVITALS, 
