WP, 96, 2014071818,   , BEST,   0, 096N, 1523E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, 1011,  150,    ,   0,   0,   W,   0,   X, 275,  10,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP962014, JTWC, NCEP_TCVITALS, 
WP, 96, 2014071900,   , BEST,   0, 097N, 1514E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, 1011,  150,    ,   0,   0,   W,   0,   X, 280,   9,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP962014, JTWC, NCEP_TCVITALS, 
WP, 96, 2014071906,   , BEST,   0, 079N, 1503E,  15, 1006, XX,  34, NEQ,    0,    0,    0,    0, 1007,  160,  45,   0,   0,   W,   0,   X, 250,  10,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP962014, JTWC, NCEP_TCVITALS, 
WP, 96, 2014071912,   , BEST,   0, 085N, 1494E,  15, 1007, XX,  34, NEQ,    0,    0,    0,    0, 1009,  160,  45,   0,   0,   W,   0,   X, 255,  10,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP962014, JTWC, NCEP_TCVITALS, 
WP, 96, 2014071918,   , BEST,   0, 098N, 1482E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, 1011,  160,  45,   0,   0,   W,   0,   X, 285,  11,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP962014, JTWC, NCEP_TCVITALS, 
WP, 96, 2014072000,   , BEST,   0, 112N, 1480E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, 1011,  160,  45,   0,   0,   W,   0,   X, 320,  13,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP962014, JTWC, NCEP_TCVITALS, 
WP, 96, 2014072006,   , BEST,   0, 117N, 1478E,  15, 1007, XX,  34, NEQ,    0,    0,    0,    0, 1008,  160,  45,   0,   0,   W,   0,   X, 335,  11,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP962014, JTWC, NCEP_TCVITALS, 
WP, 96, 2014072012,   , BEST,   0, 121N, 1469E,  15, 1007, XX,  34, NEQ,    0,    0,    0,    0, 1010,  160,  45,   0,   0,   W,   0,   X, 330,   9,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP962014, JTWC, NCEP_TCVITALS, 
WP, 96, 2014072018,   , BEST,   0, 129N, 1451E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, 1010,  160,  45,   0,   0,   W,   0,   X, 300,  11,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP962014, JTWC, NCEP_TCVITALS, 
WP, 96, 2014072100,   , BEST,   0, 132N, 1444E,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, 1010,  160,  45,   0,   0,   W,   0,   X, 295,  12,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP962014, JTWC, NCEP_TCVITALS, 
WP, 96, 2014072112,   , BEST,   0, 124N, 1428E,  15, 1007, XX,  34, NEQ,    0,    0,    0,    0, 1010,  160,  45,   0,   0,   W,   0,   X, 275,  10,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP962014, JTWC, NCEP_TCVITALS, 
WP, 96, 2014072118,   , BEST,   0, 125N, 1404E,  20, 1006, XX,  34, NEQ,    0,    0,    0,    0, 1010,  160,  45,   0,   0,   W,   0,   X, 275,  15,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP962014, JTWC, NCEP_TCVITALS, 
WP, 96, 2014072200,   , BEST,   0, 122N, 1396E,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, 1010,  160,  45,   0,   0,   W,   0,   X, 270,  13,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP962014, JTWC, NCEP_TCVITALS, 
WP, 96, 2014072206,   , BEST,   0, 126N, 1385E,  20, 1006, XX,  34, NEQ,    0,    0,    0,    0, 1008,  180,  45,   0,   0,   W,   0,   X, 270,  13,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP962014, JTWC, NCEP_TCVITALS, 
WP, 96, 2014072212,   , BEST,   0, 128N, 1377E,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, 1009,  175,  45,   0,   0,   W,   0,   X, 275,   9,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP962014, JTWC, NCEP_TCVITALS, 
WP, 96, 2014072218,   , BEST,   0, 127N, 1369E,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, 1009,  175,  45,   0,   0,   W,   0,   X, 280,   9,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP962014, JTWC, NCEP_TCVITALS, 
