WP, 97, 2015030712,   , BEST,   0, 025N, 1698E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, 1011,  150,    ,   0,   0,   W,   0,   X, 245,   6,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP972015, JTWC, NCEP_TCVITALS, 
WP, 97, 2015030806,   , BEST,   0, 043N, 1660E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, 1011,  150,    ,   0,   0,   W,   0,   X, 270,   3,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP972015, JTWC, NCEP_TCVITALS, 
WP, 97, 2015030812,   , BEST,   0, 043N, 1657E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, 1011,  150,    ,   0,   0,   W,   0,   X, 270,   3,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP972015, JTWC, NCEP_TCVITALS, 
WP, 97, 2015030906,   , BEST,   0, 066N, 1692E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, 1011,  150,  45,   0,   0,   W,   0,   X, 290,  10,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP972015, JTWC, NCEP_TCVITALS, 
WP, 97, 2015031006,   , BEST,   0, 061N, 1677E,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, 1008,  200,  45,   0,   0,   W,   0,   X, 285,   7,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP972015, JTWC, NCEP_TCVITALS, 
WP, 97, 2015031012,   , BEST,   0, 068N, 1673E,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, 1008,  200,  45,   0,   0,   W,   0,   X, 300,   7,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP972015, JTWC, NCEP_TCVITALS, 
WP, 97, 2015031018,   , BEST,   0, 063N, 1728E,  20, 1002, XX,  34, NEQ,    0,    0,    0,    0, 1006,  160,  45,   0,   0,   W,   0,   X, 270,  13,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP972015, JTWC, NCEP_TCVITALS, 
WP, 97, 2015031018,   , BEST,   0, 061N, 1688E,  20, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1008,  160,  45,   0,   0,   W,   0,   X, 275,  19,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP972015, JTWC, NCEP_TCVITALS, 
WP, 97, 2015031100,   , BEST,   0, 063N, 1716E,  20, 1002, XX,  34, NEQ,    0,    0,    0,    0, 1006,  160,  45,   0,   0,   W,   0,   X, 270,  12,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP972015, JTWC, NCEP_TCVITALS, 
WP, 97, 2015031106,   , BEST,   0, 069N, 1699E,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, 1008,  170,  45,   0,   0,   W,   0,   X, 280,  14,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP972015, JTWC, NCEP_TCVITALS, 
WP, 97, 2015070218,   , BEST,   0, 077N, 1719E,  20, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1008,  230,  50,   0,   0,   W,   0,   X, 285,   8,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP972015, JTWC, NCEP_TCVITALS, 
WP, 97, 2015070300,   , BEST,   0, 079N, 1712E,  20, 1006, XX,  34, NEQ,    0,    0,    0,    0, 1008,  215,  50,   0,   0,   W,   0,   X, 285,   8,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP972015, JTWC, NCEP_TCVITALS, 
WP, 97, 2015070306,   , BEST,   0, 083N, 1707E,  20, 1002, XX,  34, NEQ,    0,    0,    0,    0, 1005,  175,  50,   0,   0,   W,   0,   X, 295,   7,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP972015, JTWC, NCEP_TCVITALS, 
WP, 97, 2015081206,   , BEST,   0, 099N, 1593E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, 1011,  170,  25,   0,   0,   W,   0,   X, 280,   2,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP972015, JTWC, NCEP_TCVITALS, 
WP, 97, 2015081218,   , BEST,   0, 115N, 1574E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, 1011,  170,  25,   0,   0,   W,   0,   X, 310,   6,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP972015, JTWC, NCEP_TCVITALS, 
