WP, 98, 2016080306,   , BEST,   0, 192N, 1482E,  20, 1001, XX,  34, NEQ,    0,    0,    0,    0, 1004,  375, 349,   0,   0,   W,   0,   X, 350,  11,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP982016, JTWC, NCEP_TCVITALS, 
WP, 98, 2016080312,   , BEST,   0, 196N, 1475E,  20, 1002, XX,  34, NEQ,    0,    0,    0,    0, 1005,  300, 249,   0,   0,   W,   0,   X, 335,   9,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP982016, JTWC, NCEP_TCVITALS, 
WP, 98, 2016080318,   , BEST,   0, 190N, 1470E,  30, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1005,  400, 249,   0,   0,   W,   0,   X, 300,   5,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP982016, JTWC, NCEP_TCVITALS, 
WP, 98, 2016080400,   , BEST,   0, 189N, 1476E,  30, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1005,  450, 249,   0,   0,   W,   0,   X, 240,   2,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP982016, JTWC, NCEP_TCVITALS, 
WP, 98, 2016080406,   , BEST,   0, 190N, 1467E,  30, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1004,  420, 120,   0,   0,   W,   0,   X, 355,   3,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP982016, JTWC, NCEP_TCVITALS, 
WP, 98, 2016080412,   , BEST,   0, 195N, 1467E,  30, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1004,  420, 120,   0,   0,   W,   0,   X,    ,   4,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP982016, JTWC, NCEP_TCVITALS, 
WP, 98, 2016081812,   , BEST,   0, 217N, 1522E,  20,  996, XX,  34, NEQ,    0,    0,    0,    0, 1001,  180,  75,   0,   0,   W,   0,   X,  60,   9,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP982016, JTWC, NCEP_TCVITALS, 
WP, 98, 2016081818,   , BEST,   0, 232N, 1540E,  20,  996, XX,  34, NEQ,    0,    0,    0,    0,  998,  180,  75,   0,   0,   W,   0,   X,  55,  14,     INVEST, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP982016, JTWC, NCEP_TCVITALS, 
WP, 98, 2016081900,   , BEST,   0, 256N, 1526E,  20,  996, XX,  34, NEQ,    0,    0,    0,    0, 1001,  180,  45,   0,   0,   W,   0,   X,   5,  12,     INVEST, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP982016, JTWC, NCEP_TCVITALS, 
WP, 98, 2016081906,   , BEST,   0, 270N, 1522E,  20,  997, XX,  34, NEQ,    0,    0,    0,    0, 1001,  170,  45,   0,   0,   W,   0,   X, 345,  13,     INVEST, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP982016, JTWC, NCEP_TCVITALS, 
WP, 98, 2016081912,   , BEST,   0, 286N, 1518E,  20,  998, XX,  34, NEQ,    0,    0,    0,    0, 1001,  170,  45,   0,   0,   W,   0,   X, 340,  14,     INVEST, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP982016, JTWC, NCEP_TCVITALS, 
