EP, 20, 2018092506,   , BEST,   0, 144N, 1069W,  30, 1006, TD,   0,    ,    0,    0,    0,    0, 1008,  120,  60,  40,   0,   E,   0,    ,   0,   0,     TWENTY, M,  0,    ,    0,    0,    0,    0, genesis-num, 034, TRANSITIONED, epC52018 to ep202018, 
EP, 20, 2018092512,   , BEST,   0, 146N, 1077W,  40, 1004, TS,  34, NEQ,   40,    0,    0,   40, 1008,  150,  40,  50,   0,   E,   0,    ,   0,   0,     TWENTY, M,  0,    ,    0,    0,    0,    0, genesis-num, 034, 
EP, 20, 2018092518,   , BEST,   0, 148N, 1085W,  45, 1000, TS,  34, NEQ,   40,   40,    0,   40, 1008,  150,  40,  50,   0,   E,   0,    ,   0,   0,       ROSA, M, 12, NEQ,   90,    0,    0,    0, genesis-num, 034, 
EP, 20, 2018092600,   , BEST,   0, 150N, 1093W,  50,  997, TS,  34, NEQ,   50,   50,   30,   50, 1008,  150,  15,  65,   0,   E,   0,    ,   0,   0,       ROSA, M, 12, NEQ,   90,    0,    0,    0, genesis-num, 034, 
EP, 20, 2018092600,   , BEST,   0, 150N, 1093W,  50,  997, TS,  50, NEQ,   20,   20,    0,   20, 1008,  150,  15,  65,   0,   E,   0,    ,   0,   0,       ROSA, M, 12, NEQ,   90,    0,    0,    0, genesis-num, 034, 
EP, 20, 2018092606,   , BEST,   0, 154N, 1100W,  55,  994, TS,  34, NEQ,   50,   50,   30,   40, 1008,  150,  15,  65,   0,   E,   0,    ,   0,   0,       ROSA, M, 12, NEQ,  120,   75,   30,   75, genesis-num, 034, 
EP, 20, 2018092606,   , BEST,   0, 154N, 1100W,  55,  994, TS,  50, NEQ,   20,   20,    0,   20, 1008,  150,  15,  65,   0,   E,   0,    ,   0,   0,       ROSA, M, 12, NEQ,  120,   75,   30,   75, genesis-num, 034, 
EP, 20, 2018092612,   , BEST,   0, 160N, 1108W,  65,  990, HU,  34, NEQ,   70,   50,   40,   50, 1008,  150,  15,  80,   0,   E,   0,    ,   0,   0,       ROSA, M, 12, NEQ,  120,   75,   60,   75, genesis-num, 034, 
EP, 20, 2018092612,   , BEST,   0, 160N, 1108W,  65,  990, HU,  50, NEQ,   40,   20,    0,   20, 1008,  150,  15,  80,   0,   E,   0,    ,   0,   0,       ROSA, M, 12, NEQ,  120,   75,   60,   75, genesis-num, 034, 
EP, 20, 2018092612,   , BEST,   0, 160N, 1108W,  65,  990, HU,  64, NEQ,   20,   10,    0,    0, 1008,  150,  15,  80,   0,   E,   0,    ,   0,   0,       ROSA, M, 12, NEQ,  120,   75,   60,   75, genesis-num, 034, 
EP, 20, 2018092618,   , BEST,   0, 164N, 1117W,  75,  982, HU,  34, NEQ,   70,   50,   40,   50, 1008,  150,  15,  85,   0,   E,   0,    ,   0,   0,       ROSA, M, 12, NEQ,  120,   90,   60,   90, genesis-num, 034, 
EP, 20, 2018092618,   , BEST,   0, 164N, 1117W,  75,  982, HU,  50, NEQ,   40,   20,    0,   20, 1008,  150,  15,  85,   0,   E,   0,    ,   0,   0,       ROSA, M, 12, NEQ,  120,   90,   60,   90, genesis-num, 034, 
EP, 20, 2018092618,   , BEST,   0, 164N, 1117W,  75,  982, HU,  64, NEQ,   20,   10,    0,    0, 1008,  150,  15,  85,   0,   E,   0,    ,   0,   0,       ROSA, M, 12, NEQ,  120,   90,   60,   90, genesis-num, 034, 
EP, 20, 2018092700,   , BEST,   0, 168N, 1126W,  75,  982, HU,  34, NEQ,   90,   70,   60,   60, 1008,  240,  15,  90,   0,   E,   0,    ,   0,   0,       ROSA, D, 12, NEQ,  150,  120,   90,  120, genesis-num, 034, 
EP, 20, 2018092700,   , BEST,   0, 168N, 1126W,  75,  982, HU,  50, NEQ,   50,   30,   20,   30, 1008,  240,  15,  90,   0,   E,   0,    ,   0,   0,       ROSA, D, 12, NEQ,  150,  120,   90,  120, genesis-num, 034, 
EP, 20, 2018092700,   , BEST,   0, 168N, 1126W,  75,  982, HU,  64, NEQ,   25,   10,   10,   20, 1008,  240,  15,  90,   0,   E,   0,    ,   0,   0,       ROSA, D, 12, NEQ,  150,  120,   90,  120, genesis-num, 034, 
EP, 20, 2018092706,   , BEST,   0, 170N, 1136W,  75,  979, HU,  34, NEQ,   90,   70,   60,   60, 1008,  240,  15,  90,   0,   E,   0,    ,   0,   0,       ROSA, D, 12, NEQ,  150,  120,   90,  120, genesis-num, 034, 
EP, 20, 2018092706,   , BEST,   0, 170N, 1136W,  75,  979, HU,  50, NEQ,   50,   30,   20,   30, 1008,  240,  15,  90,   0,   E,   0,    ,   0,   0,       ROSA, D, 12, NEQ,  150,  120,   90,  120, genesis-num, 034, 
EP, 20, 2018092706,   , BEST,   0, 170N, 1136W,  75,  979, HU,  64, NEQ,   25,   10,   10,   20, 1008,  240,  15,  90,   0,   E,   0,    ,   0,   0,       ROSA, D, 12, NEQ,  150,  120,   90,  120, genesis-num, 034, 
EP, 20, 2018092712,   , BEST,   0, 170N, 1146W,  90,  971, HU,  34, NEQ,   90,   70,   60,   60, 1008,  240,  15, 105,   0,   E,   0,    ,   0,   0,       ROSA, D, 12, NEQ,  180,  180,  150,  150, genesis-num, 034, 
EP, 20, 2018092712,   , BEST,   0, 170N, 1146W,  90,  971, HU,  50, NEQ,   50,   30,   20,   30, 1008,  240,  15, 105,   0,   E,   0,    ,   0,   0,       ROSA, D, 12, NEQ,  180,  180,  150,  150, genesis-num, 034, 
EP, 20, 2018092712,   , BEST,   0, 170N, 1146W,  90,  971, HU,  64, NEQ,   25,   10,   10,   20, 1008,  240,  15, 105,   0,   E,   0,    ,   0,   0,       ROSA, D, 12, NEQ,  180,  180,  150,  150, genesis-num, 034, 
EP, 20, 2018092718,   , BEST,   0, 170N, 1155W, 105,  957, HU,  34, NEQ,  100,   70,   60,   90, 1008,  240,  15, 130,   0,   E,   0,    ,   0,   0,       ROSA, D, 12, NEQ,  180,  180,  150,  150, genesis-num, 034, 
EP, 20, 2018092718,   , BEST,   0, 170N, 1155W, 105,  957, HU,  50, NEQ,   50,   30,   20,   40, 1008,  240,  15, 130,   0,   E,   0,    ,   0,   0,       ROSA, D, 12, NEQ,  180,  180,  150,  150, genesis-num, 034, 
EP, 20, 2018092718,   , BEST,   0, 170N, 1155W, 105,  957, HU,  64, NEQ,   30,   15,   15,   20, 1008,  240,  15, 130,   0,   E,   0,    ,   0,   0,       ROSA, D, 12, NEQ,  180,  180,  150,  150, genesis-num, 034, 
EP, 20, 2018092800,   , BEST,   0, 169N, 1164W, 125,  940, HU,  34, NEQ,  100,   80,   70,   90, 1008,  240,  15, 150,   0,   E,   0,    ,   0,   0,       ROSA, D, 12, NEQ,  210,  180,  150,  210, genesis-num, 034, 
EP, 20, 2018092800,   , BEST,   0, 169N, 1164W, 125,  940, HU,  50, NEQ,   60,   40,   30,   40, 1008,  240,  15, 150,   0,   E,   0,    ,   0,   0,       ROSA, D, 12, NEQ,  210,  180,  150,  210, genesis-num, 034, 
EP, 20, 2018092800,   , BEST,   0, 169N, 1164W, 125,  940, HU,  64, NEQ,   35,   20,   20,   25, 1008,  240,  15, 150,   0,   E,   0,    ,   0,   0,       ROSA, D, 12, NEQ,  210,  180,  150,  210, genesis-num, 034, 
EP, 20, 2018092806,   , BEST,   0, 169N, 1171W, 130,  936, HU,  34, NEQ,  100,  100,   90,   90, 1008,  240,  15, 150,   0,   E,   0,    ,   0,   0,       ROSA, D, 12, NEQ,  210,  180,  180,  210, genesis-num, 034, 
EP, 20, 2018092806,   , BEST,   0, 169N, 1171W, 130,  936, HU,  50, NEQ,   60,   50,   40,   40, 1008,  240,  15, 150,   0,   E,   0,    ,   0,   0,       ROSA, D, 12, NEQ,  210,  180,  180,  210, genesis-num, 034, 
