IO, 05, 2016120712,   , BEST,   0, 107N, 0918E,  35, 1000, XX,  34, NEQ,   10,   35,    0,    0, 1008,  190,  30,   0,   0,   B,   0,   X,  10,   5,       FIVE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO052016, JTWC, NCEP_TCVITALS, 
IO, 05, 2016120718,   , BEST,   0, 110N, 0920E,  35, 1003, XX,  34, NEQ,   40,   20,    0,   50, 1007,  185,  20,   0,   0,   B,   0,   X,  15,   6,       FIVE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO052016, JTWC, NCEP_TCVITALS, 
IO, 05, 2016120800,   , BEST,   0, 114N, 0921E,  45,  997, XX,  34, NEQ,   75,   60,   50,   55, 1007,  175,  25,   0,   0,   B,   0,   X,  10,   5,       FIVE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO052016, JTWC, NCEP_TCVITALS, 
IO, 05, 2016120806,   , BEST,   0, 113N, 0920E,  45,  995, XX,  34, NEQ,   95,   85,   90,  100, 1007,  180,  25,   0,   0,   B,   0,   X,    ,   3,     VARDAH, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO052016, JTWC, NCEP_TCVITALS, 
IO, 05, 2016120812,   , BEST,   0, 116N, 0918E,  45,  995, XX,  34, NEQ,  110,   80,   60,   90, 1006,  190,  25,   0,   0,   B,   0,   X, 335,   3,     VARDAH, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO052016, JTWC, NCEP_TCVITALS, 
IO, 05, 2016120818,   , BEST,   0, 118N, 0915E,  45,  996, XX,  34, NEQ,  110,   80,   60,   90, 1007,  190,  30,   0,   0,   B,   0,   X, 320,   3,     VARDAH, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO052016, JTWC, NCEP_TCVITALS, 
IO, 05, 2016120900,   , BEST,   0, 119N, 0911E,  45,  996, XX,  34, NEQ,  110,   80,   60,   90, 1007,  180,  30,   0,   0,   B,   0,   X, 305,   4,     VARDAH, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO052016, JTWC, NCEP_TCVITALS, 
IO, 05, 2016120906,   , BEST,   0, 117N, 0908E,  45,  995, XX,  34, NEQ,   60,   60,   60,   90, 1006,  190,  40,   0,   0,   B,   0,   X, 290,   3,     VARDAH, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO052016, JTWC, NCEP_TCVITALS, 
IO, 05, 2016120912,   , BEST,   0, 119N, 0901E,  45,  996, XX,  34, NEQ,   60,   60,   60,   90, 1006,  190,  40,   0,   0,   B,   0,   X, 290,   5,     VARDAH, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO052016, JTWC, NCEP_TCVITALS, 
IO, 05, 2016120918,   , BEST,   0, 123N, 0891E,  50,  985, XX,  34, NEQ,  100,   50,   90,  120, 1007,  215,  35,   0,   0,   B,   0,   X, 290,   7,     VARDAH, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO052016, JTWC, NCEP_TCVITALS, 
IO, 05, 2016121000,   , BEST,   0, 127N, 0884E,  55,  985, XX,  34, NEQ,  100,   50,   90,  120, 1007,  215,  35,   0,   0,   B,   0,   X, 295,   9,     VARDAH, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO052016, JTWC, NCEP_TCVITALS, 
IO, 05, 2016121006,   , BEST,   0, 129N, 0875E,  60,  989, XX,  34, NEQ,  105,   70,  110,   70, 1007,  210,  35,   0,   0,   B,   0,   X, 290,   9,     VARDAH, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO052016, JTWC, NCEP_TCVITALS, 
IO, 05, 2016121012,   , BEST,   0, 132N, 0863E,  65,  985, XX,  34, NEQ,  100,   75,   70,   90, 1006,  200,  25,   0,   0,   B,   0,   X, 290,  10,     VARDAH, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO052016, JTWC, NCEP_TCVITALS, 
IO, 05, 2016121018,   , BEST,   0, 129N, 0852E,  65,  974, XX,  34, NEQ,  100,   75,   70,   90, 1007,  180,  25,   0,   0,   B,   0,   X, 275,  10,     VARDAH, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO052016, JTWC, NCEP_TCVITALS, 
IO, 05, 2016121100,   , BEST,   0, 127N, 0845E,  70,  970, XX,  34, NEQ,  100,   75,   70,   90, 1007,  180,  25,   0,   0,   B,   0,   X, 265,  10,     VARDAH, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO052016, JTWC, NCEP_TCVITALS, 
IO, 05, 2016121106,   , BEST,   0, 129N, 0837E,  75,  980, XX,  34, NEQ,  100,   70,   70,  100, 1008,  180,  20,   0,   0,   B,   0,   X, 270,   8,     VARDAH, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO052016, JTWC, NCEP_TCVITALS, 
IO, 05, 2016121112,   , BEST,   0, 131N, 0832E,  75,  979, XX,  34, NEQ,  100,   70,   70,  100, 1007,  180,  25,   0,   0,   B,   0,   X, 275,   7,     VARDAH, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO052016, JTWC, NCEP_TCVITALS, 
