IO, 05, 2019103006,   , BEST,   0, 088N, 0748E,  35, 1005, XX,  34, NEQ,   55,   55,   40,   40, 1008,  170,  30,   0,   0,   A,   0,   X, 325,  12,       FIVE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO052019, JTWC, NCEP_TCVITALS, 
IO, 05, 2019103012,   , BEST,   0, 099N, 0740E,  45,  999, XX,  34, NEQ,   55,   55,   40,   40, 1007,  185,  30,   0,   0,   A,   0,   X, 320,  13,       FIVE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO052019, JTWC, NCEP_TCVITALS, 
IO, 05, 2019103018,   , BEST,   0, 106N, 0735E,  45,  999, XX,  34, NEQ,   70,   65,   50,   40, 1007,  185,  30,   0,   0,   A,   0,   X, 325,  12,       MAHA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO052019, JTWC, NCEP_TCVITALS, 
IO, 05, 2019103100,   , BEST,   0, 111N, 0731E,  50,  995, XX,  34, NEQ,   90,   60,   85,   50, 1007,  185,  20,   0,   0,   A,   0,   X, 325,   9,       MAHA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO052019, JTWC, NCEP_TCVITALS, 
IO, 05, 2019103106,   , BEST,   0, 119N, 0731E,  60,  991, XX,  34, NEQ,   80,   70,   80,   50, 1009,  155,  30,   0,   0,   A,   0,   X, 335,   7,       MAHA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO052019, JTWC, NCEP_TCVITALS, 
IO, 05, 2019103112,   , BEST,   0, 130N, 0727E,  60,  989, XX,  34, NEQ,   75,   60,   75,   55, 1006,  145,  30,   0,   0,   A,   0,   X, 340,   9,       MAHA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO052019, JTWC, NCEP_TCVITALS, 
IO, 05, 2019103118,   , BEST,   0, 143N, 0724E,  55,  994, XX,  34, NEQ,   75,   60,   75,   70, 1008,  145,  20,   0,   0,   A,   0,   X, 345,  10,       MAHA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO052019, JTWC, NCEP_TCVITALS, 
IO, 05, 2019110100,   , BEST,   0, 151N, 0718E,  50,  996, XX,  34, NEQ,   70,   60,   70,   65, 1007,  175,  30,   0,   0,   A,   0,   X, 330,  12,       MAHA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO052019, JTWC, NCEP_TCVITALS, 
IO, 05, 2019110106,   , BEST,   0, 153N, 0702E,  45, 1000, XX,  34, NEQ,   80,   70,   85,   70, 1009,  170,  50,   0,   0,   A,   0,   X, 310,  11,       MAHA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO052019, JTWC, NCEP_TCVITALS, 
IO, 05, 2019110112,   , BEST,   0, 158N, 0693E,  45,  998, XX,  34, NEQ,   35,   35,   60,   45, 1006,  150,  25,   0,   0,   A,   0,   X, 300,  11,       MAHA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO052019, JTWC, NCEP_TCVITALS, 
IO, 05, 2019110118,   , BEST,   0, 160N, 0691E,  45,  997, XX,  34, NEQ,   50,   65,   30,   25, 1006,  160,  25,   0,   0,   A,   0,   X, 300,   9,       MAHA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO052019, JTWC, NCEP_TCVITALS, 
IO, 05, 2019110200,   , BEST,   0, 162N, 0686E,  50,  995, XX,  34, NEQ,   50,   65,   30,   25, 1006,  165,  15,   0,   0,   A,   0,   X, 305,   7,       MAHA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO052019, JTWC, NCEP_TCVITALS, 
IO, 05, 2019110206,   , BEST,   0, 164N, 0682E,  55,  993, XX,  34, NEQ,   60,   65,   50,   55, 1008,  160,  15,   0,   0,   A,   0,   X, 300,   5,       MAHA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO052019, JTWC, NCEP_TCVITALS, 
IO, 05, 2019110212,   , BEST,   0, 170N, 0676E,  60,  990, XX,  34, NEQ,   60,   55,   55,   55, 1008,  160,  15,   0,   0,   A,   0,   X, 310,   6,       MAHA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO052019, JTWC, NCEP_TCVITALS, 
IO, 05, 2019110218,   , BEST,   0, 173N, 0670E,  65,  985, XX,  34, NEQ,   70,   60,   40,   50, 1008,  185,  15,   0,   0,   A,   0,   X, 305,   7,       MAHA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO052019, JTWC, NCEP_TCVITALS, 
IO, 05, 2019110300,   , BEST,   0, 176N, 0664E,  65,  984, XX,  34, NEQ,   55,   50,   45,   50, 1010,  180,  15,   0,   0,   A,   0,   X, 305,   7,       MAHA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO052019, JTWC, NCEP_TCVITALS, 
IO, 05, 2019110306,   , BEST,   0, 175N, 0660E,  70,  986, XX,  34, NEQ,   60,   50,   55,   55, 1010,  180,  10,   0,   0,   A,   0,   X, 290,   5,       MAHA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO052019, JTWC, NCEP_TCVITALS, 
