SH, 06, 2015123118,   , BEST,   0, 161S, 1699W,  90,  956, XX,  34, NEQ,   85,  115,  110,   75, 1003,  180,   6,   0,   0,   P,   0,   X, 240,   6,        ULA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH062016, JTWC, NCEP_TCVITALS, 
SH, 06, 2016010100,   , BEST,   0, 167S, 1704W,  90,  956, XX,  34, NEQ,   80,  105,  100,   70, 1003,  180,  10,   0,   0,   P,   0,   X, 230,   6,        ULA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH062016, JTWC, NCEP_TCVITALS, 
SH, 06, 2016010106,   , BEST,   0, 174S, 1714W,  90,  956, XX,  34, NEQ,   50,  125,  135,   50, 1001,  200,  15,   0,   0,   P,   0,   X, 230,   8,        ULA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH062016, JTWC, NCEP_TCVITALS, 
SH, 06, 2016010112,   , BEST,   0, 180S, 1728W,  85,  959, XX,  34, NEQ,   50,  160,  145,   50, 1001,  200,  15,   0,   0,   P,   0,   X, 235,  11,        ULA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH062016, JTWC, NCEP_TCVITALS, 
SH, 06, 2016010118,   , BEST,   0, 182S, 1740W,  75,  967, XX,  34, NEQ,   50,  160,  145,   50, 1001,  200,  15,   0,   0,   P,   0,   X, 245,  12,        ULA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH062016, JTWC, NCEP_TCVITALS, 
SH, 06, 2016010200,   , BEST,   0, 183S, 1754W,  75,  967, XX,  34, NEQ,   50,  160,  145,   50, 1001,  200,  15,   0,   0,   P,   0,   X, 255,  13,        ULA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH062016, JTWC, NCEP_TCVITALS, 
SH, 06, 2016010206,   , BEST,   0, 185S, 1764W,  85,  959, XX,  34, NEQ,   80,  125,  125,   70, 1001,  200,  15,   0,   0,   P,   0,   X, 260,  12,        ULA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH062016, JTWC, NCEP_TCVITALS, 
SH, 06, 2016010212,   , BEST,   0, 188S, 1772W,  85,  959, XX,  34, NEQ,   80,  125,  125,   70, 1001,  200,  15,   0,   0,   P,   0,   X, 260,  10,        ULA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH062016, JTWC, NCEP_TCVITALS, 
SH, 06, 2016010218,   , BEST,   0, 192S, 1777W,  90,  956, XX,  34, NEQ,   80,  125,  125,   70, 1001,  200,  15,   0,   0,   P,   0,   X, 245,   8,        ULA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH062016, JTWC, NCEP_TCVITALS, 
SH, 06, 2016010300,   , BEST,   0, 198S, 1784W,  85,  959, XX,  34, NEQ,   80,  125,  125,   70, 1002,  225,  15,   0,   0,   P,   0,   X, 235,   8,        ULA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH062016, JTWC, NCEP_TCVITALS, 
SH, 06, 2016010306,   , BEST,   0, 205S, 1790W,  85,  959, XX,  34, NEQ,   80,  125,  125,   70, 1002,  225,  10,   0,   0,   P,   0,   X, 225,   8,        ULA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH062016, JTWC, NCEP_TCVITALS, 
SH, 06, 2016010312,   , BEST,   0, 211S, 1795W,  85,  959, XX,  34, NEQ,   80,  125,  125,   70, 1002,  225,  10,   0,   0,   P,   0,   X, 220,   8,        ULA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH062016, JTWC, NCEP_TCVITALS, 
SH, 06, 2016010318,   , BEST,   0, 217S, 1799E,  85,  959, XX,  34, NEQ,   80,  125,  125,   70, 1002,  200,  10,   0,   0,   P,   0,   X, 220,   8,        ULA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH062016, JTWC, NCEP_TCVITALS, 
SH, 06, 2016010400,   , BEST,   0, 220S, 1795E,  80,  963, XX,  34, NEQ,   70,  120,  120,   70, 1002,  190,  10,   0,   0,   P,   0,   X, 225,   7,        ULA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH062016, JTWC, NCEP_TCVITALS, 
SH, 06, 2016010406,   , BEST,   0, 223S, 1792E,  70,  970, XX,  34, NEQ,   70,  105,  105,   70, 1002,  190,  15,   0,   0,   P,   0,   X, 225,   6,        ULA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH062016, JTWC, NCEP_TCVITALS, 
SH, 06, 2016010412,   , BEST,   0, 223S, 1788E,  65,  974, XX,  34, NEQ,   70,  105,  105,   70, 1002,  190,  15,   0,   0,   P,   0,   X, 240,   4,        ULA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH062016, JTWC, NCEP_TCVITALS, 
SH, 06, 2016010418,   , BEST,   0, 222S, 1782E,  65,  974, XX,  34, NEQ,   50,   75,   80,   60, 1003,  190,  15,   0,   0,   P,   0,   X, 260,   4,        ULA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH062016, JTWC, NCEP_TCVITALS, 
