SH, 11, 2016021018,   , BEST,   0, 160S, 1712E,  40,  993, XX,  34, NEQ,   30,   30,   20,   20, 1003,  200,  30,   0,   0,   P,   0,   X, 150,   7,     ELEVEN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH112016, JTWC, NCEP_TCVITALS, 
SH, 11, 2016021100,   , BEST,   0, 157S, 1711E,  40,  993, XX,  34, NEQ,  120,  120,  100,   95, 1004,  180,  30,   0,   0,   P,   0,   X, 150,   5,     ELEVEN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH112016, JTWC, NCEP_TCVITALS, 
SH, 11, 2016021106,   , BEST,   0, 161S, 1714E,  45,  989, XX,  34, NEQ,  120,  120,  100,   95, 1003,  190,  40,   0,   0,   P,   0,   X, 150,   5,    WINSTON, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH112016, JTWC, NCEP_TCVITALS, 
SH, 11, 2016021112,   , BEST,   0, 167S, 1716E,  55,  982, XX,  34, NEQ,   70,   55,   55,   50, 1003,  210,  25,   0,   0,   P,   0,   X, 155,   5,    WINSTON, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH112016, JTWC, NCEP_TCVITALS, 
SH, 11, 2016021118,   , BEST,   0, 174S, 1716E,  55,  982, XX,  34, NEQ,   70,   55,   55,   50, 1003,  190,  25,   0,   0,   P,   0,   X, 165,   6,    WINSTON, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH112016, JTWC, NCEP_TCVITALS, 
SH, 11, 2016021200,   , BEST,   0, 180S, 1716E,  65,  974, XX,  34, NEQ,   70,   55,   55,   50, 1003,  200,  25,   0,   0,   P,   0,   X, 175,   6,    WINSTON, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH112016, JTWC, NCEP_TCVITALS, 
SH, 11, 2016021206,   , BEST,   0, 187S, 1716E,  95,  952, XX,  34, NEQ,   70,  100,  100,   70, 1002,  210,  20,   0,   0,   P,   0,   X, 180,   7,    WINSTON, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH112016, JTWC, NCEP_TCVITALS, 
SH, 11, 2016021212,   , BEST,   0, 197S, 1715E, 105,  944, XX,  34, NEQ,   90,  120,  120,   90, 1004,  220,  12,   0,   0,   P,   0,   X, 180,   8,    WINSTON, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH112016, JTWC, NCEP_TCVITALS, 
SH, 11, 2016021218,   , BEST,   0, 208S, 1715E, 110,  941, XX,  34, NEQ,   90,  120,  120,   90, 1004,  220,  12,   0,   0,   P,   0,   X, 180,   9,    WINSTON, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH112016, JTWC, NCEP_TCVITALS, 
SH, 11, 2016021300,   , BEST,   0, 222S, 1718E, 105,  944, XX,  34, NEQ,   90,  120,  120,   90, 1004,  220,  12,   0,   0,   P,   0,   X, 175,  12,    WINSTON, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH112016, JTWC, NCEP_TCVITALS, 
SH, 11, 2016021306,   , BEST,   0, 234S, 1721E, 100,  948, XX,  34, NEQ,  140,  145,  120,  125, 1004,  220,   6,   0,   0,   P,   0,   X, 170,  12,    WINSTON, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH112016, JTWC, NCEP_TCVITALS, 
