SH, 11, 2019012318,   , BEST,   0, 165S, 1221E,  35,  999, XX,  34, NEQ,   35,   40,   40,    0, 1002,  160,  35,   0,   0,   S,   0,   X, 220,  11,     ELEVEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH112019, JTWC, NCEP_TCVITALS, 
SH, 11, 2019012400,   , BEST,   0, 170S, 1208E,  40,  996, XX,  34, NEQ,   50,   55,   60,   40, 1002,  160,  35,   0,   0,   S,   0,   X, 230,  12,      RILEY, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH112019, JTWC, NCEP_TCVITALS, 
SH, 11, 2019012406,   , BEST,   0, 171S, 1201E,  40,  996, XX,  34, NEQ,   60,  105,   85,   75, 1002,  170,  30,   0,   0,   S,   0,   X, 240,  10,      RILEY, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH112019, JTWC, NCEP_TCVITALS, 
SH, 11, 2019012412,   , BEST,   0, 172S, 1191E,  40,  996, XX,  34, NEQ,   90,   75,   95,   65, 1001,  195,  35,   0,   0,   S,   0,   X, 255,   9,      RILEY, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH112019, JTWC, NCEP_TCVITALS, 
SH, 11, 2019012418,   , BEST,   0, 172S, 1187E,  45,  991, XX,  34, NEQ,   85,   85,  105,   65, 1001,  155,  35,   0,   0,   S,   0,   X, 265,   7,      RILEY, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH112019, JTWC, NCEP_TCVITALS, 
SH, 11, 2019012500,   , BEST,   0, 169S, 1189E,  55,  984, XX,  34, NEQ,   90,  105,  115,   90, 1001,  150,  35,   0,   0,   S,   0,   X, 255,   4,      RILEY, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH112019, JTWC, NCEP_TCVITALS, 
SH, 11, 2019012506,   , BEST,   0, 169S, 1182E,  60,  978, XX,  34, NEQ,   95,  100,  120,  120, 1001,  160,  25,   0,   0,   S,   0,   X, 260,   5,      RILEY, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH112019, JTWC, NCEP_TCVITALS, 
SH, 11, 2019012512,   , BEST,   0, 170S, 1175E,  65,  978, XX,  34, NEQ,  105,  115,  115,  105, 1001,  130,  30,   0,   0,   S,   0,   X, 260,   6,      RILEY, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH112019, JTWC, NCEP_TCVITALS, 
SH, 11, 2019012518,   , BEST,   0, 173S, 1172E,  70,  970, XX,  34, NEQ,  120,   70,   90,  120, 1001,  180,  30,   0,   0,   S,   0,   X, 250,   5,      RILEY, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH112019, JTWC, NCEP_TCVITALS, 
SH, 11, 2019012600,   , BEST,   0, 169S, 1171E,  70,  970, XX,  34, NEQ,  110,  100,  120,  120, 1002,  185,  30,   0,   0,   S,   0,   X, 270,   4,      RILEY, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH112019, JTWC, NCEP_TCVITALS, 
SH, 11, 2019012606,   , BEST,   0, 175S, 1171E,  60,  981, XX,  34, NEQ,  150,  125,  125,  150, 1002,  185,  30,   0,   0,   S,   0,   X, 235,   3,      RILEY, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH112019, JTWC, NCEP_TCVITALS, 
