SH, 13, 2019020600,   , BEST,   0, 124S, 0537E,  35, 1003, XX,  34, NEQ,   35,   35,   80,   70, 1008,  180,  40,   0,   0,   S,   0,   X, 275,   5,   THIRTEEN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH132019, JTWC, NCEP_TCVITALS, 
SH, 13, 2019020606,   , BEST,   0, 121S, 0534E,  40,  993, XX,  34, NEQ,   40,   35,   50,   55, 1009,  165,  40,   0,   0,   S,   0,   X, 290,   5,   THIRTEEN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH132019, JTWC, NCEP_TCVITALS, 
SH, 13, 2019020612,   , BEST,   0, 123S, 0534E,  45,  989, XX,  34, NEQ,   60,   55,   80,   65, 1009,  170,  20,   0,   0,   S,   0,   X, 295,   4,     GELENA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH132019, JTWC, NCEP_TCVITALS, 
SH, 13, 2019020618,   , BEST,   0, 124S, 0531E,  55,  982, XX,  34, NEQ,   65,   75,   80,   70, 1009,  180,  30,   0,   0,   S,   0,   X, 270,   2,     GELENA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH132019, JTWC, NCEP_TCVITALS, 
SH, 13, 2019020700,   , BEST,   0, 125S, 0531E,  65,  974, XX,  34, NEQ,   90,   95,   95,   95, 1008,  165,  20,   0,   0,   S,   0,   X, 215,   2,     GELENA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH132019, JTWC, NCEP_TCVITALS, 
SH, 13, 2019020706,   , BEST,   0, 125S, 0534E,  70,  970, XX,  34, NEQ,  100,   80,   80,   95, 1008,  170,  15,   0,   0,   S,   0,   X, 145,   1,     GELENA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH132019, JTWC, NCEP_TCVITALS, 
SH, 13, 2019020712,   , BEST,   0, 131S, 0537E,  75,  967, XX,  34, NEQ,  120,   90,   90,  115, 1006,  155,   5,   0,   0,   S,   0,   X, 140,   3,     GELENA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH132019, JTWC, NCEP_TCVITALS, 
SH, 13, 2019020718,   , BEST,   0, 139S, 0541E,  80,  963, XX,  34, NEQ,  110,  100,   85,  100, 1006,  150,   5,   0,   0,   S,   0,   X, 145,   6,     GELENA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH132019, JTWC, NCEP_TCVITALS, 
SH, 13, 2019020800,   , BEST,   0, 145S, 0542E,  80,  974, XX,  34, NEQ,  120,   80,   80,  110, 1006,  160,  20,   0,   0,   S,   0,   X, 160,   7,     GELENA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH132019, JTWC, NCEP_TCVITALS, 
SH, 13, 2019020806,   , BEST,   0, 152S, 0547E, 100,  961, XX,  34, NEQ,  125,   90,   90,  115, 1008,  170,  15,   0,   0,   S,   0,   X, 155,   8,     GELENA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH132019, JTWC, NCEP_TCVITALS, 
SH, 13, 2019020812,   , BEST,   0, 159S, 0553E, 100,  960, XX,  34, NEQ,  130,  115,   85,  125, 1007,  180,   5,   0,   0,   S,   0,   X, 150,   9,     GELENA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH132019, JTWC, NCEP_TCVITALS, 
