SH, 15, 2018031518,   , BEST,   0, 100S, 1321E,  35, 1004, XX,  34, NEQ,   50,   70,   40,   75, 1009,  200,  45,   0,   0,   S,   0,   X, 120,   7,    FIFTEEN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH152018, JTWC, NCEP_TCVITALS, 
SH, 15, 2018031600,   , BEST,   0, 106S, 1326E,  40, 1001, XX,  34, NEQ,   55,   65,   30,   65, 1008,  185,  45,   0,   0,   S,   0,   X, 135,   6,    FIFTEEN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH152018, JTWC, NCEP_TCVITALS, 
SH, 15, 2018031606,   , BEST,   0, 111S, 1319E,  40, 1001, XX,  34, NEQ,   60,   70,   30,   60, 1008,  175,  45,   0,   0,   S,   0,   X, 180,   5,    FIFTEEN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH152018, JTWC, NCEP_TCVITALS, 
SH, 15, 2018031612,   , BEST,   0, 114S, 1314E,  40, 1001, XX,  34, NEQ,   50,   55,   35,   40, 1008,  175,  45,   0,   0,   S,   0,   X, 215,   5,     MARCUS, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH152018, JTWC, NCEP_TCVITALS, 
SH, 15, 2018031618,   , BEST,   0, 117S, 1316E,  40, 1001, XX,  34, NEQ,   55,   55,    0,    0, 1007,  175,  40,   0,   0,   S,   0,   X, 215,   5,     MARCUS, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH152018, JTWC, NCEP_TCVITALS, 
SH, 15, 2018031700,   , BEST,   0, 124S, 1311E,  45,  996, XX,  34, NEQ,   85,   80,   95,  120, 1007,  175,  40,   0,   0,   S,   0,   X, 215,   6,     MARCUS, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH152018, JTWC, NCEP_TCVITALS, 
SH, 15, 2018031706,   , BEST,   0, 130S, 1300E,  45,  998, XX,  34, NEQ,   15,   40,   45,   15, 1006,  175,  40,   0,   0,   S,   0,   X, 225,   9,     MARCUS, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH152018, JTWC, NCEP_TCVITALS, 
SH, 15, 2018031712,   , BEST,   0, 135S, 1293E,  50,  996, XX,  34, NEQ,   55,   60,   65,   50, 1007,  150,  25,   0,   0,   S,   0,   X, 230,  10,     MARCUS, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH152018, JTWC, NCEP_TCVITALS, 
SH, 15, 2018031718,   , BEST,   0, 139S, 1286E,  45,  998, XX,  34, NEQ,   50,   55,   55,   45, 1006,  145,  25,   0,   0,   S,   0,   X, 240,  10,     MARCUS, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH152018, JTWC, NCEP_TCVITALS, 
SH, 15, 2018031800,   , BEST,   0, 142S, 1278E,  55,  994, XX,  34, NEQ,   55,   60,   60,   50, 1008,  155,  25,   0,   0,   S,   0,   X, 240,   8,     MARCUS, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH152018, JTWC, NCEP_TCVITALS, 
SH, 15, 2018031806,   , BEST,   0, 146S, 1267E,  50,  995, XX,  34, NEQ,   65,   75,   50,   60, 1006,  160,  25,   0,   0,   S,   0,   X, 245,   9,     MARCUS, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH152018, JTWC, NCEP_TCVITALS, 
