SH, 18, 2017050206,   , BEST,   0, 128S, 1708E,  25, 1004, TD,   0,    ,    0,    0,    0,    0, 1008,  190,  30,   0,   0,   P,   0,    ,   0,   0,     INVEST, S, 
SH, 18, 2017050212,   , BEST,   0, 131S, 1709E,  30, 1000, TD,   0,    ,    0,    0,    0,    0, 1007,  180,  30,   0,   0,   P,   0,    ,   0,   0,     INVEST, S, 
SH, 18, 2017050218,   , BEST,   0, 131S, 1712E,  35,  996, TS,  34, NEQ,   25,   20,   40,   10, 1009,  200,  30,   0,   0,   P,   0,    ,   0,   0,   EIGHTEEN, S,  0,    ,    0,    0,    0,    0, TRANSITIONED, shE92017 to sh182017, 
SH, 18, 2017050300,   , BEST,   0, 128S, 1716E,  50,  995, TS,  34, NEQ,   25,   20,   40,   10, 1009,  200,  25,   0,   0,   P,   0,    ,   0,   0,   EIGHTEEN, M, 
SH, 18, 2017050306,   , BEST,   0, 126S, 1713E,  55,  982, TS,  34, NEQ,   70,   80,   70,   50, 1008,  225,  25,   0,   0,   P,   0,    ,   0,   0,   EIGHTEEN, M, 
SH, 18, 2017050306,   , BEST,   0, 126S, 1713E,  55,  982, TS,  50, NEQ,   25,   35,   30,   20, 1008,  225,  25,   0,   0,   P,   0,    ,   0,   0,   EIGHTEEN, M, 
SH, 18, 2017050312,   , BEST,   0, 126S, 1706E,  55,  992, TS,  34, NEQ,   70,   95,   70,   45, 1007,  215,  20,   0,   0,   P,   0,    ,   0,   0,      DONNA, M, 
SH, 18, 2017050312,   , BEST,   0, 126S, 1706E,  55,  992, TS,  50, NEQ,   25,   35,   30,   25, 1007,  215,  20,   0,   0,   P,   0,    ,   0,   0,      DONNA, M, 
SH, 18, 2017050318,   , BEST,   0, 127S, 1695E,  60,  978, TS,  34, NEQ,   70,   95,   70,   45, 1007,  185,  20,   0,   0,   P,   0,    ,   0,   0,      DONNA, D, 
SH, 18, 2017050318,   , BEST,   0, 127S, 1695E,  60,  978, TS,  50, NEQ,   25,   35,   30,   25, 1007,  185,  20,   0,   0,   P,   0,    ,   0,   0,      DONNA, D, 
SH, 18, 2017050400,   , BEST,   0, 125S, 1686E,  70,  970, TY,  34, NEQ,   65,   75,   70,   65, 1008,  195,  15,   0,   0,   P,   0,    ,   0,   0,      DONNA, D, 
SH, 18, 2017050400,   , BEST,   0, 125S, 1686E,  70,  970, TY,  50, NEQ,   30,   30,   35,   20, 1008,  195,  15,   0,   0,   P,   0,    ,   0,   0,      DONNA, D, 
SH, 18, 2017050400,   , BEST,   0, 125S, 1686E,  70,  970, TY,  64, NEQ,    0,   15,   10,    0, 1008,  195,  15,   0,   0,   P,   0,    ,   0,   0,      DONNA, D, 
SH, 18, 2017050406,   , BEST,   0, 125S, 1681E,  80,  963, TY,  34, NEQ,   65,   75,   70,   65, 1008,  195,  15,   0,   0,   P,   0,    ,   0,   0,      DONNA, D, 
SH, 18, 2017050406,   , BEST,   0, 125S, 1681E,  80,  963, TY,  50, NEQ,   30,   30,   35,   20, 1008,  195,  15,   0,   0,   P,   0,    ,   0,   0,      DONNA, D, 
SH, 18, 2017050406,   , BEST,   0, 125S, 1681E,  80,  963, TY,  64, NEQ,    0,   15,   10,    0, 1008,  195,  15,   0,   0,   P,   0,    ,   0,   0,      DONNA, D, 
SH, 18, 2017050412,   , BEST,   0, 126S, 1674E,  80,  963, TY,  34, NEQ,   80,  120,  115,   90, 1008,  195,  15,   0,   0,   P,   0,    ,   0,   0,      DONNA, D, 
SH, 18, 2017050412,   , BEST,   0, 126S, 1674E,  80,  963, TY,  50, NEQ,   40,   55,   50,   40, 1008,  195,  15,   0,   0,   P,   0,    ,   0,   0,      DONNA, D, 
SH, 18, 2017050412,   , BEST,   0, 126S, 1674E,  80,  963, TY,  64, NEQ,   20,   25,   25,   20, 1008,  195,  15,   0,   0,   P,   0,    ,   0,   0,      DONNA, D, 
SH, 18, 2017050418,   , BEST,   0, 128S, 1669E,  85,  968, TY,  34, NEQ,   80,  120,  115,   90, 1008,  205,  15,   0,   0,   P,   0,    ,   0,   0,      DONNA, D, 
SH, 18, 2017050418,   , BEST,   0, 128S, 1669E,  85,  968, TY,  50, NEQ,   40,   55,   50,   40, 1008,  205,  15,   0,   0,   P,   0,    ,   0,   0,      DONNA, D, 
SH, 18, 2017050418,   , BEST,   0, 128S, 1669E,  85,  968, TY,  64, NEQ,   25,   35,   35,   20, 1008,  205,  15,   0,   0,   P,   0,    ,   0,   0,      DONNA, D, 
SH, 18, 2017050500,   , BEST,   0, 130S, 1662E,  80,  963, TY,  34, NEQ,   80,  120,  115,   90, 1009,  195,  15,   0,   0,   P,   0,    ,   0,   0,      DONNA, D, 
SH, 18, 2017050500,   , BEST,   0, 130S, 1662E,  80,  963, TY,  50, NEQ,   40,   55,   50,   40, 1009,  195,  15,   0,   0,   P,   0,    ,   0,   0,      DONNA, D, 
SH, 18, 2017050500,   , BEST,   0, 130S, 1662E,  80,  963, TY,  64, NEQ,   25,   35,   35,   20, 1009,  195,  15,   0,   0,   P,   0,    ,   0,   0,      DONNA, D, 
SH, 18, 2017050506,   , BEST,   0, 133S, 1657E,  80,  963, TY,  34, NEQ,   80,  120,  115,   90, 1009,  195,  15,   0,   0,   P,   0,    ,   0,   0,      DONNA, D, 
SH, 18, 2017050506,   , BEST,   0, 133S, 1657E,  80,  963, TY,  50, NEQ,   40,   55,   50,   40, 1009,  195,  15,   0,   0,   P,   0,    ,   0,   0,      DONNA, D, 
SH, 18, 2017050506,   , BEST,   0, 133S, 1657E,  80,  963, TY,  64, NEQ,   25,   35,   35,   20, 1009,  195,  15,   0,   0,   P,   0,    ,   0,   0,      DONNA, D, 
SH, 18, 2017050512,   , BEST,   0, 136S, 1649E,  85,  959, TY,  34, NEQ,   80,  120,  115,   90, 1009,  195,  15,   0,   0,    ,   0,    ,   0,   0,      DONNA,  , 
SH, 18, 2017050512,   , BEST,   0, 136S, 1649E,  85,  959, TY,  50, NEQ,   40,   55,   50,   40, 1009,  195,  15,   0,   0,    ,   0,    ,   0,   0,      DONNA,  , 
