SH, 93, 2019012206,   , BEST,   0, 192S, 0430E,  25, 1003, XX,  34, NEQ,    0,    0,    0,    0, 1006,  180,  60,   0,   0,   S,   0,   X, 240,  18,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH932019, JTWC, NCEP_TCVITALS, 
SH, 93, 2019012212,   , BEST,   0, 203S, 0425E,  25, 1002, XX,  34, NEQ,    0,    0,    0,    0, 1005,  180,  60,   0,   0,   S,   0,   X, 225,  16,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH932019, JTWC, NCEP_TCVITALS, 
SH, 93, 2019012218,   , BEST,   0, 205S, 0405E,  25, 1003, XX,  34, NEQ,    0,    0,    0,    0, 1009,  300,  50,   0,   0,   S,   0,   X, 235,  15,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH932019, JTWC, NCEP_TCVITALS, 
SH, 93, 2019012300,   , BEST,   0, 203S, 0397E,  25, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1009,  375,  50,   0,   0,   S,   0,   X, 250,  12,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH932019, JTWC, NCEP_TCVITALS, 
SH, 93, 2019012306,   , BEST,   0, 200S, 0399E,  30, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1006,  220,  50,   0,   0,   S,   0,   X, 275,   8,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH932019, JTWC, NCEP_TCVITALS, 
SH, 93, 2019012312,   , BEST,   0, 204S, 0400E,  30, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1006,  220,  50,   0,   0,   S,   0,   X, 280,   2,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH932019, JTWC, NCEP_TCVITALS, 
SH, 93, 2019012318,   , BEST,   0, 219S, 0408E,  30, 1001, XX,  34, NEQ,    0,    0,    0,    0, 1006,  225,  50,   0,   0,   S,   0,   X, 150,   6,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH932019, JTWC, NCEP_TCVITALS, 
SH, 93, 2019012400,   , BEST,   0, 231S, 0418E,  30, 1001, XX,  34, NEQ,    0,    0,    0,    0, 1006,  255,  50,   0,   0,   S,   0,   X, 145,  11,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH932019, JTWC, NCEP_TCVITALS, 
SH, 93, 2019012406,   , BEST,   0, 242S, 0425E,  30, 1001, XX,  34, NEQ,    0,    0,    0,    0, 1006,  260,  55,   0,   0,   S,   0,   X, 150,  13,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH932019, JTWC, NCEP_TCVITALS, 
SH, 93, 2019012412,   , BEST,   0, 258S, 0427E,  25, 1003, XX,  34, NEQ,    0,    0,    0,    0, 1006,  265,  55,   0,   0,   S,   0,   X, 155,  14,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH932019, JTWC, NCEP_TCVITALS, 
SH, 93, 2019012418,   , BEST,   0, 263S, 0434E,  25, 1003, XX,  34, NEQ,    0,    0,    0,    0, 1006,  215,  55,   0,   0,   S,   0,   X, 155,  12,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH932019, JTWC, NCEP_TCVITALS, 
