SH, 96, 2016020418,   , BEST,   0, 131S, 0544E,  15, 1006, XX,  34, NEQ,    0,    0,    0,    0, 1008,  160,  60,   0,   0,   S,   0,   X, 135,   3,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH962016, JTWC, NCEP_TCVITALS, 
SH, 96, 2016020500,   , BEST,   0, 133S, 0546E,  20, 1006, XX,  34, NEQ,    0,    0,    0,    0, 1009,  160,  55,   0,   0,   S,   0,   X, 135,   3,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH962016, JTWC, NCEP_TCVITALS, 
SH, 96, 2016020600,   , BEST,   0, 140S, 0562E,  25, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1009,  155,  45,   0,   0,   S,   0,   X, 110,   4,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH962016, JTWC, NCEP_TCVITALS, 
SH, 96, 2016020818,   , BEST,   0, 185S, 0514E,  25, 1001, XX,  34, NEQ,    0,    0,    0,    0, 1004,  200,  40,   0,   0,   S,   0,   X, 250,  19,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH962016, JTWC, NCEP_TCVITALS, 
SH, 96, 2016020900,   , BEST,   0, 188S, 0513E,  30, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1007,  210,  35,   0,   0,   S,   0,   X, 250,  14,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH962016, JTWC, NCEP_TCVITALS, 
SH, 96, 2016020906,   , BEST,   0, 201S, 0510E,  30, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1007,  210,  35,   0,   0,   S,   0,   X, 230,  10,     INVEST, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH962016, JTWC, NCEP_TCVITALS, 
SH, 96, 2016020912,   , BEST,   0, 211S, 0508E,  25, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1005,  190,  35,   0,   0,   S,   0,   X, 195,   9,     INVEST, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH962016, JTWC, NCEP_TCVITALS, 
SH, 96, 2016020918,   , BEST,   0, 219S, 0513E,  25,  999, XX,  34, NEQ,    0,    0,    0,    0, 1003,  200,  35,   0,   0,   S,   0,   X, 175,   9,     INVEST, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH962016, JTWC, NCEP_TCVITALS, 
SH, 96, 2016021000,   , BEST,   0, 224S, 0511E,  30,  999, XX,  34, NEQ,    0,    0,    0,    0, 1004,  200,  35,   0,   0,   S,   0,   X, 170,   7,     INVEST, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH962016, JTWC, NCEP_TCVITALS, 
SH, 96, 2016021006,   , BEST,   0, 230S, 0515E,  30,  997, XX,  34, NEQ,    0,    0,    0,    0, 1003,  200,  35,   0,   0,   S,   0,   X, 160,   7,     INVEST, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH962016, JTWC, NCEP_TCVITALS, 
SH, 96, 2016040318,   , BEST,   0, 189S, 1774E,  25, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1006,  125,  40,   0,   0,   P,   0,   X, 125,  16,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH962016, JTWC, NCEP_TCVITALS, 
