WP, 01, 2019010418,   , BEST,   0, 048N, 1740E,  25, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1008,  130,  25,   0,   0,   W,   0,   X, 340,  11,        ONE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP012019, JTWC, NCEP_TCVITALS, 
WP, 01, 2019010500,   , BEST,   0, 056N, 1735E,  25, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1008,  130,  25,   0,   0,   W,   0,   X, 325,  10,        ONE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP012019, JTWC, NCEP_TCVITALS, 
WP, 01, 2019010506,   , BEST,   0, 059N, 1733E,  25, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1006,  110,  45,   0,   0,   W,   0,   X, 325,   9,        ONE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP012019, JTWC, NCEP_TCVITALS, 
WP, 01, 2019010512,   , BEST,   0, 040N, 1744E,  25, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1007,  120,  45,   0,   0,   W,   0,   X, 300,   4,        ONE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP012019, JTWC, NCEP_TCVITALS, 
WP, 01, 2019010518,   , BEST,   0, 046N, 1742E,  25, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1007,  130,  30,   0,   0,   W,   0,   X, 315,   5,        ONE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP012019, JTWC, NCEP_TCVITALS, 
WP, 01, 2019010600,   , BEST,   0, 052N, 1741E,  25, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1007,  140,  30,   0,   0,   W,   0,   X, 320,   6,        ONE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP012019, JTWC, NCEP_TCVITALS, 
WP, 01, 2019010606,   , BEST,   0, 055N, 1738E,  25, 1003, XX,  34, NEQ,    0,    0,    0,    0, 1006,  100,  50,   0,   0,   W,   0,   X, 315,   6,        ONE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP012019, JTWC, NCEP_TCVITALS, 
WP, 01, 2019010612,   , BEST,   0, 056N, 1736E,  20, 1005, XX,  34, NEQ,    0,    0,    0,    0, 1007,  120,  60,   0,   0,   W,   0,   X, 310,   5,        ONE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP012019, JTWC, NCEP_TCVITALS, 
WP, 01, 2019010618,   , BEST,   0, 063N, 1729E,  20, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1007,  135,  50,   0,   0,   W,   0,   X, 310,   7,        ONE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP012019, JTWC, NCEP_TCVITALS, 
WP, 01, 2019010700,   , BEST,   0, 056N, 1732E,  20, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1007,  135,  50,   0,   0,   W,   0,   X, 280,   2,        ONE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP012019, JTWC, NCEP_TCVITALS, 
WP, 01, 2019010706,   , BEST,   0, 056N, 1728E,  20, 1005, XX,  34, NEQ,    0,    0,    0,    0, 1007,  215,  50,   0,   0,   W,   0,   X, 270,   3,        ONE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP012019, JTWC, NCEP_TCVITALS, 
WP, 01, 2019010712,   , BEST,   0, 055N, 1722E,  20, 1006, XX,  34, NEQ,    0,    0,    0,    0, 1008,  140,  50,   0,   0,   W,   0,   X, 265,   5,        ONE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP012019, JTWC, NCEP_TCVITALS, 
WP, 01, 2019010718,   , BEST,   0, 056N, 1716E,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, 1008,  130,  30,   0,   0,   W,   0,   X, 270,   5,        ONE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP012019, JTWC, NCEP_TCVITALS, 
WP, 01, 2019010800,   , BEST,   0, 034N, 1717E,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, 1008,  130,  30,   0,   0,   W,   0,   X, 290,   6,        ONE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP012019, JTWC, NCEP_TCVITALS, 
WP, 01, 2019010806,   , BEST,   0, 041N, 1713E,  20, 1006, XX,  34, NEQ,    0,    0,    0,    0, 1008,  130,  45,   0,   0,   W,   0,   X, 300,   6,        ONE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP012019, JTWC, NCEP_TCVITALS, 
WP, 01, 2019010812,   , BEST,   0, 042N, 1709E,  20, 1006, XX,  34, NEQ,    0,    0,    0,    0, 1008,  130,  45,   0,   0,   W,   0,   X, 295,   6,        ONE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP012019, JTWC, NCEP_TCVITALS, 
WP, 01, 2019010818,   , BEST,   0, 042N, 1695E,  20, 1005, XX,  34, NEQ,    0,    0,    0,    0, 1007,  130,  45,   0,   0,   W,   0,   X, 280,   8,        ONE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP012019, JTWC, NCEP_TCVITALS, 
WP, 01, 2019010900,   , BEST,   0, 041N, 1680E,  20, 1005, XX,  34, NEQ,    0,    0,    0,    0, 1007,  130,  45,   0,   0,   W,   0,   X, 270,  12,        ONE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP012019, JTWC, NCEP_TCVITALS, 
WP, 01, 2019010906,   , BEST,   0, 036N, 1675E,  20, 1005, XX,  34, NEQ,    0,    0,    0,    0, 1007,  130,  45,   0,   0,   W,   0,   X, 260,  11,        ONE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP012019, JTWC, NCEP_TCVITALS, 
WP, 01, 2019010912,   , BEST,   0, 026N, 1665E,  20, 1005, XX,  34, NEQ,    0,    0,    0,    0, 1007,  130,  45,   0,   0,   W,   0,   X, 240,  11,        ONE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP012019, JTWC, NCEP_TCVITALS, 
WP, 01, 2019010918,   , BEST,   0, 028N, 1658E,  20, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1007,  130,  45,   0,   0,   W,   0,   X, 245,   9,        ONE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP012019, JTWC, NCEP_TCVITALS, 
WP, 01, 2019011000,   , BEST,   0, 040N, 1645E,  20, 1005, XX,  34, NEQ,    0,    0,    0,    0, 1007,  130,  45,   0,   0,   W,   0,   X, 285,  10,        ONE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP012019, JTWC, NCEP_TCVITALS, 
WP, 01, 2019011006,   , BEST,   0, 048N, 1638E,  20, 1003, XX,  34, NEQ,    0,    0,    0,    0, 1005,  100,  45,   0,   0,   W,   0,   X, 305,  11,        ONE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP012019, JTWC, NCEP_TCVITALS, 
WP, 01, 2019011012,   , BEST,   0, 052N, 1626E,  20, 1006, XX,  34, NEQ,    0,    0,    0,    0, 1008,  190,  45,   0,   0,   W,   0,   X, 305,  11,        ONE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP012019, JTWC, NCEP_TCVITALS, 
WP, 01, 2019011018,   , BEST,   0, 053N, 1620E,  20, 1006, XX,  34, NEQ,    0,    0,    0,    0, 1008,  180,  30,   0,   0,   W,   0,   X, 300,   9,        ONE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP012019, JTWC, NCEP_TCVITALS, 
WP, 01, 2019011100,   , BEST,   0, 052N, 1594E,  20, 1005, XX,  34, NEQ,    0,    0,    0,    0, 1007,  150,  30,   0,   0,   W,   0,   X, 275,  15,        ONE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP012019, JTWC, NCEP_TCVITALS, 
WP, 01, 2019011106,   , BEST,   0, 056N, 1579E,  20, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1006,  110,  30,   0,   0,   W,   0,   X, 275,  16,        ONE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP012019, JTWC, NCEP_TCVITALS, 
WP, 01, 2019011112,   , BEST,   0, 060N, 1562E,  20, 1006, XX,  34, NEQ,    0,    0,    0,    0, 1008,  200,  50,   0,   0,   W,   0,   X, 280,  16,        ONE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP012019, JTWC, NCEP_TCVITALS, 
WP, 01, 2019011118,   , BEST,   0, 062N, 1547E,  20, 1003, XX,  34, NEQ,    0,    0,    0,    0, 1006,  110,  50,   0,   0,   W,   0,   X, 280,  16,        ONE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP012019, JTWC, NCEP_TCVITALS, 
