WP, 02, 2018020900,   , BEST,   0, 110N, 1473E,  20, 1008, XX,  34, NEQ,    0,    0,    0,    0, 1008,  175,  60,   0,   0,   W,   0,   X, 315,  11,        TWO, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP022018, JTWC, NCEP_TCVITALS, 
WP, 02, 2018020906,   , BEST,   0, 109N, 1462E,  30, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1008,  175,  65,   0,   0,   W,   0,   X, 300,   9,        TWO, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP022018, JTWC, NCEP_TCVITALS, 
WP, 02, 2018020912,   , BEST,   0, 101N, 1449E,  30, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1008,  175,  65,   0,   0,   W,   0,   X, 265,  10,        TWO, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP022018, JTWC, NCEP_TCVITALS, 
WP, 02, 2018020918,   , BEST,   0, 100N, 1436E,  25, 1005, XX,  34, NEQ,    0,    0,    0,    0, 1007,  165,  65,   0,   0,   W,   0,   X, 260,  11,        TWO, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP022018, JTWC, NCEP_TCVITALS, 
WP, 02, 2018021000,   , BEST,   0, 097N, 1429E,  25, 1006, XX,  34, NEQ,    0,    0,    0,    0, 1008,  160,  65,   0,   0,   W,   0,   X, 255,  11,        TWO, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP022018, JTWC, NCEP_TCVITALS, 
WP, 02, 2018021006,   , BEST,   0, 078N, 1418E,  25, 1005, XX,  34, NEQ,    0,    0,    0,    0, 1008,  160,  65,   0,   0,   W,   0,   X, 235,  13,        TWO, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP022018, JTWC, NCEP_TCVITALS, 
WP, 02, 2018021012,   , BEST,   0, 067N, 1397E,  30, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1006,  175,  50,   0,   0,   W,   0,   X, 240,  18,        TWO, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP022018, JTWC, NCEP_TCVITALS, 
WP, 02, 2018021018,   , BEST,   0, 066N, 1372E,  45,  999, XX,  34, NEQ,  100,   30,   50,   90, 1006,  180,  45,   0,   0,   W,   0,   X, 250,  22,        TWO, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP022018, JTWC, NCEP_TCVITALS, 
WP, 02, 2018021100,   , BEST,   0, 070N, 1358E,  55,  992, XX,  34, NEQ,  110,   50,   60,  100, 1005,  175,  45,   0,   0,   W,   0,   X, 265,  20,        TWO, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP022018, JTWC, NCEP_TCVITALS, 
WP, 02, 2018021106,   , BEST,   0, 069N, 1359E,  35, 1002, XX,  34, NEQ,   80,   55,   45,   70, 1006,  155,  35,   0,   0,   W,   0,   X, 275,  13,        TWO, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP022018, JTWC, NCEP_TCVITALS, 
WP, 02, 2018021112,   , BEST,   0, 070N, 1343E,  35, 1003, XX,  34, NEQ,   65,   35,   40,   60, 1008,  150,  45,   0,   0,   W,   0,   X, 275,  15,        TWO, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP022018, JTWC, NCEP_TCVITALS, 
