WP, 03, 2019031500,   , BEST,   0, 080N, 1444E,  25, 1001, XX,  34, NEQ,    0,    0,    0,    0, 1008,  135,  35,   0,   0,   W,   0,   X, 290,  14,      THREE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP032019, JTWC, NCEP_TCVITALS, 
WP, 03, 2019031506,   , BEST,   0, 082N, 1429E,  25, 1006, XX,  34, NEQ,    0,    0,    0,    0, 1008,  135,  35,   0,   0,   W,   0,   X, 290,  14,      THREE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP032019, JTWC, NCEP_TCVITALS, 
WP, 03, 2019031512,   , BEST,   0, 080N, 1417E,  25, 1006, XX,  34, NEQ,    0,    0,    0,    0, 1008,  135,  35,   0,   0,   W,   0,   X, 270,  12,      THREE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP032019, JTWC, NCEP_TCVITALS, 
WP, 03, 2019031518,   , BEST,   0, 079N, 1409E,  25, 1005, XX,  34, NEQ,    0,    0,    0,    0, 1007,   65,  60,   0,   0,   W,   0,   X, 270,  11,      THREE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP032019, JTWC, NCEP_TCVITALS, 
WP, 03, 2019031600,   , BEST,   0, 077N, 1400E,  25, 1007, XX,  34, NEQ,    0,    0,    0,    0, 1009,  100,  60,   0,   0,   W,   0,   X, 265,  10,      THREE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP032019, JTWC, NCEP_TCVITALS, 
WP, 03, 2019031606,   , BEST,   0, 076N, 1388E,  25, 1005, XX,  34, NEQ,    0,    0,    0,    0, 1009,   90,  50,   0,   0,   W,   0,   X, 265,  10,      THREE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP032019, JTWC, NCEP_TCVITALS, 
WP, 03, 2019031612,   , BEST,   0, 074N, 1376E,  25, 1005, XX,  34, NEQ,    0,    0,    0,    0, 1007,  120,  40,   0,   0,   W,   0,   X, 265,  11,      THREE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP032019, JTWC, NCEP_TCVITALS, 
WP, 03, 2019031618,   , BEST,   0, 074N, 1362E,  25, 1006, XX,  34, NEQ,    0,    0,    0,    0, 1008,   85,  40,   0,   0,   W,   0,   X, 265,  13,      THREE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP032019, JTWC, NCEP_TCVITALS, 
WP, 03, 2019031700,   , BEST,   0, 073N, 1347E,  25, 1009, XX,  34, NEQ,    0,    0,    0,    0, 1010,  140,  40,   0,   0,   W,   0,   X, 265,  14,      THREE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP032019, JTWC, NCEP_TCVITALS, 
WP, 03, 2019031706,   , BEST,   0, 074N, 1339E,  25, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1010,  115,  20,   0,   0,   W,   0,   X, 270,  12,      THREE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP032019, JTWC, NCEP_TCVITALS, 
WP, 03, 2019031712,   , BEST,   0, 074N, 1328E,  25, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1008,  140,  20,   0,   0,   W,   0,   X, 270,  11,      THREE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP032019, JTWC, NCEP_TCVITALS, 
WP, 03, 2019031718,   , BEST,   0, 074N, 1318E,  25, 1007, XX,  34, NEQ,    0,    0,    0,    0, 1009,  165,  20,   0,   0,   W,   0,   X, 270,  10,      THREE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP032019, JTWC, NCEP_TCVITALS, 
WP, 03, 2019031800,   , BEST,   0, 071N, 1299E,  25, 1008, XX,  34, NEQ,    0,    0,    0,    0, 1010,  140,  30,   0,   0,   W,   0,   X, 265,  13,      THREE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP032019, JTWC, NCEP_TCVITALS, 
WP, 03, 2019031806,   , BEST,   0, 066N, 1285E,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, 1010,  160,  30,   0,   0,   W,   0,   X, 260,  14,      THREE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP032019, JTWC, NCEP_TCVITALS, 
WP, 03, 2019031812,   , BEST,   0, 068N, 1267E,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, 1010,  160,  30,   0,   0,   W,   0,   X, 265,  16,      THREE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP032019, JTWC, NCEP_TCVITALS, 
WP, 03, 2019031818,   , BEST,   0, 066N, 1265E,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, 1010,  160,  30,   0,   0,   W,   0,   X, 265,  12,      THREE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP032019, JTWC, NCEP_TCVITALS, 
WP, 03, 2019031900,   , BEST,   0, 063N, 1246E,  20, 1006, XX,  34, NEQ,    0,    0,    0,    0, 1010,  160,  30,   0,   0,   W,   0,   X, 265,  13,      THREE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP032019, JTWC, NCEP_TCVITALS, 
